Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.85, 651310, $2.88, $2.9, $2.745
07/30/2020, $2.89, 472712, $2.76, $2.91, $2.73
07/29/2020, $2.77, 689521, $2.89, $2.89, $2.71
07/28/2020, $2.87, 450702, $3.01, $3.02, $2.85
07/27/2020, $3.04, 434081, $2.91, $3.05, $2.87
07/24/2020, $2.88, 341962, $2.93, $2.94, $2.82
07/23/2020, $2.95, 565456, $2.94, $2.99, $2.87
07/22/2020, $2.95, 392925, $3, $3.01, $2.91
07/21/2020, $3.01, 1200140, $3.19, $3.19, $2.95
07/20/2020, $3.14, 718203, $2.99, $3.15, $2.931
07/17/2020, $2.98, 599382, $2.9886, $3.05, $2.9146
07/16/2020, $2.97, 511101, $2.88, $2.98, $2.79
07/15/2020, $2.89, 1159392, $2.87, $3.04, $2.79
07/14/2020, $2.83, 1318859, $2.84, $2.86, $2.73
07/13/2020, $2.86, 1227156, $3.06, $3.06, $2.85
07/10/2020, $3.01, 1840975, $3.23, $3.27, $2.9
07/09/2020, $3.35, 1049234, $3.34, $3.51, $3.29
07/08/2020, $3.42, 2292679, $3.52, $3.78, $3.31
07/07/2020, $3.4, 1738657, $3.18, $3.4899, $3.16
07/06/2020, $3.11, 1289927, $2.94, $3.15, $2.88
07/02/2020, $2.85, 461343, $2.88, $2.89, $2.81
07/01/2020, $2.85, 892694, $2.9, $2.99, $2.83
06/30/2020, $2.915, 448249, $2.87, $2.93, $2.81
06/29/2020, $2.87, 542323, $2.85, $2.99, $2.8
06/26/2020, $2.805, 1720000, $2.94, $3.005, $2.77
06/25/2020, $2.94, 642989, $2.89, $2.97, $2.8062
06/24/2020, $2.88, 849277, $3.04, $3.145, $2.86
06/23/2020, $3.06, 1598903, $3.04, $3.15, $2.98
06/22/2020, $2.98, 1157088, $3.11, $3.11, $2.945
06/19/2020, $3.14, 793682, $3.14, $3.215, $3.06
06/18/2020, $3.12, 1009209, $3.03, $3.27, $3.01
06/17/2020, $3.03, 637836, $3.21, $3.21, $2.99
06/16/2020, $3.13, 609011, $3.18, $3.21, $3.01
06/15/2020, $3.13, 1180855, $2.88, $3.1981, $2.84
06/12/2020, $2.94, 1439528, $2.74, $2.96, $2.725
06/11/2020, $2.6, 958335, $2.7, $2.8, $2.58
06/10/2020, $2.78, 865102, $2.93, $2.94, $2.78
06/09/2020, $2.9, 793542, $2.96, $3.0199, $2.89
06/08/2020, $3.01, 840734, $2.97, $3.085, $2.91
06/05/2020, $2.92, 772210, $3, $3.03, $2.87
06/04/2020, $2.9, 810197, $2.94, $3.0681, $2.89
06/03/2020, $2.93, 1277478, $3.07, $3.102, $2.92
06/02/2020, $3.06, 1302794, $3.25, $3.29, $3.01
06/01/2020, $3.22, 853444, $3.3, $3.3, $3.17
05/29/2020, $3.31, 496998, $3.27, $3.33, $3.17
05/28/2020, $3.24, 659704, $3.31, $3.38, $3.2
05/27/2020, $3.3, 1147330, $3.08, $3.33, $3.02
05/26/2020, $3.05, 745189, $3.34, $3.34, $3.02
05/22/2020, $3.23, 563764, $3.23, $3.36, $3.13
05/21/2020, $3.23, 817247, $3.29, $3.29, $3.045
05/20/2020, $3.2, 728508, $3.13, $3.3, $3.09
05/19/2020, $3.06, 734438, $2.99, $3.28, $2.985
05/18/2020, $3.01, 986542, $3.2, $3.25, $2.95
05/15/2020, $3.05, 1311203, $3.16, $3.18, $3
05/14/2020, $3.21, 976845, $3.22, $3.27, $3
05/13/2020, $3.27, 1980616, $3.04, $3.35, $2.91
05/12/2020, $3.03, 2638451, $3.343, $3.57, $3
05/11/2020, $3.24, 2960707, $2.72, $3.2799, $2.7
