Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.73, 358774, $3.96, $3.97, $3.56
07/30/2020, $3.93, 477674, $4.04, $4.19, $3.78
07/29/2020, $4.01, 839820, $3.97, $4.2, $3.71
07/28/2020, $3.85, 1174665, $3.52, $4.14, $3.52
07/27/2020, $3.46, 362088, $3.65, $3.6682, $3.3
07/24/2020, $3.31, 51769, $3.28, $3.3612, $3.22
07/23/2020, $3.27, 109685, $3.39, $3.51, $3.21
07/22/2020, $3.42, 377105, $3.55, $3.6, $3.35
07/21/2020, $3.54, 258775, $3.87, $3.9, $3.3
07/20/2020, $3.77, 523490, $3.43, $3.94, $3.39
07/17/2020, $3.36, 73856, $3.35, $3.5, $3.35
07/16/2020, $3.35, 108016, $3.3, $3.4, $3.22
07/15/2020, $3.3, 232024, $3.13, $3.3799, $3.13
07/14/2020, $3.11, 223861, $3.24, $3.31, $3.05
07/13/2020, $3.3, 96728, $3.46, $3.47, $3.26
07/10/2020, $3.5, 209441, $3.68, $3.69, $3.33
07/09/2020, $3.63, 871029, $3.75, $3.78, $3.33
07/08/2020, $3.22, 970594, $3.13, $3.22, $3.03
07/07/2020, $3.13, 73469, $3.08, $3.22, $3.08
07/06/2020, $3.12, 155094, $3.31, $3.3113, $3.09
07/02/2020, $3.25, 135864, $3.33, $3.3701, $3.2
07/01/2020, $3.2, 143581, $3.44, $3.49, $3.05
06/30/2020, $3.43, 156989, $3.71, $3.74, $3.3
06/29/2020, $3.66, 233534, $3.55, $3.6999, $3.55
06/26/2020, $3.52, 554067, $3.42, $3.53, $3.26
06/25/2020, $3.37, 78772, $3.22, $3.42, $3.21
06/24/2020, $3.29, 145763, $3.55, $3.6, $3.1802
06/23/2020, $3.55, 214935, $3.3, $3.75, $3.22
06/22/2020, $3.34, 126871, $3.23, $3.4, $3.11
06/19/2020, $3.2, 140769, $3.2, $3.3, $3.12
06/18/2020, $3.15, 121702, $3.31, $3.33, $3.11
06/17/2020, $3.35, 117191, $3.61, $3.61, $3.3
06/16/2020, $3.55, 199681, $3.49, $3.67, $3.2
06/15/2020, $3.32, 132785, $3.11, $3.43, $3.015
06/12/2020, $3.27, 180989, $3.28, $3.4799, $3.1
06/11/2020, $3.21, 2365935, $2.98, $4.37, $2.86
06/10/2020, $3.07, 90085, $3.15, $3.18, $2.9051
06/09/2020, $3.14, 133876, $3.17, $3.2699, $3.03
06/08/2020, $3.16, 87691, $3.15, $3.28, $3.0807
06/05/2020, $3.08, 70444, $3.15, $3.195, $3.02
06/04/2020, $3.1, 114841, $3.25, $3.36, $3.05
06/03/2020, $3.27, 95976, $3.3, $3.38, $3.21
06/02/2020, $3.26, 80322, $3.28, $3.35, $3.1238
06/01/2020, $3.21, 100938, $3.06, $3.2999, $2.9501
05/29/2020, $3.07, 186863, $3.27, $3.33, $2.93
05/28/2020, $3.27, 112210, $3.38, $3.39, $3.22
05/27/2020, $3.38, 137538, $3.37, $3.4901, $3.09
05/26/2020, $3.32, 230438, $3.55, $3.55, $3.3
05/22/2020, $3.48, 118962, $3.56, $3.56, $3.42
05/21/2020, $3.53, 313612, $3.88, $3.88, $3.46
05/20/2020, $3.88, 988427, $4.03, $4.45, $3.68
05/19/2020, $4.53, 2035261, $3.51, $4.53, $3.19
05/18/2020, $3.5, 101076, $3.46, $3.7225, $3.31
05/15/2020, $3.28, 141992, $3.43, $3.46, $3.1
05/14/2020, $3.52, 253061, $3.4, $3.64, $3.01
05/13/2020, $3.64, 433492, $3.6, $3.79, $3
05/12/2020, $3.75, 1438133, $4.03, $4.24, $3.31
05/11/2020, $3.14, 137510, $2.8, $3.2, $2.54
