Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.15, 385918, $2.28, $2.34, $2.11
07/30/2020, $2.26, 586439, $2.13, $2.28, $2.1
07/29/2020, $2.17, 627517, $2.11, $2.2, $2.06
07/28/2020, $2.12, 574895, $2.25, $2.251, $2.11
07/27/2020, $2.2, 538098, $2.19, $2.27, $2.11
07/24/2020, $2.15, 645287, $2.19, $2.27, $2.08
07/23/2020, $2.24, 538569, $2.35, $2.39, $2.205
07/22/2020, $2.32, 778665, $2.28, $2.5, $2.2502
07/21/2020, $2.3, 1014447, $2.6276, $2.6276, $2.25
07/20/2020, $2.45, 6899274, $2.24, $3.34, $2.24
07/17/2020, $2.21, 1093162, $2.04, $2.22, $2.04
07/16/2020, $2, 343615, $2.03, $2.14, $1.96
07/15/2020, $2.03, 418889, $2.02, $2.14, $1.97
07/14/2020, $2, 404897, $2, $2.02, $1.9201
07/13/2020, $1.99, 758934, $2.03, $2.08, $1.91
07/10/2020, $1.98, 1267568, $1.88, $2.0999, $1.85
07/09/2020, $1.8, 447777, $1.74, $1.82, $1.67
07/08/2020, $1.74, 541257, $1.82, $1.85, $1.705
07/07/2020, $1.77, 1291150, $1.66, $1.85, $1.65
07/06/2020, $1.68, 509700, $1.54, $1.6816, $1.53
07/02/2020, $1.5, 396553, $1.65, $1.67, $1.48
07/01/2020, $1.65, 223479, $1.62, $1.69, $1.575
06/30/2020, $1.62, 256649, $1.58, $1.64, $1.55
06/29/2020, $1.6, 391682, $1.48, $1.65, $1.445
06/26/2020, $1.48, 3496944, $1.52, $1.5522, $1.41
06/25/2020, $1.52, 522462, $1.58, $1.6042, $1.44
06/24/2020, $1.57, 598420, $1.67, $1.67, $1.495
06/23/2020, $1.7, 717472, $1.47, $1.71, $1.45
06/22/2020, $1.53, 852870, $1.61, $1.61, $1.45
06/19/2020, $1.62, 625933, $1.61, $1.68, $1.56
06/18/2020, $1.64, 1058410, $1.65, $1.72, $1.55
06/17/2020, $1.725, 8767657, $2.15, $2.22, $1.61
06/16/2020, $1.48, 103093, $1.46, $1.49, $1.45
06/15/2020, $1.45, 170652, $1.37, $1.45, $1.26
06/12/2020, $1.4, 235707, $1.44, $1.51, $1.355
06/11/2020, $1.41, 441488, $1.56, $1.56, $1.37
06/10/2020, $1.58, 281710, $1.58, $1.6, $1.5
06/09/2020, $1.585, 338541, $1.45, $1.59, $1.41
06/08/2020, $1.45, 271496, $1.44, $1.52, $1.42
06/05/2020, $1.43, 407405, $1.42, $1.47, $1.37
06/04/2020, $1.41, 250589, $1.41, $1.46, $1.35
06/03/2020, $1.435, 790771, $1.49, $1.57, $1.4
06/02/2020, $1.46, 1062989, $1.33, $1.4662, $1.32
06/01/2020, $1.32, 174129, $1.4, $1.4, $1.3
05/29/2020, $1.41, 245260, $1.41, $1.41, $1.31
05/28/2020, $1.34, 181060, $1.36, $1.37, $1.32
05/27/2020, $1.34, 151663, $1.35, $1.38, $1.3
05/26/2020, $1.32, 202751, $1.27, $1.34, $1.26
05/22/2020, $1.23, 149458, $1.24, $1.28, $1.2
05/21/2020, $1.24, 174662, $1.29, $1.32, $1.22
05/20/2020, $1.28, 236700, $1.28, $1.34, $1.25
05/19/2020, $1.28, 366004, $1.29, $1.34, $1.26
05/18/2020, $1.3, 215596, $1.32, $1.36, $1.27
05/15/2020, $1.29, 166635, $1.31, $1.42, $1.24
05/14/2020, $1.3, 173423, $1.27, $1.3, $1.16
05/13/2020, $1.31, 218061, $1.39, $1.39, $1.19
05/12/2020, $1.39, 204962, $1.47, $1.5, $1.38
05/11/2020, $1.44, 279086, $1.43, $1.49, $1.35
