Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.96, 227582, $4.02, $4.04, $3.89
07/30/2020, $4.04, 193110, $4.05, $4.1, $3.98
07/29/2020, $4.09, 199984, $4.12, $4.25, $3.9875
07/28/2020, $4.09, 240334, $4.03, $4.185, $4.03
07/27/2020, $4.04, 176268, $4.01, $4.1199, $3.98
07/24/2020, $4.07, 143654, $3.98, $4.125, $3.98
07/23/2020, $4.02, 434263, $4.08, $4.32, $3.96
07/22/2020, $4.09, 173863, $4.07, $4.13, $4.0401
07/21/2020, $4.1, 729636, $4.2, $4.46, $4.04
07/20/2020, $4.25, 400253, $4.01, $4.29, $3.99
07/17/2020, $4.005, 249788, $4.08, $4.08, $3.9
07/16/2020, $4.09, 222654, $4.09, $4.17, $4.0401
07/15/2020, $4.11, 272791, $3.95, $4.15, $3.896
07/14/2020, $3.89, 164077, $3.85, $3.94, $3.78
07/13/2020, $3.79, 439311, $3.83, $4.01, $3.78
07/10/2020, $3.82, 201824, $3.86, $3.9301, $3.75
07/09/2020, $3.85, 288649, $3.89, $3.98, $3.84
07/08/2020, $3.89, 259707, $3.84, $3.92, $3.76
07/07/2020, $3.85, 314453, $4, $4, $3.79
07/06/2020, $4, 318226, $4.16, $4.25, $3.95
07/02/2020, $4.13, 1442741, $4.12, $4.335, $4.07
07/01/2020, $4.05, 280757, $4.07, $4.14, $4.04
06/30/2020, $4.09, 252936, $4.05, $4.2, $4
06/29/2020, $4.06, 271359, $4.1, $4.17, $4.01
06/26/2020, $4.08, 858105, $3.89, $4.25, $3.76
06/25/2020, $3.88, 293472, $3.94, $3.99, $3.84
06/24/2020, $3.95, 355229, $3.95, $3.98, $3.82
06/23/2020, $3.98, 381133, $3.99, $4.1, $3.94
06/22/2020, $3.92, 263597, $3.88, $3.925, $3.78
06/19/2020, $3.89, 580217, $3.79, $3.99, $3.78
06/18/2020, $3.87, 420955, $3.79, $3.94, $3.78
06/17/2020, $3.85, 404024, $4, $4.0299, $3.84
06/16/2020, $3.97, 604969, $4, $4.05, $3.83
06/15/2020, $4, 558164, $3.94, $4.1, $3.81
06/12/2020, $4.01, 923609, $4.07, $4.13, $3.97
06/11/2020, $3.98, 854074, $3.89, $3.98, $3.73
06/10/2020, $3.99, 1707085, $3.73, $4.3, $3.71
06/09/2020, $3.73, 982877, $3.85, $3.95, $3.64
06/08/2020, $3.865, 1236225, $3.8, $3.9, $3.7
06/05/2020, $3.72, 4023801, $3.7, $3.8, $3.08
06/04/2020, $3.19, 937321, $2.91, $3.22, $2.8301
06/03/2020, $2.97, 2833060, $2.52, $3.36, $2.52
06/02/2020, $2.5, 81681, $2.58, $2.59, $2.49
06/01/2020, $2.55, 147015, $2.59, $2.64, $2.55
05/29/2020, $2.59, 67496, $2.56, $2.61, $2.49
05/28/2020, $2.57, 142585, $2.6, $2.69, $2.55
05/27/2020, $2.57, 163082, $2.63, $2.675, $2.53
05/26/2020, $2.595, 176139, $2.68, $2.69, $2.59
05/22/2020, $2.6, 344045, $2.59, $2.62, $2.37
05/21/2020, $2.32, 81982, $2.32, $2.37, $2.3
05/20/2020, $2.315, 148973, $2.28, $2.375, $2.25
05/19/2020, $2.25, 162724, $2.3, $2.36, $2.24
05/18/2020, $2.31, 174971, $2.27, $2.43, $2.27
05/15/2020, $2.24, 187967, $2.29, $2.3, $2.225
05/14/2020, $2.28, 248609, $2.29, $2.33, $2.26
05/13/2020, $2.33, 145487, $2.43, $2.43, $2.3
05/12/2020, $2.445, 149440, $2.53, $2.58, $2.4299
05/11/2020, $2.5, 257561, $2.45, $2.55, $2.44
