Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.3001, 715, $0.46, $0.46, $0.3
07/30/2020, $0.49, 14392, $0.369, $0.49, $0.369
07/29/2020, $0.339, 2705, $0.3695, $0.4, $0.3045
07/28/2020, $0.26, N/A, $0.26, $0.26, $0.26
07/27/2020, $0.26, 1687, $0.49, $0.49, $0.26
07/24/2020, $0.2405, 825, $0.3395, $0.3395, $0.2405
07/23/2020, $0.34, 5008, $0.615, $0.615, $0.25
07/22/2020, $0.26, 3060, $0.2604, $0.2604, $0.2502
07/21/2020, $0.39, 10073, $0.4, $0.4001, $0.34
07/20/2020, $0.38, 2200, $0.38, $0.38, $0.38
07/17/2020, $0.2501, N/A, $0.2501, $0.2501, $0.2501
07/16/2020, $0.2501, 1394, $0.4, $0.4, $0.2501
07/15/2020, $0.4, 1303, $0.4, $0.4, $0.4
07/14/2020, $0.27, 1488, $0.4, $0.4, $0.27
07/13/2020, $0.2973, 4249, $0.38, $0.4, $0.2973
07/10/2020, $0.3898, 375, $0.39, $0.39, $0.3898
07/09/2020, $0.4, 857, $0.45, $0.45, $0.4
07/08/2020, $0.4, 5286, $0.43, $0.6272, $0.27
07/07/2020, $0.26, N/A, $0.26, $0.26, $0.26
07/06/2020, $0.26, 2020, $0.45, $0.45, $0.26
07/02/2020, $0.35, 479, $0.35, $0.35, $0.35
07/01/2020, $0.24, N/A, $0.24, $0.24, $0.24
06/30/2020, $0.24, 870, $0.3295, $0.3295, $0.24
06/29/2020, $0.34, 1221, $0.28, $0.34, $0.28
06/26/2020, $0.34, 517, $0.3485, $0.3485, $0.34
06/25/2020, $0.3485, 11734, $0.37, $0.6452, $0.3
06/24/2020, $0.3451, 414, $0.2655, $0.3451, $0.2655
06/23/2020, $0.3145, N/A, $0.3145, $0.3145, $0.3145
06/22/2020, $0.3145, N/A, $0.3145, $0.3145, $0.3145
06/19/2020, $0.3145, 250, $0.37, $0.37, $0.3145
06/18/2020, $0.37, 2543, $0.28, $0.37, $0.27
06/17/2020, $0.44, N/A, $0.44, $0.44, $0.44
06/16/2020, $0.44, 762, $0.28, $0.44, $0.28
06/15/2020, $0.273, 2524, $0.42, $0.4201, $0.2553
06/12/2020, $0.2103, N/A, $0.2103, $0.2103, $0.2103
06/11/2020, $0.2103, N/A, $0.2103, $0.2103, $0.2103
06/10/2020, $0.2103, N/A, $0.2103, $0.2103, $0.2103
06/09/2020, $0.2103, 102, $0.2103, $0.2103, $0.2103
06/08/2020, $0.25, 765, $0.25, $0.25, $0.25
06/05/2020, $0.24, 375, $0.24, $0.24, $0.24
06/04/2020, $0.24, 150, $0.24, $0.24, $0.24
06/03/2020, $0.24, N/A, $0.24, $0.24, $0.24
06/02/2020, $0.24, 300, $0.24, $0.24, $0.24
06/01/2020, $0.2303, N/A, $0.2303, $0.2303, $0.2303
05/29/2020, $0.2303, N/A, $0.2303, $0.2303, $0.2303
05/28/2020, $0.2303, 100, $0.2303, $0.2303, $0.2303
05/27/2020, $0.2102, N/A, $0.2102, $0.2102, $0.2102
05/26/2020, $0.2102, 8175, $0.33, $0.41, $0.2101
05/22/2020, $0.33, 825, $0.201, $0.33, $0.201
05/21/2020, $0.201, 200, $0.2, $0.201, $0.2
05/20/2020, $0.35, N/A, $0.35, $0.35, $0.35
05/19/2020, $0.35, 1517, $0.19, $0.4317, $0.19
05/18/2020, $0.19, 7957, $0.25, $0.35, $0.19
05/15/2020, $0.1999, 5137, $0.1585, $0.6452, $0.1585
05/14/2020, $0.114, 201, $0.114, $0.114, $0.114
05/13/2020, $0.11, 1690, $0.11, $0.11, $0.11
05/12/2020, $0.11, 241, $0.11, $0.11, $0.11
05/11/2020, $0.12, 100, $0.12, $0.12, $0.12
