Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.48, 172593, $2.56, $2.56, $2.44
07/30/2020, $2.56, 107901, $2.48, $2.58, $2.4301
07/29/2020, $2.5, 141524, $2.54, $2.57, $2.48
07/28/2020, $2.54, 318070, $2.54, $2.56, $2.495
07/27/2020, $2.52, 278299, $2.6, $2.62, $2.505
07/24/2020, $2.6, 309152, $2.6, $2.63, $2.48
07/23/2020, $2.61, 264707, $2.7, $2.705, $2.6
07/22/2020, $2.69, 171946, $2.6, $2.71, $2.6
07/21/2020, $2.62, 296033, $2.6, $2.69, $2.58
07/20/2020, $2.59, 296514, $2.65, $2.69, $2.55
07/17/2020, $2.67, 148648, $2.73, $2.76, $2.64
07/16/2020, $2.73, 166733, $2.66, $2.74, $2.5801
07/15/2020, $2.68, 258625, $2.73, $2.82, $2.63
07/14/2020, $2.65, 130884, $2.64, $2.71, $2.58
07/13/2020, $2.63, 199821, $2.68, $2.8, $2.63
07/10/2020, $2.69, 163318, $2.54, $2.7074, $2.49
07/09/2020, $2.53, 304870, $2.57, $2.58, $2.45
07/08/2020, $2.57, 111408, $2.58, $2.62, $2.53
07/07/2020, $2.56, 180255, $2.62, $2.65, $2.53
07/06/2020, $2.6, 218519, $2.61, $2.6899, $2.55
07/02/2020, $2.56, 402430, $2.75, $2.762, $2.56
07/01/2020, $2.72, 330647, $2.56, $2.75, $2.54
06/30/2020, $2.56, 752127, $2.51, $2.58, $2.47
06/29/2020, $2.51, 206543, $2.64, $2.67, $2.5
06/26/2020, $2.6, 2674714, $2.58, $2.64, $2.47
06/25/2020, $2.62, 701123, $2.56, $2.63, $2.43
06/24/2020, $2.57, 580170, $2.7, $2.75, $2.51
06/23/2020, $2.71, 345265, $2.77, $2.8001, $2.6769
06/22/2020, $2.74, 289731, $2.83, $2.83, $2.66
06/19/2020, $2.81, 570284, $2.69, $2.9199, $2.65
06/18/2020, $2.66, 694201, $2.65, $2.8699, $2.61
06/17/2020, $2.86, 325008, $2.94, $2.9831, $2.853
06/16/2020, $2.93, 268132, $2.87, $2.94, $2.8
06/15/2020, $2.77, 379891, $2.71, $2.88, $2.7
06/12/2020, $2.82, 444259, $2.73, $2.83, $2.6502
06/11/2020, $2.65, 759300, $2.72, $2.79, $2.6
06/10/2020, $2.92, 779302, $3.18, $3.19, $2.89
06/09/2020, $3.16, 535257, $3.17, $3.22, $3
06/08/2020, $3.25, 810021, $3, $3.26, $2.97
06/05/2020, $2.98, 1721827, $3, $3.05, $2.71
06/04/2020, $2.64, 1528213, $2.78, $2.83, $2.61
06/03/2020, $2.7, 373800, $2.78, $2.85, $2.68
06/02/2020, $2.75, 213121, $2.71, $2.81, $2.65
06/01/2020, $2.69, 324885, $2.75, $2.82, $2.69
05/29/2020, $2.76, 296126, $2.78, $2.81, $2.61
05/28/2020, $2.79, 247912, $2.83, $2.9, $2.78
05/27/2020, $2.81, 320571, $2.87, $2.9, $2.75
05/26/2020, $2.89, 331015, $2.98, $2.98, $2.83
05/22/2020, $2.87, 348300, $2.8, $2.98, $2.75
05/21/2020, $2.8, 349362, $2.7, $2.88, $2.6499
05/20/2020, $2.7, 363755, $2.67, $2.75, $2.63
05/19/2020, $2.63, 590429, $2.72, $2.78, $2.6
05/18/2020, $2.72, 436073, $2.66, $2.78, $2.63
05/15/2020, $2.56, 251535, $2.64, $2.64, $2.5
05/14/2020, $2.66, 487069, $2.71, $2.72, $2.43
05/13/2020, $2.72, 652525, $3.1, $3.18, $2.71
05/12/2020, $2.94, 815341, $2.96, $3.01, $2.87
05/11/2020, $2.96, 682378, $3.06, $3.1, $2.78
