Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.4695, 2511285, $0.48, $0.483, $0.446
07/30/2020, $0.4772, 2947896, $0.475, $0.49, $0.47
07/29/2020, $0.4724, 1936916, $0.472, $0.475, $0.4565
07/28/2020, $0.4791, 3321449, $0.4681, $0.5186, $0.461
07/27/2020, $0.4845, 1954476, $0.4854, $0.4895, $0.47
07/24/2020, $0.4719, 2630348, $0.48, $0.4849, $0.442
07/23/2020, $0.49, 3743704, $0.501, $0.52, $0.48
07/22/2020, $0.497, 9747523, $0.476, $0.545, $0.475
07/21/2020, $0.4769, 4711015, $0.4659, $0.49, $0.456
07/20/2020, $0.4641, 3202905, $0.4544, $0.47, $0.4499
07/17/2020, $0.448, 6529011, $0.475, $0.48, $0.431
07/16/2020, $0.49, 11685270, $0.42, $0.5248, $0.412
07/15/2020, $0.4255, 2773794, $0.399, $0.43, $0.3965
07/14/2020, $0.4095, 3236540, $0.409, $0.4185, $0.39
07/13/2020, $0.4085, 5552037, $0.421, $0.43, $0.4
07/10/2020, $0.436, 3879391, $0.4337, $0.454, $0.4211
07/09/2020, $0.434, 5332574, $0.4368, $0.44, $0.4149
07/08/2020, $0.4599, 10358680, $0.4879, $0.4879, $0.4312
07/07/2020, $0.5168, 37308920, $0.52, $0.5749, $0.466
07/06/2020, $0.415, 18164820, $0.3895, $0.42, $0.3895
07/02/2020, $0.3784, 28281780, $0.39, $0.4, $0.3697
07/01/2020, $0.54, 2854206, $0.78, $0.7999, $0.47
06/30/2020, $0.54, 198674, $0.78, $0.7999, $0.47
06/29/2020, $0.835, 286540, $0.88, $0.88, $0.8103
06/26/2020, $0.83, 311230, $0.8833, $0.902, $0.7751
06/25/2020, $0.908, 422708, $0.93, $0.95, $0.8621
06/24/2020, $0.86, 147365, $0.897, $0.915, $0.82
06/23/2020, $0.91, 109014, $0.91, $0.91, $0.88
06/22/2020, $0.9199, 67993, $0.91, $0.9199, $0.87
06/19/2020, $0.92, 264754, $0.911, $0.9354, $0.89
06/18/2020, $0.95, 194837, $1.09, $1.09, $0.93
06/17/2020, $0.97, 113764, $1.03, $1.03, $0.92
06/16/2020, $0.96, 118866, $0.98, $1.0041, $0.9273
06/15/2020, $0.9499, 135979, $0.94, $0.959, $0.9
06/12/2020, $0.9647, 199317, $0.99, $1.01, $0.94
06/11/2020, $0.9795, 590519, $1.13, $1.13, $0.95
06/10/2020, $1.14, 263133, $1.21, $1.22, $1.13
06/09/2020, $1.2, 440175, $1.17, $1.23, $1.15
06/08/2020, $1.17, 470908, $1.15, $1.25, $1.13
06/05/2020, $1.15, 158640, $1.19, $1.2, $1.15
06/04/2020, $1.17, 318601, $1.16, $1.22, $1.15
06/03/2020, $1.16, 143090, $1.15, $1.18, $1.13
06/02/2020, $1.145, 99853, $1.16, $1.16, $1.12
06/01/2020, $1.14, 194953, $1.17, $1.18, $1.1
05/29/2020, $1.16, 169104, $1.2, $1.21, $1.13
05/28/2020, $1.15, 568420, $1.14, $1.29, $1.12
05/27/2020, $1.15, 162277, $1.17, $1.18, $1.11
05/26/2020, $1.13, 327622, $1.2, $1.2, $1.12
05/22/2020, $1.0891, 410465, $1.08, $1.14, $1.02
05/21/2020, $1.145, 1452593, $0.95, $1.25, $0.95
05/20/2020, $0.95, 149289, $0.9468, $0.97, $0.9468
05/19/2020, $0.9553, 182964, $0.9386, $0.96, $0.9116
05/18/2020, $0.93, 153069, $0.925, $0.96, $0.9053
05/15/2020, $0.93, 137952, $0.925, $0.96, $0.9053
05/14/2020, $0.9686, 76061, $0.93, $0.9899, $0.911
05/13/2020, $0.9539, 275069, $1, $1.01, $0.91
05/12/2020, $1.01, 251418, $1.03, $1.05, $0.99
05/11/2020, $1.05, 321134, $1.1, $1.1, $0.99
