Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.53, 1061820, $3.68, $3.7343, $3.45
07/30/2020, $3.7, 780410, $3.53, $3.78, $3.51
07/29/2020, $3.59, 986405, $3.82, $3.89, $3.56
07/28/2020, $3.78, 757247, $3.97, $4.01, $3.77
07/27/2020, $3.99, 1804733, $3.95, $4.11, $3.82
07/24/2020, $3.94, 1307734, $4.07, $4.18, $3.925
07/23/2020, $4.11, 675996, $4.25, $4.2668, $4.08
07/22/2020, $4.23, 977230, $4.38, $4.43, $4.12
07/21/2020, $4.405, 1094754, $4.44, $4.46, $4.33
07/20/2020, $4.39, 784213, $4.41, $4.5, $4.27
07/17/2020, $4.415, 1984250, $4.51, $4.61, $4.4
07/16/2020, $4.51, 1615892, $4.56, $4.61, $4.385
07/15/2020, $4.57, 1838192, $4.27, $4.615, $4.14
07/14/2020, $4.16, 2713562, $4.26, $4.346, $3.9
07/13/2020, $4.23, 879271, $4.42, $4.5, $4.23
07/10/2020, $4.41, 1172714, $4.51, $4.73, $4.3
07/09/2020, $4.6, 2148757, $4.62, $4.91, $4.53
07/08/2020, $4.58, 736346, $4.39, $4.58, $4.34
07/07/2020, $4.39, 2639159, $4.35, $4.5068, $4.2
07/06/2020, $4.34, 1287727, $4.64, $4.7037, $4.28
07/02/2020, $4.57, 1090490, $4.79, $4.79, $4.53
07/01/2020, $4.73, 1016414, $4.63, $4.79, $4.54
06/30/2020, $4.615, 1250621, $4.54, $4.65, $4.45
06/29/2020, $4.51, 1670513, $4.73, $4.76, $4.45
06/26/2020, $4.63, 4126178, $4.51, $4.7699, $4.41
06/25/2020, $4.63, 4246829, $4.11, $4.645, $4.03
06/24/2020, $4.09, 1544064, $4.23, $4.4075, $3.95
06/23/2020, $4.25, 1718556, $4.18, $4.4064, $3.93
06/22/2020, $4.41, 3769930, $3.97, $4.6599, $3.855
06/19/2020, $3.88, 2329166, $3.6, $3.96, $3.5368
06/18/2020, $3.57, 1018025, $3.43, $3.6735, $3.4
06/17/2020, $3.48, 1109303, $3.63, $3.75, $3.44
06/16/2020, $3.55, 1522143, $3.43, $3.56, $3.3573
06/15/2020, $3.28, 5111409, $2.99, $3.355, $2.93
06/12/2020, $3.06, 5452203, $3.11, $3.17, $2.9
06/11/2020, $3, 1092261, $3.03, $3.19, $2.98
06/10/2020, $3.24, 716025, $3.32, $3.38, $3.21
06/09/2020, $3.31, 597754, $3.35, $3.42, $3.3
06/08/2020, $3.39, 831578, $3.6, $3.6, $3.3241
06/05/2020, $3.48, 1422685, $3.35, $3.6, $3.27
06/04/2020, $3.31, 1263673, $3.46, $3.66, $3.25
06/03/2020, $3.41, 1488181, $3.47, $3.66, $3.32
06/02/2020, $3.45, 1286757, $3.27, $3.48, $3.19
06/01/2020, $3.25, 671002, $3.26, $3.4, $3.25
05/29/2020, $3.29, 1270535, $3.03, $3.34, $2.9702
05/28/2020, $3.12, 1435966, $3.17, $3.39, $3.08
05/27/2020, $3.16, 1415068, $3.14, $3.225, $3.03
05/26/2020, $3.11, 1435243, $3.12, $3.23, $2.95
05/22/2020, $2.99, 953740, $2.87, $3.06, $2.81
05/21/2020, $2.87, 780926, $2.88, $2.92, $2.73
05/20/2020, $2.9, 1267725, $2.96, $2.98, $2.77
05/19/2020, $2.85, 7334635, $2.47, $2.97, $2.45
05/18/2020, $2.46, 3754512, $2.44, $2.53, $2.37
05/15/2020, $2.36, 1454751, $2.09, $2.4, $2
05/14/2020, $1.98, 949843, $2.05, $2.05, $1.88
05/13/2020, $2.05, 930133, $2.15, $2.24, $2.01
05/12/2020, $2.16, 729882, $2.22, $2.28, $2.135
05/11/2020, $2.22, 599760, $2.26, $2.3, $2.21
