Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.008, 49599, $0.008, $0.012, $0.008
07/30/2020, $0.008, 361243, $0.01, $0.013, $0.0071
07/29/2020, $0.01, 251138, $0.01, $0.0143, $0.0099
07/28/2020, $0.0134, 55551, $0.012, $0.0138, $0.01
07/27/2020, $0.0121, 132656, $0.0127, $0.0143, $0.012
07/24/2020, $0.0141, 556659, $0.013, $0.02, $0.0123
07/23/2020, $0.0177, 83614, $0.019, $0.019, $0.013
07/22/2020, $0.018, 329407, $0.0182, $0.0185, $0.012
07/21/2020, $0.015, 49558, $0.0164, $0.0182, $0.015
07/20/2020, $0.015, 95252, $0.018, $0.019, $0.015
07/17/2020, $0.018, 13643, $0.019, $0.019, $0.0154
07/16/2020, $0.015, 39322, $0.015, $0.02, $0.015
07/15/2020, $0.0184, 76253, $0.016, $0.019, $0.015
07/14/2020, $0.016, 37789, $0.0151, $0.0164, $0.015
07/13/2020, $0.015, 84153, $0.0179, $0.019, $0.015
07/10/2020, $0.0181, 137410, $0.0165, $0.0195, $0.014
07/09/2020, $0.0161, 18140, $0.017, $0.02, $0.0154
07/08/2020, $0.0214, 135153, $0.016, $0.0219, $0.014
07/07/2020, $0.019, 71574, $0.0189, $0.019, $0.0142
07/06/2020, $0.019, 75832, $0.0219, $0.0239, $0.0169
07/02/2020, $0.021, 147205, $0.024, $0.025, $0.015
07/01/2020, $0.021, 78602, $0.024, $0.024, $0.0156
06/30/2020, $0.0212, 25330, $0.0199, $0.0215, $0.0199
06/29/2020, $0.0219, 138269, $0.024, $0.024, $0.015
06/26/2020, $0.02, 186444, $0.025, $0.025, $0.019
06/25/2020, $0.02, 23937, $0.0238, $0.0238, $0.02
06/24/2020, $0.025, 85644, $0.02, $0.025, $0.0181
06/23/2020, $0.023, 169670, $0.021, $0.024, $0.02
06/22/2020, $0.022, 128390, $0.024, $0.024, $0.02
06/19/2020, $0.024, 230049, $0.025, $0.025, $0.02
06/18/2020, $0.0201, 597384, $0.02, $0.0296, $0.0175
06/17/2020, $0.0194, 388768, $0.0229, $0.0255, $0.012
06/16/2020, $0.02, 393751, $0.021, $0.021, $0.0175
06/15/2020, $0.0235, 712784, $0.0151, $0.069, $0.0145
06/12/2020, $0.0148, 3801, $0.02, $0.02, $0.0146
06/11/2020, $0.015, 286476, $0.0199, $0.02, $0.0141
06/10/2020, $0.0141, 85352, $0.019, $0.019, $0.0118
06/09/2020, $0.018, 666807, $0.015, $0.02, $0.01
06/08/2020, $0.015, 237189, $0.0198, $0.0199, $0.011
06/05/2020, $0.0165, 83922, $0.017, $0.0199, $0.0145
06/04/2020, $0.0165, 198516, $0.016, $0.0192, $0.013
06/03/2020, $0.0141, 71678, $0.013, $0.02, $0.013
06/02/2020, $0.02, 98164, $0.02, $0.02, $0.0121
06/01/2020, $0.013, 153148, $0.014, $0.0168, $0.01
05/29/2020, $0.0168, 113948, $0.018, $0.018, $0.0101
05/28/2020, $0.0179, 321963, $0.015, $0.02, $0.0105
05/27/2020, $0.0137, 37277, $0.016, $0.016, $0.01
05/26/2020, $0.016, 125232, $0.018, $0.018, $0.0094
05/22/2020, $0.018, 116569, $0.0142, $0.019, $0.008
05/21/2020, $0.0185, 111117, $0.0166, $0.0185, $0.0143
05/20/2020, $0.019, 102703, $0.0143, $0.019, $0.0143
05/19/2020, $0.0199, 109669, $0.013, $0.02, $0.01
05/18/2020, $0.0199, 120207, $0.021, $0.021, $0.0145
05/15/2020, $0.0145, 202600, $0.02, $0.0229, $0.013
05/14/2020, $0.0171, 185123, $0.03, $0.03, $0.015
05/13/2020, $0.02, 336830, $0.03, $0.03, $0.013
05/12/2020, $0.02, 237215, $0.045, $0.045, $0.019
05/11/2020, $0.03, 77311, $0.03, $0.0449, $0.022
