Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.01, 215920, $2.06, $2.08, $1.98
07/30/2020, $2.06, 690807, $1.97, $2.18, $1.95
07/29/2020, $1.97, 273514, $2.04, $2.0491, $1.95
07/28/2020, $2.07, 372944, $2.12, $2.12, $2
07/27/2020, $2.08, 388891, $2, $2.09, $1.97
07/24/2020, $1.95, 115195, $2, $2, $1.94
07/23/2020, $2, 206645, $2.03, $2.061, $1.99
07/22/2020, $2.03, 84294, $2, $2.0499, $2
07/21/2020, $1.98, 273882, $2.06, $2.09, $1.96
07/20/2020, $2.06, 240318, $2.04, $2.07, $2
07/17/2020, $2.02, 340200, $2.02, $2.12, $1.99
07/16/2020, $2.02, 192518, $1.97, $2.02, $1.96
07/15/2020, $1.99, 377894, $2, $2.07, $1.97
07/14/2020, $1.99, 65565, $1.97, $2.0299, $1.9601
07/13/2020, $1.98, 326089, $2, $2.0699, $1.92
07/10/2020, $1.98, 153026, $2, $2.04, $1.95
07/09/2020, $1.99, 488960, $2.07, $2.11, $1.96
07/08/2020, $2.08, 185245, $2.09, $2.11, $2.0381
07/07/2020, $2.11, 210808, $2.18, $2.2, $2.0786
07/06/2020, $2.2, 313968, $2.27, $2.28, $2.11
07/02/2020, $2.24, 1572405, $2.3, $2.66, $2.2
07/01/2020, $2.37, 2603425, $2.25, $2.6, $2.08
06/30/2020, $2.18, 235115, $2.27, $2.28, $2.16
06/29/2020, $2.26, 228839, $2.37, $2.38, $2.25
06/26/2020, $2.32, 351033, $2.22, $2.34, $2.18
06/25/2020, $2.17, 318300, $2.11, $2.27, $2.09
06/24/2020, $2.14, 201027, $2.15, $2.25, $2.08
06/23/2020, $2.15, 217362, $2.08, $2.22, $2.08
06/22/2020, $2.08, 189213, $2.02, $2.19, $2
06/19/2020, $2.05, 185441, $2.09, $2.1299, $2.02
06/18/2020, $2.11, 215885, $2.15, $2.16, $2.05
06/17/2020, $2.15, 226599, $2.22, $2.25, $2.095
06/16/2020, $2.1559, 373865, $2.05, $2.17, $1.99
06/15/2020, $1.97, 897310, $2.11, $2.18, $1.94
06/12/2020, $2.28, 597946, $2.3, $2.35, $2.04
06/11/2020, $2.24, 561421, $2.35, $2.37, $2.23
06/10/2020, $2.47, 751164, $2.57, $2.57, $2.16
06/09/2020, $2.5, 659476, $2.64, $2.64, $2.45
06/08/2020, $2.61, 1778941, $2.63, $2.79, $2.47
06/05/2020, $2.47, 959114, $2.44, $2.69, $2.34
06/04/2020, $2.3, 508119, $2.2, $2.38, $2.19
06/03/2020, $2.19, 112924, $2.21, $2.21, $2.12
06/02/2020, $2.15, 226666, $2.22, $2.28, $2.09
06/01/2020, $2.2, 309003, $2.06, $2.24, $2.04
05/29/2020, $2.04, 136898, $2, $2.09, $2
05/28/2020, $2, 118322, $2.05, $2.08, $1.99
05/27/2020, $2, 141093, $2.11, $2.12, $1.97
05/26/2020, $2.1, 250486, $2.11, $2.15, $2.01
05/22/2020, $2.01, 241451, $2.01, $2.08, $1.92
05/21/2020, $2, 2388360, $2.06, $2.58, $1.95
05/20/2020, $2.03, 681930, $1.9, $2.15, $1.81
05/19/2020, $1.9, 65033, $1.92, $1.935, $1.85
05/18/2020, $1.9, 168705, $1.86, $1.9, $1.72
05/15/2020, $1.76, 52478, $1.76, $1.8068, $1.73
05/14/2020, $1.74, 136104, $1.78, $1.84, $1.6999
05/13/2020, $1.85, 76806, $1.88, $1.9, $1.7604
05/12/2020, $1.91, 141548, $1.99, $1.99, $1.8201
05/11/2020, $1.95, 211032, $1.79, $1.99, $1.79
