Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.4, 93108, $0.4201, $0.4201, $0.3502
07/30/2020, $0.4211, 32937, $0.4315, $0.4406, $0.421
07/29/2020, $0.4495, 53244, $0.44, $0.4496, $0.43
07/28/2020, $0.4497, 9000, $0.4202, $0.45, $0.42
07/27/2020, $0.46, 207344, $0.4597, $0.48, $0.4002
07/24/2020, $0.4103, 62425, $0.44, $0.45, $0.41
07/23/2020, $0.4199, 124852, $0.411, $0.4651, $0.41
07/22/2020, $0.415, 90949, $0.45, $0.4692, $0.411
07/21/2020, $0.44, 92898, $0.4504, $0.4796, $0.43
07/20/2020, $0.45, 107340, $0.4601, $0.48, $0.4253
07/17/2020, $0.45, 32214, $0.49, $0.49, $0.43
07/16/2020, $0.4789, 74502, $0.5202, $0.5202, $0.4502
07/15/2020, $0.4801, 69037, $0.52, $0.55, $0.4801
07/14/2020, $0.51, 126186, $0.52, $0.53, $0.47
07/13/2020, $0.51, 152167, $0.55, $0.6, $0.5
07/10/2020, $0.575, 328825, $0.51, $0.6, $0.51
07/09/2020, $0.52, 46195, $0.5125, $0.5355, $0.4799
07/08/2020, $0.5001, 54138, $0.55, $0.55, $0.43
07/07/2020, $0.525, 44509, $0.55, $0.55, $0.45
07/06/2020, $0.5, 196583, $0.55, $0.6, $0.4293
07/02/2020, $0.5473, 56801, $0.55, $0.6, $0.5
07/01/2020, $0.6, 120565, $0.575, $0.64, $0.54
06/30/2020, $0.5474, 250410, $0.4501, $0.65, $0.4501
06/29/2020, $0.451, 186284, $0.46, $0.6, $0.45
06/26/2020, $0.46, 160481, $0.5701, $0.5701, $0.4
06/25/2020, $0.55, 54672, $0.5, $0.57, $0.41
06/24/2020, $0.501, 196532, $0.7, $0.7, $0.4801
06/23/2020, $0.58, 162027, $0.72, $0.72, $0.58
06/22/2020, $0.58, 230022, $0.75, $0.75, $0.47
06/19/2020, $0.72, 946065, $0.99, $1.05, $0.67
06/18/2020, $0.75, 2344393, $0.67, $0.84, $0.575
06/17/2020, $0.4387, 313885, $0.3895, $0.45, $0.3895
06/16/2020, $0.37, 10850, $0.42, $0.42, $0.3629
06/15/2020, $0.41, 14050, $0.2103, $0.41, $0.2103
06/12/2020, $0.4, 59301, $0.38, $0.4, $0.1214
06/11/2020, $0.3714, 8799, $0.42, $0.42, $0.3714
06/10/2020, $0.423, 68193, $0.43, $0.43, $0.405
06/09/2020, $0.45, 113820, $0.445, $0.45, $0.4449
06/08/2020, $0.41, 13487, $0.345, $0.42, $0.3125
06/05/2020, $0.41, 86132, $0.43, $0.43, $0.39
06/04/2020, $0.35, 4201, $0.43, $0.43, $0.35
06/03/2020, $0.4, 96765, $0.41, $0.43, $0.4
06/02/2020, $0.43, 39190, $0.43, $0.43, $0.4297
06/01/2020, $0.43, 62193, $0.52, $0.52, $0.41
05/29/2020, $0.45, 180300, $0.47, $0.47, $0.373
05/28/2020, $0.47, 71586, $0.5, $0.5, $0.44
05/27/2020, $0.47, 10300, $0.46, $0.5, $0.4
05/26/2020, $0.47, 698, $0.47, $0.4799, $0.47
05/22/2020, $0.4, 4701, $0.365, $0.4631, $0.3375
05/21/2020, $0.3699, 100, $0.3699, $0.3699, $0.3699
05/20/2020, $0.3735, 61654, $0.38, $0.39, $0.3399
05/19/2020, $0.34, 55431, $0.25, $0.34, $0.25
05/18/2020, $0.32, 64189, $0.3173, $0.3699, $0.2977
05/15/2020, $0.3169, 302300, $0.3, $0.3182, $0.29
05/14/2020, $0.28, 2705, $0.246, $0.289, $0.246
05/13/2020, $0.2499, 46716, $0.28, $0.3149, $0.2499
05/12/2020, $0.2799, 204178, $0.32, $0.35, $0.25
05/11/2020, $0.2, 111027, $0.19, $0.2, $0.19
