Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.069, 11269, $0.0668, $0.069, $0.06
07/30/2020, $0.0688, 725, $0.0688, $0.0688, $0.0688
07/29/2020, $0.0586, 44040, $0.07, $0.073, $0.0439
07/28/2020, $0.06, 20294, $0.0475, $0.06, $0.0475
07/27/2020, $0.0582, N/A, $0.0582, $0.0582, $0.0582
07/24/2020, $0.0582, 5320, $0.0404, $0.06, $0.04
07/23/2020, $0.0585, 6388, $0.0505, $0.0699, $0.0505
07/22/2020, $0.0644, 12204, $0.07, $0.0701, $0.05
07/21/2020, $0.0701, 8049, $0.0626, $0.0701, $0.0604
07/20/2020, $0.0732, 4391, $0.0602, $0.0732, $0.0602
07/17/2020, $0.0685, 12380, $0.065, $0.077, $0.06
07/16/2020, $0.0755, 486, $0.0605, $0.0755, $0.0605
07/15/2020, $0.08, 10451, $0.064, $0.08, $0.0639
07/14/2020, $0.08, 1204, $0.08, $0.08, $0.08
07/13/2020, $0.078, 9156, $0.07, $0.08, $0.0699
07/10/2020, $0.0774, 6558, $0.08, $0.08, $0.0601
07/09/2020, $0.075, 6342, $0.09, $0.09, $0.075
07/08/2020, $0.07, 29449, $0.0551, $0.09, $0.0551
07/07/2020, $0.0551, 60126, $0.08, $0.0801, $0.05
07/06/2020, $0.0701, 10549, $0.088, $0.088, $0.07
07/02/2020, $0.09, 157679, $0.1, $0.1199, $0.08
07/01/2020, $0.0802, 169751, $0.07, $0.1337, $0.07
06/30/2020, $0.056, 355, $0.056, $0.056, $0.056
06/29/2020, $0.0503, 8909, $0.05, $0.08, $0.05
06/26/2020, $0.06, 11525, $0.06, $0.0601, $0.06
06/25/2020, $0.0704, 31885, $0.06, $0.078, $0.06
06/24/2020, $0.0753, 4600, $0.069, $0.0753, $0.0656
06/23/2020, $0.0715, 1684, $0.0691, $0.0715, $0.069
06/22/2020, $0.0799, 3409, $0.0796, $0.08, $0.07
06/19/2020, $0.07, 3998, $0.077, $0.08, $0.0685
06/18/2020, $0.0769, 17113, $0.077, $0.077, $0.0601
06/17/2020, $0.0701, 30286, $0.0601, $0.0788, $0.06
06/16/2020, $0.06, 23524, $0.0799, $0.0799, $0.06
06/15/2020, $0.07, 30801, $0.07, $0.0799, $0.07
06/12/2020, $0.0794, 16679, $0.0888, $0.0888, $0.0794
06/11/2020, $0.0712, 12342, $0.08, $0.088, $0.07
06/10/2020, $0.0751, 51137, $0.0999, $0.1, $0.0711
06/09/2020, $0.07, 67561, $0.0685, $0.1, $0.068
06/08/2020, $0.1088, 19337, $0.09, $0.11, $0.06
06/05/2020, $0.08, 43130, $0.05, $0.08, $0.05
06/04/2020, $0.09, 76572, $0.12, $0.12, $0.0608
06/03/2020, $0.1169, 154829, $0.125, $0.133, $0.1
06/02/2020, $0.1004, 901164, $0.3001, $0.44, $0.09
06/01/2020, $0.0499, 24496, $0.04, $0.0499, $0.03
05/29/2020, $0.03, 3840, $0.0301, $0.0303, $0.03
05/28/2020, $0.032, 441, $0.032, $0.032, $0.032
05/27/2020, $0.0331, 5745, $0.0331, $0.0333, $0.032
05/26/2020, $0.035, 3923, $0.0332, $0.0412, $0.033
05/22/2020, $0.033, 20100, $0.04, $0.04, $0.033
05/21/2020, $0.0415, 7265, $0.0312, $0.05, $0.0312
05/20/2020, $0.05, 19877, $0.03, $0.055, $0.03
05/19/2020, $0.0279, 13991, $0.0437, $0.0599, $0.0252
05/18/2020, $0.0341, 14236, $0.065, $0.065, $0.02
05/15/2020, $0.0688, 16533, $0.0426, $0.069, $0.04
05/14/2020, $0.023, 10271, $0.0498, $0.0499, $0.0229
05/13/2020, $0.0499, 6834, $0.069, $0.069, $0.0499
05/12/2020, $0.0499, 24958, $0.015, $0.0583, $0.015
05/11/2020, $0.0136, 56589, $0.0367, $0.0367, $0.011
