Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.8302, 61499, $0.882, $0.9184, $0.8221
07/30/2020, $0.8801, 378717, $0.831, $0.9301, $0.801
07/29/2020, $0.8579, 33191, $0.87, $0.88, $0.8403
07/28/2020, $0.8829, 50648, $0.93, $0.93, $0.8521
07/27/2020, $0.885, 61770, $0.86, $0.8899, $0.85
07/24/2020, $0.8601, 72676, $0.8316, $0.92, $0.8316
07/23/2020, $0.8464, 29317, $0.8322, $0.8599, $0.8301
07/22/2020, $0.85, 42671, $0.83, $0.85, $0.83
07/21/2020, $0.8305, 147721, $0.8975, $0.8975, $0.8222
07/20/2020, $0.883, 160841, $0.9, $0.9058, $0.8606
07/17/2020, $0.902, 156572, $0.922, $0.9699, $0.881
07/16/2020, $0.93, 207974, $0.98, $1, $0.92
07/15/2020, $0.9997, 443981, $1.13, $1.13, $0.96
07/14/2020, $1.08, 924845, $0.88, $1.09, $0.8501
07/13/2020, $1.02, 24236240, $0.88, $1.6, $0.85
07/10/2020, $0.82, 1465671, $0.7616, $1.02, $0.7616
07/09/2020, $0.7698, 35746, $0.74, $0.7864, $0.7309
07/08/2020, $0.756, 34617, $0.7622, $0.7899, $0.7405
07/07/2020, $0.7771, 35262, $0.75, $0.815, $0.75
07/06/2020, $0.7701, 17599, $0.7934, $0.8018, $0.75
07/02/2020, $0.802, 7240, $0.84, $0.84, $0.802
07/01/2020, $0.8, 30750, $0.7816, $0.8, $0.7501
06/30/2020, $0.79, 52258, $0.77, $0.8125, $0.76
06/29/2020, $0.8, 22726, $0.8417, $0.87, $0.8
06/26/2020, $0.8322, 52768, $0.8878, $0.89, $0.81
06/25/2020, $0.893, 121445, $0.812, $0.9, $0.812
06/24/2020, $0.834, 16335, $0.8899, $0.8899, $0.83
06/23/2020, $0.879, 68215, $0.85, $0.9109, $0.84
06/22/2020, $0.8829, 147253, $0.906, $0.98, $0.85
06/19/2020, $0.9111, 143865, $1.02, $1.02, $0.9
06/18/2020, $0.9559, 778438, $0.9166, $1.15, $0.9145
06/17/2020, $0.9138, 214068, $0.9003, $0.9748, $0.81
06/16/2020, $0.93, 171861, $1.02, $1.02, $0.91
06/15/2020, $1.0265, 815596, $1.06, $1.13, $0.85
06/12/2020, $0.9459, 333440, $0.8945, $1.05, $0.864
06/11/2020, $0.8944, 33655, $0.85, $0.9399, $0.82
06/10/2020, $0.9369, 73655, $0.97, $0.97, $0.8503
06/09/2020, $0.9598, 79863, $0.9201, $0.996, $0.9201
06/08/2020, $0.94, 213764, $0.99, $1, $0.9032
06/05/2020, $1, 757063, $0.9, $1.08, $0.8136
06/04/2020, $1.01, 5659291, $0.68, $1.48, $0.68
06/03/2020, $0.67, 32463, $0.7065, $0.7065, $0.65
06/02/2020, $0.6711, 26845, $0.6805, $0.7193, $0.67
06/01/2020, $0.6999, 31551, $0.7067, $0.73, $0.6803
05/29/2020, $0.71, 11477, $0.71, $0.74, $0.7001
05/28/2020, $0.73, 188762, $0.7099, $0.79, $0.6711
05/27/2020, $0.6711, 25720, $0.6833, $0.7, $0.659
05/26/2020, $0.6982, 63694, $0.67, $0.7199, $0.66
05/22/2020, $0.6987, 14578, $0.6911, $0.738, $0.6601
05/21/2020, $0.6911, 80587, $0.755, $0.76, $0.69
05/20/2020, $0.755, 698549, $0.68, $0.99, $0.6264
05/19/2020, $0.6998, 78643, $0.631, $0.6998, $0.63
05/18/2020, $0.65, 96105, $0.645, $0.65, $0.6308
05/15/2020, $0.641, 48754, $0.65, $0.67, $0.64
05/14/2020, $0.65, 61023, $0.7, $0.7, $0.65
05/13/2020, $0.67, 52309, $0.684, $0.7, $0.67
05/12/2020, $0.7, 31813, $0.71, $0.71, $0.6899
05/11/2020, $0.69, 33477, $0.71, $0.748, $0.69
