Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.28, 229867, $3.24, $3.35, $3
07/30/2020, $3.19, 138304, $3.25, $3.3, $3.1256
07/29/2020, $3.33, 115152, $3.39, $3.4, $3.19
07/28/2020, $3.37, 281653, $3.13, $3.45, $3
07/27/2020, $3.13, 1029456, $3.76, $3.79, $2.915
07/24/2020, $3.31, 314604, $2.87, $3.32, $2.8
07/23/2020, $2.93, 199882, $3.1, $3.1, $2.85
07/22/2020, $3.1, 163893, $3.13, $3.15, $2.97
07/21/2020, $3.19, 312823, $3, $3.26, $2.9
07/20/2020, $2.98, 411939, $3.35, $3.42, $2.9
07/17/2020, $3.44, 332050, $3.66, $3.8699, $3.3
07/16/2020, $3.52, 591377, $3.6, $3.84, $3.3
07/15/2020, $3.9, 2968544, $5.137, $5.16, $2.99
07/14/2020, $4.65, 531344, $4.62, $4.8, $4.25
07/13/2020, $5.28, 2143725, $3.7, $5.55, $3.7
07/10/2020, $3.61, 426404, $2.92, $3.85, $2.92
07/09/2020, $2.95, 77660, $3.04, $3.04, $2.85
07/08/2020, $3.06, 119157, $3.18, $3.21, $2.95
07/07/2020, $3.1, 98564, $3.02, $3.15, $2.945
07/06/2020, $3.02, 106693, $2.99, $3.06, $2.9077
07/02/2020, $2.97, 83294, $2.99, $3, $2.75
07/01/2020, $2.97, 89746, $2.83, $2.99, $2.62
06/30/2020, $2.86, 211681, $3.02, $3.22, $2.61
06/29/2020, $3.02, 401462, $3.2, $3.47, $2.9
06/26/2020, $3.1, 623485, $2.42, $3.33, $2.3
06/25/2020, $2.37, 181446, $2.27, $2.46, $2.1
06/24/2020, $2.21, 66765, $2.34, $2.35, $2.2
06/23/2020, $2.37, 134423, $2.4, $2.4, $2.11
06/22/2020, $2.3, 69661, $2.38, $2.44, $2.25
06/19/2020, $2.415, 68736, $2.53, $2.54, $2.32
06/18/2020, $2.56, 56405, $2.54, $2.59, $2.4138
06/17/2020, $2.52, 80537, $2.54, $2.65, $2.51
06/16/2020, $2.52, 106468, $2.5, $2.75, $2.45
06/15/2020, $2.41, 62387, $2.4, $2.55, $2.26
06/12/2020, $2.34, 136660, $2.51, $2.65, $2.21
06/11/2020, $2.41, 112395, $2.72, $2.845, $2.41
06/10/2020, $2.72, 79089, $2.78, $2.95, $2.63
06/09/2020, $2.795, 156620, $2.63, $2.86, $2.48
06/08/2020, $2.6, 156550, $2.29, $2.7099, $2.29
06/05/2020, $2.3401, 165494, $2.49, $2.51, $2.25
06/04/2020, $2.55, 107078, $2.64, $2.72, $2.55
06/03/2020, $2.7199, 302318, $2.82, $3, $2.5
06/02/2020, $2.82, 211989, $2.64, $2.92, $2.61
06/01/2020, $2.53, 226570, $2.4, $2.7, $2.2
05/29/2020, $2.28, 56868, $2.32, $2.44, $2.2601
05/28/2020, $2.33, 82934, $2.25, $2.33, $2.21
05/27/2020, $2.25, 157004, $2.32, $2.39, $2.15
05/26/2020, $2.36, 282519, $2.41, $2.47, $2.31
05/22/2020, $2.3, 756882, $1.96, $2.48, $1.96
05/21/2020, $1.96, 96828, $2.06, $2.11, $1.875
05/20/2020, $2.02, 427977, $2.11, $2.29, $1.88
05/19/2020, $1.92, 350058, $1.84, $2.07, $1.66
05/18/2020, $1.81, 239879, $1.6, $1.84, $1.55
05/15/2020, $1.58, 83951, $1.6, $1.6, $1.5
05/14/2020, $1.57, 242297, $1.42, $1.64, $1.37
05/13/2020, $1.5, 224973, $1.75, $1.75, $1.42
05/12/2020, $1.67, 286934, $1.85, $1.94, $1.54
05/11/2020, $1.94, 1367387, $1.45, $2.15, $1.37
