Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.54, 24099, $1.64, $1.65, $1.54
07/30/2020, $1.59, 27690, $1.68, $1.7, $1.58
07/29/2020, $1.705, 44051, $1.7, $1.765, $1.59
07/28/2020, $1.71, 21281, $1.69, $1.82, $1.69
07/27/2020, $1.74, 47446, $1.77, $1.8248, $1.73
07/24/2020, $1.79, 82981, $1.9, $1.95, $1.78
07/23/2020, $1.88, 179762, $1.87, $2.13, $1.8029
07/22/2020, $1.75, 145713, $1.7, $1.869, $1.7
07/21/2020, $1.65, 21026, $1.65, $1.68, $1.5678
07/20/2020, $1.57, 40737, $1.49, $1.68, $1.45
07/17/2020, $1.41, 9883, $1.42, $1.45, $1.3901
07/16/2020, $1.42, 8186, $1.472, $1.475, $1.41
07/15/2020, $1.45, 6606, $1.445, $1.47, $1.445
07/14/2020, $1.38, 13370, $1.4, $1.4099, $1.3527
07/13/2020, $1.4, 6261, $1.49, $1.49, $1.4
07/10/2020, $1.5, 14571, $1.5, $1.5198, $1.5
07/09/2020, $1.5, 22614, $1.5927, $1.5927, $1.5
07/08/2020, $1.62, 13221, $1.627, $1.63, $1.58
07/07/2020, $1.63, 30397, $1.73, $1.78, $1.63
07/06/2020, $1.68, 39635, $1.67, $1.78, $1.64
07/02/2020, $1.6699, 14151, $1.61, $1.67, $1.6
07/01/2020, $1.615, 32044, $1.63, $1.64, $1.56
06/30/2020, $1.635, 8882, $1.65, $1.65, $1.62
06/29/2020, $1.65, 27230, $1.7, $1.7, $1.65
06/26/2020, $1.65, 32251, $1.67, $1.77, $1.6
06/25/2020, $1.6497, 11863, $1.62, $1.71, $1.61
06/24/2020, $1.65, 12199, $1.7, $1.71, $1.65
06/23/2020, $1.69, 94550, $1.65, $1.7, $1.6
06/22/2020, $1.67, 39978, $1.69, $1.72, $1.65
06/19/2020, $1.69, 15584, $1.69, $1.77, $1.69
06/18/2020, $1.68, 64653, $1.75, $1.7914, $1.66
06/17/2020, $1.73, 27675, $1.8, $1.82, $1.72
06/16/2020, $1.7648, 67318, $1.85, $1.94, $1.73
06/15/2020, $1.89, 12607, $1.82, $1.92, $1.801
06/12/2020, $1.8711, 15768, $1.9, $1.93, $1.82
06/11/2020, $1.8899, 18135, $1.93, $1.94, $1.86
06/10/2020, $1.94, 61026, $1.8, $2.0465, $1.7701
06/09/2020, $1.8, 15197, $1.74, $1.85, $1.74
06/08/2020, $1.82, 64216, $1.81, $1.86, $1.75
06/05/2020, $1.79, 217399, $1.92, $1.92, $1.72
06/04/2020, $1.8, 61694, $1.67, $1.8, $1.67
06/03/2020, $1.67, 37630, $1.805, $1.805, $1.65
06/02/2020, $1.75, 5877, $1.825, $1.8298, $1.7466
06/01/2020, $1.79, 12527, $1.99, $1.99, $1.78
05/29/2020, $1.8, 6862, $2.08, $2.08, $1.8
05/28/2020, $1.91, 25032, $2.28, $2.28, $1.91
05/27/2020, $2.2, 16544, $2.1, $2.25, $2.07
05/26/2020, $2.063, 31476, $2.29, $2.46, $2.02
05/22/2020, $2.24, 1371, $2.09, $2.24, $2.08
05/21/2020, $2.23, 24607, $2.21, $2.29, $2.115
05/20/2020, $2.16, 4591, $2.17, $2.17, $2.065
05/19/2020, $2.24, 1632, $2.095, $2.25, $2.06
05/18/2020, $2.11, 823, $2.1, $2.11, $2.1
05/15/2020, $2.09, 7006, $1.9707, $2.09, $1.9136
05/14/2020, $2.03, 10527, $1.98, $2.08, $1.89
05/13/2020, $2, 2417, $1.99, $2.0999, $1.99
05/12/2020, $2.03, 16568, $2.08, $2.1, $1.86
05/11/2020, $2.01, 16215, $2.07, $2.2, $2.01
