Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.085, 119459, $1.18, $1.2049, $1.0301
07/30/2020, $1.165, 44620, $1.16, $1.21, $1.15
07/29/2020, $1.21, 51588, $1.15, $1.24, $1.15
07/28/2020, $1.165, 31209, $1.2, $1.2046, $1.14
07/27/2020, $1.22, 86377, $1.12, $1.24, $1.1
07/24/2020, $1.1301, 8503, $1.13, $1.18, $1.13
07/23/2020, $1.16, 78233, $1.23, $1.2321, $1.1
07/22/2020, $1.23, 71361, $1.22, $1.26, $1.15
07/21/2020, $1.25, 161897, $1.32, $1.34, $1.09
07/20/2020, $1.3025, 125777, $1.26, $1.35, $1.26
07/17/2020, $1.26, 73592, $1.21, $1.3, $1.21
07/16/2020, $1.22, 174445, $1.11, $1.3198, $1.11
07/15/2020, $1.1699, 182933, $1.19, $1.23, $1.08
07/14/2020, $1.0841, 90549, $1.1, $1.11, $1.07
07/13/2020, $1.13, 202592, $1.14, $1.27, $1.1
07/10/2020, $1.1203, 141975, $1.14, $1.23, $1.1028
07/09/2020, $1.1178, 93570, $1.11, $1.19, $1.0501
07/08/2020, $1.12, 195541, $1.02, $1.13, $1.02
07/07/2020, $1.03, 31904, $1.07, $1.09, $1.03
07/06/2020, $1.08, 68662, $1.17, $1.17, $1.02
07/02/2020, $1.07, 97234, $1.03, $1.12, $1.01
07/01/2020, $1.05, 204886, $1.08, $1.13, $1.01
06/30/2020, $1.15, 1704054, $1.04, $1.5, $1.0001
06/29/2020, $1.02, 147873, $0.99, $1.09, $0.9742
06/26/2020, $0.98, 108867, $0.97, $1.05, $0.96
06/25/2020, $1.01, 301295, $0.9907, $1.17, $0.98
06/24/2020, $0.9801, 34357, $0.97, $1.01, $0.96
06/23/2020, $1, 89555, $0.96, $1.03, $0.96
06/22/2020, $0.9659, 55526, $1.04, $1.06, $0.9651
06/19/2020, $1.02, 73957, $1.02, $1.07, $0.97
06/18/2020, $1.0375, 286253, $1.23, $1.23, $1
06/17/2020, $1.12, 1026541, $1.07, $1.5799, $1.01
06/16/2020, $1.05, 75204, $1.01, $1.1, $1
06/15/2020, $0.999, 40314, $0.9917, $1.06, $0.9917
06/12/2020, $1.0499, 27987, $1.06, $1.1399, $1.01
06/11/2020, $1.095, 79490, $1.18, $1.1892, $1
06/10/2020, $1.18, 149117, $1.05, $1.28, $1
06/09/2020, $1, 9099, $1, $1, $0.99
06/08/2020, $0.9999, 18765, $0.99, $1.05, $0.99
06/05/2020, $0.985, 8514, $0.985, $1, $0.985
06/04/2020, $1, 5595, $0.99, $1, $0.99
06/03/2020, $0.995, 8219, $0.99, $1, $0.9899
06/02/2020, $0.99, 1926, $0.9881, $0.99, $0.9875
06/01/2020, $0.9899, 1522, $0.9875, $0.99, $0.9875
05/29/2020, $0.9851, 10871, $0.985, $0.99, $0.985
05/28/2020, $0.985, 7311, $0.96, $0.986, $0.95
05/27/2020, $0.98, 9809, $0.96, $0.985, $0.96
05/26/2020, $0.96, 7063, $0.99, $0.99, $0.9502
05/22/2020, $1, 798, $0.9502, $1, $0.9502
05/21/2020, $0.9825, 1521, $0.955, $0.9825, $0.955
05/20/2020, $0.97, 8267, $0.96, $0.97, $0.95
05/19/2020, $1.0038, 2388, $0.9602, $1.0038, $0.9602
05/18/2020, $1.01, 7525, $0.95, $1.01, $0.95
05/15/2020, $0.9648, 1675, $1, $1, $0.9648
05/14/2020, $1, N/A, $1, $1, $1
05/13/2020, $1, 2091, $0.9995, $1, $0.972
05/12/2020, $0.9702, 7644, $1, $1, $0.9702
05/11/2020, $1.01, 1657, $0.99, $1.01, $0.99
