Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.25, 510801, $1.28, $1.32, $1.24
07/30/2020, $1.28, 810494, $1.3, $1.305, $1.21
07/29/2020, $1.32, 1827211, $1.36, $1.37, $1.16
07/28/2020, $1.34, 837717, $1.53, $1.54, $1.32
07/27/2020, $1.53, 513430, $1.51, $1.59, $1.5
07/24/2020, $1.48, 679271, $1.48, $1.55, $1.42
07/23/2020, $1.48, 2904616, $1.5, $1.62, $1.43
07/22/2020, $1.45, 1018807, $1.4, $1.4827, $1.39
07/21/2020, $1.4, 824880, $1.42, $1.45, $1.38
07/20/2020, $1.37, 761830, $1.36, $1.4, $1.34
07/17/2020, $1.37, 1536973, $1.37, $1.43, $1.32
07/16/2020, $1.39, 2253396, $1.36, $1.51, $1.25
07/15/2020, $1.34, 1703640, $1.28, $1.37, $1.25
07/14/2020, $1.265, 385491, $1.2, $1.28, $1.19
07/13/2020, $1.2, 434175, $1.25, $1.28, $1.2
07/10/2020, $1.26, 407929, $1.3, $1.3299, $1.25
07/09/2020, $1.32, 876936, $1.31, $1.375, $1.26
07/08/2020, $1.31, 281576, $1.29, $1.32, $1.28
07/07/2020, $1.29, 355785, $1.26, $1.33, $1.25
07/06/2020, $1.28, 1566001, $1.27, $1.34, $1.26
07/02/2020, $1.26, 676894, $1.27, $1.2913, $1.24
07/01/2020, $1.28, 426776, $1.27, $1.29, $1.23
06/30/2020, $1.25, 354321, $1.27, $1.3, $1.23
06/29/2020, $1.26, 803461, $1.28, $1.33, $1.2
06/26/2020, $1.24, 521288, $1.27, $1.29, $1.23
06/25/2020, $1.28, 647981, $1.25, $1.3, $1.21
06/24/2020, $1.22, 677303, $1.34, $1.34, $1.2
06/23/2020, $1.24, 591267, $1.22, $1.27, $1.17
06/22/2020, $1.19, 866496, $1.27, $1.28, $1.15
06/19/2020, $1.25, 567880, $1.25, $1.2827, $1.23
06/18/2020, $1.24, 336530, $1.26, $1.27, $1.21
06/17/2020, $1.26, 520049, $1.3, $1.33, $1.23
06/16/2020, $1.32, 916558, $1.35, $1.35, $1.27
06/15/2020, $1.31, 1521803, $1.27, $1.35, $1.18
06/12/2020, $1.26, 1040894, $1.17, $1.27, $1.16
06/11/2020, $1.17, 968308, $1.13, $1.2, $1.11
06/10/2020, $1.22, 881955, $1.25, $1.28, $1.17
06/09/2020, $1.24, 869423, $1.28, $1.3, $1.2
06/08/2020, $1.25, 1366646, $1.15, $1.26, $1.14
06/05/2020, $1.15, 794058, $1.16, $1.19, $1.12
06/04/2020, $1.16, 1284138, $1.2, $1.24, $1.13
06/03/2020, $1.18, 2243678, $1.17, $1.2163, $1.1
06/02/2020, $1.11, 1374488, $1.11, $1.14, $1.08
06/01/2020, $1.1, 3146297, $1.15, $1.2, $1.09
05/29/2020, $1.12, 5893754, $1, $1.12, $0.99
05/28/2020, $1.13, 65419160, $1.05, $1.53, $0.9618
05/27/2020, $0.782, 3336245, $0.8, $0.8, $0.759
05/26/2020, $0.79, 551914, $0.79, $0.79, $0.751
05/22/2020, $0.78, 528780, $0.81, $0.81, $0.7206
05/21/2020, $0.7999, 1044037, $0.77, $0.83, $0.76
05/20/2020, $0.7777, 386595, $0.75, $0.795, $0.74
05/19/2020, $0.77, 551147, $0.73, $0.79, $0.728
05/18/2020, $0.76, 856503, $0.737, $0.77, $0.705
05/15/2020, $0.73, 1019164, $0.72, $0.74, $0.7
05/14/2020, $0.7275, 1996720, $0.75, $0.7911, $0.7003
05/13/2020, $0.7801, 25586800, $1, $1.06, $0.74
05/12/2020, $0.6234, 1199973, $0.615, $0.638, $0.612
05/11/2020, $0.6107, 265467, $0.57, $0.6399, $0.57
