Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.51, 91490, $1.6, $1.6137, $1.51
07/30/2020, $1.6, 229405, $1.67, $1.67, $1.59
07/29/2020, $1.66, 72336, $1.73, $1.79, $1.63
07/28/2020, $1.7, 35782, $1.71, $1.82, $1.69
07/27/2020, $1.69, 127562, $1.72, $1.7501, $1.66
07/24/2020, $1.74, 66476, $1.76, $1.8, $1.7096
07/23/2020, $1.81, 145027, $1.81, $1.86, $1.7354
07/22/2020, $1.83, 90032, $1.83, $1.9, $1.77
07/21/2020, $1.86, 85155, $2, $2, $1.82
07/20/2020, $1.94, 94457, $2.02, $2.0335, $1.91
07/17/2020, $2.04, 368730, $2.05, $2.09, $1.9
07/16/2020, $1.85, 140208, $1.73, $1.94, $1.73
07/15/2020, $1.75, 157651, $1.81, $1.98, $1.7
07/14/2020, $1.79, 225130, $1.84, $1.88, $1.6197
07/13/2020, $1.78, 86168, $1.87, $1.92, $1.78
07/10/2020, $1.87, 59286, $1.9121, $1.93, $1.8301
07/09/2020, $1.93, 56815, $1.9, $1.95, $1.86
07/08/2020, $1.9, 47971, $1.95, $2, $1.9
07/07/2020, $1.9, 75722, $1.9, $2, $1.9
07/06/2020, $1.9, 46537, $1.99, $2, $1.9
07/02/2020, $1.98, 41071, $1.99, $2.05, $1.98
07/01/2020, $2, 80548, $1.97, $2.08, $1.9394
06/30/2020, $2, 40864, $1.91, $2, $1.91
06/29/2020, $1.92, 91103, $1.89, $1.99, $1.8801
06/26/2020, $2, 124780, $2.22, $2.3092, $1.96
06/25/2020, $2.1943, 600319, $2.14, $2.5, $2.08
06/24/2020, $2.12, 285663, $1.98, $2.155, $1.88
06/23/2020, $1.95, 100529, $1.9, $1.98, $1.9
06/22/2020, $1.9, 36419, $1.95, $1.95, $1.88
06/19/2020, $1.92, 51434, $1.94, $1.99, $1.875
06/18/2020, $1.915, 30540, $1.89, $1.95, $1.86
06/17/2020, $1.86, 126019, $1.84, $1.9902, $1.8
06/16/2020, $1.91, 279079, $1.94, $2.2, $1.9
06/15/2020, $1.93, 45368, $1.8, $1.95, $1.76
06/12/2020, $1.85, 43067, $1.84, $1.9, $1.75
06/11/2020, $1.84, 170144, $1.86, $1.9399, $1.73
06/10/2020, $1.9, 46167, $1.96, $1.998, $1.855
06/09/2020, $1.97, 269853, $1.89, $2.11, $1.85
06/08/2020, $1.89, 42973, $1.86, $1.89, $1.7716
06/05/2020, $1.77, 67803, $1.79, $1.87, $1.75
06/04/2020, $1.8, 95467, $1.83, $1.8666, $1.73
06/03/2020, $1.83, 116566, $1.97, $1.97, $1.7972
06/02/2020, $1.91, 257224, $1.8, $2, $1.76
06/01/2020, $1.8, 88213, $1.72, $1.8177, $1.7
05/29/2020, $1.76, 50445, $1.74, $1.7668, $1.6583
05/28/2020, $1.7589, 31335, $1.71, $1.78, $1.6901
05/27/2020, $1.71, 34342, $1.76, $1.8, $1.68
05/26/2020, $1.76, 55736, $1.84, $1.85, $1.72
05/22/2020, $1.73, 77413, $1.74, $1.77, $1.67
05/21/2020, $1.75, 64121, $1.77, $1.77, $1.7
05/20/2020, $1.78, 57153, $1.79, $1.7951, $1.71
05/19/2020, $1.79, 83102, $1.72, $1.86, $1.68
05/18/2020, $1.75, 154213, $1.74, $1.8284, $1.69
05/15/2020, $1.68, 108365, $1.51, $1.68, $1.5
05/14/2020, $1.55, 209610, $1.61, $1.6215, $1.43
05/13/2020, $1.66, 153563, $1.72, $1.7514, $1.5882
05/12/2020, $1.76, 166131, $1.93, $1.9656, $1.71
05/11/2020, $1.85, 490848, $1.75, $2.09, $1.724
