Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.719, 2503613, $0.8, $0.8133, $0.66
07/30/2020, $0.8, 1984261, $0.7918, $0.8699, $0.76
07/29/2020, $0.81, 3163980, $0.85, $0.934, $0.78
07/28/2020, $0.9502, 5510296, $0.8, $1.13, $0.7529
07/27/2020, $0.86, 7807920, $1.06, $1.13, $0.86
07/24/2020, $1.29, 62778180, $0.71, $1.45, $0.61
07/23/2020, $0.587, 4184562, $0.644, $0.7, $0.57
07/22/2020, $0.79, 585335, $0.86, $0.8799, $0.78
07/21/2020, $0.8447, 438193, $0.817, $0.899, $0.805
07/20/2020, $0.8, 413499, $0.8265, $0.8501, $0.78
07/17/2020, $0.8115, 492400, $0.85, $0.89, $0.803
07/16/2020, $0.8501, 402886, $0.8836, $0.94, $0.8214
07/15/2020, $0.88, 1185338, $0.8, $0.9398, $0.79
07/14/2020, $0.78, 893836, $0.85, $0.87, $0.7715
07/13/2020, $0.8627, 426562, $0.91, $0.94, $0.8511
07/10/2020, $0.8901, 483942, $0.92, $0.9398, $0.88
07/09/2020, $0.94, 937142, $1.01, $1.01, $0.918
07/08/2020, $1.03, 4687373, $1, $1.05, $0.8467
07/07/2020, $1.29, 526368, $1.4, $1.4, $1.26
07/06/2020, $1.41, 816392, $1.33, $1.44, $1.28
07/02/2020, $1.25, 737211, $1.39, $1.39, $1.24
07/01/2020, $1.38, 696403, $1.47, $1.52, $1.32
06/30/2020, $1.46, 299422, $1.47, $1.54, $1.43
06/29/2020, $1.46, 459421, $1.47, $1.58, $1.41
06/26/2020, $1.43, 1326490, $1.5, $1.53, $1.3998
06/25/2020, $1.52, 752569, $1.64, $1.64, $1.48
06/24/2020, $1.63, 703876, $1.82, $1.8259, $1.6
06/23/2020, $1.82, 446099, $1.9, $1.9375, $1.81
06/22/2020, $1.85, 1932362, $2, $2.5024, $1.8
06/19/2020, $2.04, 805112, $2, $2.04, $1.865
06/18/2020, $1.96, 445321, $1.84, $2, $1.76
06/17/2020, $1.88, 612704, $2.06, $2.06, $1.84
06/16/2020, $2, 954138, $2.12, $2.14, $1.899
06/15/2020, $1.84, 892892, $1.68, $1.85, $1.49
06/12/2020, $1.78, 997805, $2.085, $2.085, $1.65
06/11/2020, $1.71, 927221, $1.84, $1.9538, $1.7
06/10/2020, $2.03, 1249957, $2.39, $2.39, $2.02
06/09/2020, $2.42, 1977970, $2.32, $2.845, $2.18
06/08/2020, $2.42, 4203110, $2.25, $2.65, $1.85
06/05/2020, $2.755, 11862990, $2.18, $3.68, $2
06/04/2020, $1.92, 2779871, $1.6, $2.28, $1.51
06/03/2020, $1.55, 951256, $1.63, $1.68, $1.52
06/02/2020, $1.61, 855170, $1.76, $1.76, $1.59
06/01/2020, $1.74, 598084, $1.61, $1.7698, $1.59
05/29/2020, $1.67, 1133581, $1.88, $1.88, $1.66
05/28/2020, $1.95, 2721262, $2.1, $2.375, $1.81
05/27/2020, $2.335, 6113783, $1.35, $2.45, $1.35
05/26/2020, $1.345, 961665, $1.3, $1.38, $1.21
05/22/2020, $1.24, 1003606, $1.3, $1.35, $1.17
05/21/2020, $1.31, 690433, $1.3, $1.45, $1.27
05/20/2020, $1.26, 759711, $1.3, $1.47, $1.26
05/19/2020, $1.26, 1223938, $1.11, $1.345, $1.055
05/18/2020, $1.11, 604255, $1.13, $1.19, $1.09
05/15/2020, $1.04, 498874, $1.13, $1.13, $1.03
05/14/2020, $1.135, 448124, $1.04, $1.16, $1.01
05/13/2020, $1.03, 549691, $1.15, $1.15, $1.02
05/12/2020, $1.14, 417500, $1.21, $1.25, $1.12
05/11/2020, $1.2, 498284, $1.23, $1.23, $1.13
