Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.96, 224858, $4.07, $4.07, $3.88
07/30/2020, $4, 118111, $3.9, $4, $3.82
07/29/2020, $3.94, 154662, $3.83, $3.97, $3.78
07/28/2020, $3.82, 132365, $3.71, $3.85, $3.67
07/27/2020, $3.73, 228619, $3.88, $3.88, $3.66
07/24/2020, $3.88, 84651, $3.91, $3.95, $3.88
07/23/2020, $3.93, 128522, $3.93, $3.9927, $3.867
07/22/2020, $3.9, 130255, $3.69, $3.94, $3.69
07/21/2020, $3.77, 264051, $3.6, $3.85, $3.58
07/20/2020, $3.58, 424870, $3.69, $3.6998, $3.52
07/17/2020, $3.68, 183989, $3.76, $3.7999, $3.65
07/16/2020, $3.73, 124018, $3.83, $3.8491, $3.71
07/15/2020, $3.84, 337009, $3.76, $3.89, $3.73
07/14/2020, $3.73, 549994, $3.88, $3.99, $3.7
07/13/2020, $3.95, 242086, $3.7, $3.9789, $3.7
07/10/2020, $3.69, 361742, $3.65, $3.7, $3.61
07/09/2020, $3.66, 511416, $3.77, $3.79, $3.6
07/08/2020, $3.77, 303730, $3.89, $3.92, $3.77
07/07/2020, $3.88, 417610, $3.92, $3.99, $3.82
07/06/2020, $3.92, 203341, $4, $4.1, $3.9
07/02/2020, $4, 369560, $4, $4.08, $3.9
07/01/2020, $3.98, 180951, $4.1, $4.12, $3.96
06/30/2020, $4.12, 181701, $4.06, $4.12, $3.9968
06/29/2020, $4.06, 178083, $4.14, $4.185, $4.01
06/26/2020, $4.16, 176606, $4.19, $4.25, $4.07
06/25/2020, $4.25, 106745, $4.2, $4.35, $4.1101
06/24/2020, $4.21, 439063, $4.11, $4.22, $3.97
06/23/2020, $4.1, 305005, $4.19, $4.2499, $4.04
06/22/2020, $4.19, 271033, $4.2, $4.3, $4.1
06/19/2020, $4.25, 245776, $4.4, $4.4, $4.21
06/18/2020, $4.33, 145577, $4.45, $4.53, $4.29
06/17/2020, $4.51, 198943, $4.53, $4.555, $4.3
06/16/2020, $4.53, 93368, $4.59, $4.71, $4.49
06/15/2020, $4.47, 109268, $4.26, $4.54, $4.26
06/12/2020, $4.38, 148166, $4.33, $4.54, $4.31
06/11/2020, $4.32, 290947, $4.34, $4.35, $4.175
06/10/2020, $4.41, 675924, $4.78, $4.82, $4.37
06/09/2020, $4.82, 169651, $4.8, $4.919, $4.72
06/08/2020, $4.85, 252646, $4.8, $5.05, $4.7996
06/05/2020, $4.8, 211639, $4.94, $5.08, $4.75
06/04/2020, $4.79, 102986, $4.63, $4.8, $4.544
06/03/2020, $4.59, 278010, $4.52, $4.72, $4.4752
06/02/2020, $4.48, 238863, $4.72, $4.7525, $4.45
06/01/2020, $4.71, 89560, $4.76, $4.84, $4.71
05/29/2020, $4.78, 130930, $4.92, $5, $4.68
05/28/2020, $4.97, 183936, $5.02, $5.07, $4.91
05/27/2020, $5.03, 464068, $4.75, $5.03, $4.7
05/26/2020, $4.72, 449440, $4.42, $4.844, $4.4
05/22/2020, $4.36, 645256, $4.82, $4.84, $4.25
05/21/2020, $4.86, 143736, $4.83, $4.95, $4.8
05/20/2020, $4.84, 149888, $4.85, $4.93, $4.8103
05/19/2020, $4.79, 188718, $4.65, $4.85, $4.55
05/18/2020, $4.65, 304435, $4.39, $4.75, $4.39
05/15/2020, $4.33, 116569, $4.15, $4.4, $4.15
05/14/2020, $4.2, 136345, $4.13, $4.221, $4.03
05/13/2020, $4.18, 438114, $4.39, $4.4, $3.96
05/12/2020, $4.37, 270050, $4.6, $4.6, $4.349
05/11/2020, $4.57, 584771, $4.69, $4.707, $4.41
