Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.56, 2142542, $2.59, $2.62, $2.53
07/30/2020, $2.59, 1922019, $2.58, $2.65, $2.56
07/29/2020, $2.59, 4007418, $2.65, $2.67, $2.5
07/28/2020, $2.61, 4408366, $2.75, $2.79, $2.6
07/27/2020, $2.74, 2404151, $2.79, $2.85, $2.7
07/24/2020, $2.81, 2658332, $2.87, $2.89, $2.73
07/23/2020, $2.91, 2797327, $2.96, $3.09, $2.88
07/22/2020, $2.94, 1514150, $2.9, $2.95, $2.87
07/21/2020, $2.88, 2293931, $2.99, $3.04, $2.865
07/20/2020, $2.98, 4357401, $3.15, $3.205, $2.87
07/17/2020, $3.08, 6920513, $2.86, $3.2, $2.84
07/16/2020, $2.83, 2343508, $2.88, $2.94, $2.81
07/15/2020, $2.87, 2263628, $2.85, $2.91, $2.75
07/14/2020, $2.82, 2740439, $2.72, $2.82, $2.62
07/13/2020, $2.655, 3514960, $2.86, $2.9, $2.64
07/10/2020, $2.81, 2171962, $2.9, $2.9, $2.78
07/09/2020, $2.9, 3532006, $2.79, $2.905, $2.78
07/08/2020, $2.8, 2492844, $2.77, $2.81, $2.66
07/07/2020, $2.75, 2329750, $2.69, $2.78, $2.65
07/06/2020, $2.69, 2715226, $2.66, $2.715, $2.56
07/02/2020, $2.67, 2555813, $2.69, $2.74, $2.575
07/01/2020, $2.72, 2474597, $2.75, $2.78, $2.62
06/30/2020, $2.76, 2919686, $2.78, $2.83, $2.66
06/29/2020, $2.75, 4964355, $2.94, $3.03, $2.64
06/26/2020, $2.89, 13758220, $3.05, $3.18, $2.7
06/25/2020, $2.88, 16354390, $2.42, $2.93, $2.39
06/24/2020, $2.22, 4229382, $2.33, $2.42, $2.16
06/23/2020, $2.36, 3655740, $2.41, $2.43, $2.24
06/22/2020, $2.47, 13033640, $2.3, $2.68, $2.24
06/19/2020, $1.97, 35437550, $2.84, $2.87, $1.56
06/18/2020, $2.87, 2223744, $2.9, $2.96, $2.795
06/17/2020, $2.94, 2899788, $3.06, $3.18, $2.88
06/16/2020, $3.03, 3244192, $3.22, $3.2959, $2.9801
06/15/2020, $3.2, 4488680, $2.85, $3.22, $2.8171
06/12/2020, $2.84, 2202749, $2.84, $2.93, $2.76
06/11/2020, $2.76, 2398403, $2.79, $2.94, $2.735
06/10/2020, $2.8, 1762828, $2.89, $2.94, $2.77
06/09/2020, $2.87, 2316266, $2.85, $2.97, $2.77
06/08/2020, $2.91, 2933114, $2.8, $2.96, $2.7
06/05/2020, $2.78, 3507044, $2.86, $2.91, $2.71
06/04/2020, $2.83, 2963690, $2.93, $2.97, $2.81
06/03/2020, $2.91, 2460571, $3.1, $3.11, $2.88
06/02/2020, $3.12, 2168535, $2.99, $3.13, $2.92
06/01/2020, $3.01, 3435544, $2.79, $3.1201, $2.76
05/29/2020, $2.91, 4339325, $2.8, $2.93, $2.73
05/28/2020, $2.78, 1686025, $2.81, $2.865, $2.78
05/27/2020, $2.85, 4119542, $3, $3.03, $2.65
05/26/2020, $2.97, 2837213, $3.06, $3.14, $2.95
05/22/2020, $3.06, 2212202, $3.12, $3.155, $3
05/21/2020, $3.12, 3103664, $3.2, $3.29, $3.08
05/20/2020, $3.18, 4650634, $3.1, $3.22, $3.056
05/19/2020, $2.98, 3107134, $3.04, $3.09, $2.95
05/18/2020, $3.065, 5414534, $3.08, $3.29, $2.97
05/15/2020, $3.03, 2607798, $2.92, $3.06, $2.89
05/14/2020, $2.99, 3544181, $3, $3.07, $2.86
05/13/2020, $3.105, 4858327, $3.08, $3.35, $2.85
05/12/2020, $3.06, 5059600, $3.32, $3.39, $3.025
05/11/2020, $3.27, 7197609, $2.89, $3.31, $2.88
