Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.61, 969841, $2.66, $2.68, $2.56
07/30/2020, $2.68, 1204927, $2.63, $2.69, $2.55
07/29/2020, $2.65, 524858, $2.64, $2.69, $2.62
07/28/2020, $2.65, 416520, $2.65, $2.7, $2.64
07/27/2020, $2.68, 465109, $2.75, $2.79, $2.68
07/24/2020, $2.73, 648389, $2.78, $2.8, $2.71
07/23/2020, $2.81, 552593, $2.8, $2.84, $2.76
07/22/2020, $2.83, 694696, $2.87, $2.94, $2.79
07/21/2020, $2.87, 2423621, $2.89, $3.0337, $2.8
07/20/2020, $2.74, 533743, $2.78, $2.8, $2.72
07/17/2020, $2.76, 916850, $2.71, $2.83, $2.71
07/16/2020, $2.735, 495440, $2.75, $2.77, $2.7
07/15/2020, $2.75, 877467, $2.73, $2.805, $2.7
07/14/2020, $2.65, 760726, $2.67, $2.69, $2.61
07/13/2020, $2.66, 854054, $2.613, $2.75, $2.61
07/10/2020, $2.6, 579674, $2.59, $2.615, $2.53
07/09/2020, $2.58, 812081, $2.69, $2.7041, $2.56
07/08/2020, $2.69, 774193, $2.7, $2.72, $2.62
07/07/2020, $2.7, 771489, $2.78, $2.83, $2.7
07/06/2020, $2.8, 881420, $2.78, $2.815, $2.7321
07/02/2020, $2.73, 697966, $2.72, $2.76, $2.66
07/01/2020, $2.69, 998986, $2.77, $2.785, $2.625
06/30/2020, $2.75, 1042267, $2.68, $2.75, $2.63
06/29/2020, $2.69, 1039710, $2.77, $2.77, $2.64
06/26/2020, $2.71, 2164771, $2.86, $2.87, $2.7
06/25/2020, $2.86, 881570, $2.81, $2.87, $2.78
06/24/2020, $2.82, 1055242, $2.87, $2.88, $2.79
06/23/2020, $2.91, 996993, $2.9, $3, $2.88
06/22/2020, $2.88, 1044396, $2.9, $2.94, $2.81
06/19/2020, $2.9, 2073641, $2.91, $2.98, $2.87
06/18/2020, $2.875, 833442, $2.82, $2.94, $2.82
06/17/2020, $2.86, 739981, $2.91, $2.95, $2.82
06/16/2020, $2.92, 958681, $3.01, $3.03, $2.85
06/15/2020, $2.9, 874429, $2.74, $2.94, $2.7
06/12/2020, $2.78, 1057381, $2.85, $2.87, $2.68
06/11/2020, $2.73, 1689066, $2.82, $2.91, $2.68
06/10/2020, $2.92, 1193140, $2.98, $3.015, $2.91
06/09/2020, $2.99, 1245996, $3.12, $3.13, $2.95
06/08/2020, $3.13, 1095621, $3.22, $3.24, $3.06
06/05/2020, $3.12, 1830379, $2.99, $3.195, $2.95
06/04/2020, $2.925, 907038, $2.89, $3.03, $2.88
06/03/2020, $2.91, 1904925, $2.93, $3.005, $2.87
06/02/2020, $2.86, 1333777, $2.83, $2.91, $2.75
06/01/2020, $2.81, 1221553, $2.87, $2.96, $2.81
05/29/2020, $2.87, 1215616, $2.89, $2.95, $2.78
05/28/2020, $2.91, 1702973, $2.85, $3.05, $2.79
05/27/2020, $2.805, 1848365, $2.88, $2.89, $2.63
05/26/2020, $2.82, 1195835, $2.96, $3.02, $2.81
05/22/2020, $2.91, 925099, $2.84, $2.93, $2.75
05/21/2020, $2.81, 906343, $2.76, $2.86, $2.67
05/20/2020, $2.74, 1042820, $2.65, $2.82, $2.64
05/19/2020, $2.59, 801601, $2.7, $2.72, $2.59
05/18/2020, $2.72, 1264242, $2.6, $2.76, $2.6
05/15/2020, $2.54, 899627, $2.57, $2.59, $2.5
05/14/2020, $2.57, 1518822, $2.58, $2.6, $2.39
05/13/2020, $2.64, 1587361, $2.92, $2.93, $2.61
05/12/2020, $2.91, 1521233, $2.98, $3.08, $2.91
05/11/2020, $2.94, 1703426, $2.79, $3.025, $2.74
