Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.38, 496294, $0.39, $0.4, $0.33
07/30/2020, $0.4, 432464, $0.3101, $0.4, $0.3101
07/29/2020, $0.35, 773360, $0.35, $0.38, $0.3047
07/28/2020, $0.32, 748013, $0.34, $0.38, $0.282
07/27/2020, $0.35, 761579, $0.29, $0.35, $0.271
07/24/2020, $0.3099, 43986, $0.3, $0.3287, $0.3
07/23/2020, $0.31, 125460, $0.315, $0.3525, $0.2999
07/22/2020, $0.32, 32314, $0.3582, $0.37, $0.32
07/21/2020, $0.34, 177192, $0.325, $0.3698, $0.3212
07/20/2020, $0.3099, 42847, $0.35, $0.35, $0.3011
07/17/2020, $0.3348, 61101, $0.26, $0.3501, $0.26
07/16/2020, $0.3199, 59794, $0.3499, $0.35, $0.31
07/15/2020, $0.33, 510212, $0.24, $0.36, $0.24
07/14/2020, $0.23, 71662, $0.249, $0.2695, $0.22
07/13/2020, $0.249, 110226, $0.27, $0.3, $0.22
07/10/2020, $0.2624, 260264, $0.24, $0.2625, $0.22
07/09/2020, $0.2324, 304146, $0.2295, $0.26, $0.2
07/08/2020, $0.2, 152072, $0.2, $0.25, $0.19
07/07/2020, $0.2211, 144713, $0.25, $0.26, $0.2
07/06/2020, $0.244, 122766, $0.2799, $0.3602, $0.24
07/02/2020, $0.2368, 138401, $0.16, $0.25, $0.16
07/01/2020, $0.2, 247770, $0.24, $0.24, $0.15
06/30/2020, $0.2389, 332584, $0.2524, $0.2602, $0.2001
06/29/2020, $0.328, 152651, $0.37, $0.3775, $0.3011
06/26/2020, $0.3305, 95925, $0.33, $0.37, $0.32
06/25/2020, $0.32, 288123, $0.3, $0.37, $0.2801
06/24/2020, $0.33, 475901, $0.3, $0.3556, $0.2601
06/23/2020, $0.3, 146658, $0.255, $0.33, $0.25
06/22/2020, $0.2785, 511618, $0.4, $0.42, $0.258
06/19/2020, $0.3199, 534503, $0.27, $0.405, $0.27
06/18/2020, $0.3101, 232506, $0.3, $0.32, $0.24
06/17/2020, $0.3164, 160292, $0.4, $0.4001, $0.3
06/16/2020, $0.36, 215262, $0.4001, $0.4389, $0.3
06/15/2020, $0.375, 163226, $0.4, $0.4001, $0.3101
06/12/2020, $0.4, 317997, $0.4999, $0.52, $0.33
06/11/2020, $0.3999, 851097, $0.4498, $0.55, $0.27
06/10/2020, $0.437, 2158522, $0.5, $0.9, $0.35
06/09/2020, $0.25, 575519, $0.2, $0.2625, $0.18
06/08/2020, $0.18, 455853, $0.23, $0.23, $0.1351
06/05/2020, $0.17, 648279, $0.15, $0.2, $0.12
06/04/2020, $0.13, 1061720, $0.1, $0.182, $0.1
06/03/2020, $0.092, 233820, $0.07, $0.095, $0.05
06/02/2020, $0.06, 247430, $0.09, $0.09, $0.0457
06/01/2020, $0.0704, 227898, $0.08, $0.117, $0.06
05/29/2020, $0.09, 615026, $0.1576, $0.1576, $0.0606
05/28/2020, $0.0606, 152246, $0.033, $0.0771, $0.033
05/27/2020, $0.033, 12024, $0.0353, $0.04, $0.0311
05/26/2020, $0.04, 36589, $0.03, $0.05, $0.03
05/22/2020, $0.0311, 39631, $0.05, $0.05, $0.03
05/21/2020, $0.035, 73952, $0.05, $0.056, $0.0213
05/20/2020, $0.0425, N/A, $0.0425, $0.0425, $0.0425
05/19/2020, $0.0425, 3019, $0.043, $0.043, $0.042
05/18/2020, $0.0438, 54194, $0.046, $0.046, $0.0425
05/15/2020, $0.042, 40600, $0.0211, $0.046, $0.0211
05/14/2020, $0.0397, 1201, $0.0398, $0.0398, $0.0397
05/13/2020, $0.0399, 8762, $0.039, $0.0399, $0.0388
05/12/2020, $0.0301, 6136, $0.04, $0.04, $0.03
05/11/2020, $0.04, 3801, $0.04, $0.0428, $0.04
