Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.4461, 5761501, $0.463, $0.4899, $0.44
07/30/2020, $0.4866, 9783332, $0.4146, $0.5, $0.4025
07/29/2020, $0.434, 7920937, $0.47, $0.4838, $0.4071
07/28/2020, $0.4823, 15634060, $0.4231, $0.505, $0.4231
07/27/2020, $0.4305, 4291329, $0.412, $0.4595, $0.4
07/24/2020, $0.412, 2661736, $0.407, $0.4142, $0.3886
07/23/2020, $0.4167, 2605871, $0.405, $0.42, $0.4
07/22/2020, $0.4043, 6095978, $0.42, $0.4244, $0.384
07/21/2020, $0.4346, 9651718, $0.467, $0.4736, $0.4106
07/20/2020, $0.439, 14114240, $0.39, $0.4398, $0.38
07/17/2020, $0.362, 9048119, $0.33, $0.37, $0.325
07/16/2020, $0.324, 1924642, $0.3199, $0.329, $0.31
07/15/2020, $0.3191, 1850854, $0.302, $0.32, $0.3
07/14/2020, $0.3095, 2370014, $0.3131, $0.3175, $0.3
07/13/2020, $0.32, 2579507, $0.333, $0.3339, $0.3132
07/10/2020, $0.3339, 1961341, $0.325, $0.3398, $0.3221
07/09/2020, $0.3366, 2262771, $0.34, $0.3445, $0.3251
07/08/2020, $0.34, 2861621, $0.342, $0.3467, $0.325
07/07/2020, $0.3473, 3442675, $0.35, $0.35, $0.331
07/06/2020, $0.3469, 6609639, $0.359, $0.3599, $0.336
07/02/2020, $0.332, 6839449, $0.326, $0.335, $0.3064
07/01/2020, $0.3305, 13794050, $0.32, $0.3469, $0.3162
06/30/2020, $0.3095, 5995723, $0.2955, $0.32, $0.292
06/29/2020, $0.2975, 5794402, $0.3074, $0.3082, $0.29
06/26/2020, $0.3092, 9394263, $0.3044, $0.317, $0.2911
06/25/2020, $0.3, 13828070, $0.3, $0.308, $0.287
06/24/2020, $0.2899, 21572430, $0.3, $0.304, $0.2752
06/23/2020, $0.39, 2462576, $0.41, $0.43, $0.381
06/22/2020, $0.4015, 1265076, $0.395, $0.405, $0.38
06/19/2020, $0.39, 2005949, $0.39, $0.4291, $0.39
06/18/2020, $0.3883, 1730255, $0.4001, $0.4034, $0.3701
06/17/2020, $0.3951, 1930430, $0.4262, $0.438, $0.393
06/16/2020, $0.446, 2096795, $0.43, $0.45, $0.419
06/15/2020, $0.45, 1495952, $0.43, $0.45, $0.4
06/12/2020, $0.4589, 2197634, $0.4484, $0.485, $0.4263
06/11/2020, $0.4401, 3145292, $0.4725, $0.48, $0.42
06/10/2020, $0.52, 4995253, $0.63, $0.63, $0.5
06/09/2020, $0.6396, 10394600, $0.5, $0.65, $0.4852
06/08/2020, $0.4848, 3553650, $0.5, $0.5, $0.45
06/05/2020, $0.45, 2951382, $0.43, $0.45, $0.39
06/04/2020, $0.4238, 4701311, $0.385, $0.4617, $0.3803
06/03/2020, $0.3799, 2146962, $0.37, $0.39, $0.36
06/02/2020, $0.3685, 1198128, $0.38, $0.38, $0.351
06/01/2020, $0.3745, 1881636, $0.3612, $0.38, $0.35
05/29/2020, $0.372, 3410735, $0.388, $0.39, $0.35
05/28/2020, $0.402, 9104964, $0.325, $0.4169, $0.3212
05/27/2020, $0.325, 1094883, $0.3318, $0.332, $0.312
05/26/2020, $0.3375, 1651839, $0.33, $0.338, $0.3225
05/22/2020, $0.341, 1959783, $0.3595, $0.3595, $0.325
05/21/2020, $0.359, 5009773, $0.35, $0.3899, $0.3315
05/20/2020, $0.345, 5776588, $0.321, $0.355, $0.31
05/19/2020, $0.3, 1325442, $0.3, $0.3095, $0.29
05/18/2020, $0.3034, 2062339, $0.31, $0.31, $0.2875
05/15/2020, $0.2907, 1585142, $0.29, $0.3025, $0.27
05/14/2020, $0.2887, 3052761, $0.2799, $0.3, $0.2536
05/13/2020, $0.309, 3961246, $0.315, $0.3183, $0.28
05/12/2020, $0.3114, 3143810, $0.3267, $0.3267, $0.2951
05/11/2020, $0.3239, 2454270, $0.3348, $0.343, $0.323
