Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.47, 452933, $4.51, $4.51, $4.24
07/30/2020, $4.49, 387884, $4.24, $4.52, $4.0992
07/29/2020, $4.3, 255727, $4, $4.31, $4
07/28/2020, $3.95, 516353, $4.18, $4.18, $3.95
07/27/2020, $4.18, 428156, $4.29, $4.405, $4.12
07/24/2020, $4.27, 316974, $4.35, $4.41, $4.11
07/23/2020, $4.35, 407948, $4.22, $4.555, $4.18
07/22/2020, $4.3, 556463, $4.26, $4.5, $4.1
07/21/2020, $4.24, 583964, $3.99, $4.34, $3.855
07/20/2020, $3.98, 538943, $3.65, $4.01, $3.57
07/17/2020, $3.62, 580910, $3.47, $3.71, $3.37
07/16/2020, $3.48, 274461, $3.51, $3.51, $3.365
07/15/2020, $3.55, 676990, $3.64, $3.72, $3.47
07/14/2020, $3.55, 390352, $3.46, $3.55, $3.34
07/13/2020, $3.43, 699366, $3.55, $3.6012, $3.42
07/10/2020, $3.54, 526704, $3.6, $3.6002, $3.38
07/09/2020, $3.545, 667110, $3.62, $3.86, $3.52
07/08/2020, $3.54, 1267281, $3.52, $3.67, $3.52
07/07/2020, $3.525, 1113005, $3.95, $4.04, $3.495
07/06/2020, $3.67, 904272, $4.11, $4.23, $3.65
07/02/2020, $4.05, 976067, $3.86, $4.34, $3.74
07/01/2020, $3.71, 1510013, $3.7, $3.85, $3.4
06/30/2020, $3.84, 2178456, $4.08, $4.085, $3.25
06/29/2020, $4.11, 2254743, $5.4, $5.4171, $4
06/26/2020, $5.25, 7128792, $5.12, $5.46, $5.11
06/25/2020, $5, 943822, $4.9, $5.27, $4.87
06/24/2020, $4.84, 628200, $4.57, $4.9, $4.46
06/23/2020, $4.61, 489937, $4.54, $4.74, $4.49
06/22/2020, $4.49, 468073, $4.26, $4.6, $4.23
06/19/2020, $4.34, 1103254, $4.32, $4.38, $3.955
06/18/2020, $4.29, 467836, $4.2, $4.3, $4.11
06/17/2020, $4.21, 292353, $4.37, $4.37, $4.11
06/16/2020, $4.36, 411984, $4.4, $4.5, $4.16
06/15/2020, $4.38, 656242, $4.14, $4.67, $4.04
06/12/2020, $4.14, 743319, $4.65, $4.75, $4
06/11/2020, $4, 1319330, $3.97, $4.25, $3.65
06/10/2020, $4.33, 5966367, $5.7, $5.78, $4.18
06/09/2020, $4.49, 1396542, $3.84, $4.51, $3.82
06/08/2020, $3.86, 825569, $3.63, $3.99, $3.54
06/05/2020, $3.6, 1282106, $3.2, $3.8, $3.2
06/04/2020, $3.3, 1645374, $3.67, $3.79, $3.11
06/03/2020, $3.75, 1397315, $3.67, $4.22, $3.5
06/02/2020, $3.85, 7814490, $4.43, $5.61, $3.55
06/01/2020, $4.14, 2524753, $3.29, $4.42, $3.27
05/29/2020, $3.27, 1193613, $3.4, $3.47, $3.15
05/28/2020, $3.25, 951813, $2.85, $3.34, $2.84
05/27/2020, $2.82, 381634, $2.84, $2.85, $2.54
05/26/2020, $2.73, 313054, $2.75, $2.79, $2.5503
05/22/2020, $2.7, 296461, $2.4, $2.71, $2.4
05/21/2020, $2.36, 405213, $2.58, $2.58, $2.3
05/20/2020, $2.6, 376418, $2.77, $2.79, $2.57
05/19/2020, $2.75, 472744, $2.58, $2.8, $2.35
05/18/2020, $2.57, 741244, $2.71, $2.75, $2.3215
05/15/2020, $2.63, 1131223, $2.24, $2.7, $2.22
05/14/2020, $2.17, 381312, $1.9, $2.19, $1.9
05/13/2020, $1.92, 252586, $2.15, $2.15, $1.9
05/12/2020, $2.11, 285531, $1.96, $2.2, $1.96
05/11/2020, $1.99, 297778, $2.08, $2.08, $1.96
