Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.99, 532911, $3.05, $3.14, $2.97
07/30/2020, $2.99, 150950, $2.97, $3.03, $2.93
07/29/2020, $2.98, 264923, $3.16, $3.1899, $2.97
07/28/2020, $3.1, 363126, $3, $3.19, $2.96
07/27/2020, $3, 207060, $3, $3.08, $2.92
07/24/2020, $2.99, 349741, $3.1, $3.15, $2.98
07/23/2020, $3.12, 255824, $3.06, $3.21, $3.06
07/22/2020, $3.08, 259607, $3.2, $3.22, $3.05
07/21/2020, $3.19, 330387, $3.27, $3.31, $3.1
07/20/2020, $3.25, 492870, $3.45, $3.45, $3.1
07/17/2020, $3.38, 378059, $3.35, $3.5, $3.31
07/16/2020, $3.32, 183399, $3.38, $3.4, $3.24
07/15/2020, $3.34, 910093, $3.72, $3.72, $3.25
07/14/2020, $3.5, 2010745, $3.24, $3.89, $3.21
07/13/2020, $3.11, 411625, $3.15, $3.2, $3.05
07/10/2020, $2.88, 69422, $2.87, $2.9166, $2.82
07/09/2020, $2.85, 62620, $2.8, $2.89, $2.7626
07/08/2020, $2.79, 136411, $2.66, $2.88, $2.65
07/07/2020, $2.68, 93532, $2.72, $2.8, $2.68
07/06/2020, $2.77, 88564, $2.83, $2.83, $2.68
07/02/2020, $2.75, 89829, $2.78, $2.79, $2.7081
07/01/2020, $2.74, 199013, $2.78, $2.83, $2.69
06/30/2020, $2.82, 131717, $2.89, $2.8908, $2.76
06/29/2020, $2.88, 141109, $2.94, $2.98, $2.78
06/26/2020, $2.9, 179448, $3.06, $3.09, $2.9
06/25/2020, $3.09, 170504, $2.93, $3.14, $2.9
06/24/2020, $2.98, 299722, $3.11, $3.11, $2.95
06/23/2020, $3.09, 176234, $3.12, $3.235, $3.09
06/22/2020, $3.11, 148696, $3.1, $3.14, $3
06/19/2020, $3.1, 222619, $3.09, $3.16, $3.09
06/18/2020, $3.11, 387989, $3.29, $3.3, $3.08
06/17/2020, $3.29, 105967, $3.35, $3.41, $3.26
06/16/2020, $3.35, 328071, $3.49, $3.4999, $3.26
06/15/2020, $3.35, 173213, $3.25, $3.44, $3.15
06/12/2020, $3.31, 213795, $3.46, $3.46, $3.12
06/11/2020, $3.21, 276295, $3.09, $3.4499, $3.03
06/10/2020, $3.45, 339310, $3.6, $3.78, $3.21
06/09/2020, $3.51, 94935, $3.47, $3.54, $3.36
06/08/2020, $3.48, 211105, $3.21, $3.588, $3.21
06/05/2020, $3.22, 142643, $3.34, $3.34, $3.1316
06/04/2020, $3.21, 130952, $3.18, $3.28, $3.06
06/03/2020, $3.16, 155189, $3.41, $3.44, $3.16
06/02/2020, $3.4, 124434, $3.43, $3.44, $3.27
06/01/2020, $3.37, 125441, $3.22, $3.44, $3.09
05/29/2020, $3.19, 142028, $3.3, $3.3599, $3.07
05/28/2020, $3.31, 88565, $3.43, $3.4662, $3.3
05/27/2020, $3.41, 185863, $3.38, $3.49, $3.3
05/26/2020, $3.34, 140108, $3.5, $3.5, $3.3
05/22/2020, $3.38, 83557, $3.38, $3.45, $3.3
05/21/2020, $3.37, 98661, $3.4, $3.49, $3.27
05/20/2020, $3.36, 101733, $3.31, $3.43, $3.29
05/19/2020, $3.26, 136691, $3.37, $3.48, $3.23
05/18/2020, $3.35, 294666, $3.25, $3.65, $3.17
05/15/2020, $3.17, 57907, $3.1, $3.23, $3.049
05/14/2020, $3.12, 78229, $3.12, $3.16, $2.97
05/13/2020, $3.17, 172610, $3.28, $3.37, $2.99
05/12/2020, $3.35, 167602, $3.25, $3.52, $3.21
05/11/2020, $3.24, 279084, $3, $3.27, $2.99
