Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.49, 197019, $4.75, $4.8, $4.4298
07/30/2020, $4.61, 223753, $4.5, $4.72, $4.36
07/29/2020, $4.51, 133751, $4.61, $4.67, $4.46
07/28/2020, $4.5, 205004, $4.27, $4.55, $4.19
07/27/2020, $4.2, 320724, $4.35, $4.51, $4.16
07/24/2020, $4.41, 110845, $4.51, $4.65, $4.3738
07/23/2020, $4.51, 224537, $4.62, $4.79, $4.5
07/22/2020, $4.62, 199166, $4.77, $4.8, $4.5
07/21/2020, $4.8, 176398, $5.02, $5.14, $4.77
07/20/2020, $4.95, 448933, $5.19, $5.32, $4.84
07/17/2020, $5.11, 293590, $4.68, $5.11, $4.65
07/16/2020, $4.69, 225991, $4.44, $4.8, $4.35
07/15/2020, $4.435, 345801, $4.35, $4.6699, $4.1
07/14/2020, $4.29, 403825, $4.35, $4.57, $4.25
07/13/2020, $4.49, 474557, $5.14, $5.14, $4.48
07/10/2020, $5.09, 263008, $5.19, $5.27, $4.96
07/09/2020, $5.14, 251622, $5.17, $5.26, $5.06
07/08/2020, $5.15, 130479, $5.09, $5.15, $5.01
07/07/2020, $5.04, 192627, $5.17, $5.21, $4.96
07/06/2020, $5.08, 302433, $5.41, $5.4293, $4.97
07/02/2020, $5.29, 118292, $5.45, $5.505, $5.25
07/01/2020, $5.48, 154515, $5.48, $5.6369, $5.42
06/30/2020, $5.53, 755482, $5.5, $5.96, $5.36
06/29/2020, $5.22, 355809, $5.14, $5.255, $4.95
06/26/2020, $5.08, 447539, $5.29, $5.475, $4.9
06/25/2020, $5.29, 351197, $5.29, $5.49, $4.82
06/24/2020, $5, 339346, $5.36, $5.36, $4.925
06/23/2020, $5.39, 240711, $5.71, $5.77, $5.11
06/22/2020, $5.7, 161810, $5.75, $5.8, $5.57
06/19/2020, $5.83, 1127928, $5.83, $5.9, $5.52
06/18/2020, $5.75, 321422, $5.53, $5.82, $5.53
06/17/2020, $5.53, 207269, $5.46, $5.65, $5.32
06/16/2020, $5.39, 199504, $5.45, $5.495, $5.09
06/15/2020, $5.44, 273719, $4.97, $5.48, $4.96
06/12/2020, $5.02, 114671, $5.01, $5.0759, $4.755
06/11/2020, $4.83, 274089, $5.22, $5.22, $4.77
06/10/2020, $5.32, 205929, $5.65, $5.65, $5.25
06/09/2020, $5.63, 224375, $5.64, $5.83, $5.54
06/08/2020, $5.59, 216074, $5.32, $5.7, $5.19
06/05/2020, $5.33, 231715, $5.57, $5.68, $5.18
06/04/2020, $5.5, 233000, $5.71, $5.845, $5.375
06/03/2020, $5.79, 166445, $5.92, $6.03, $5.75
06/02/2020, $5.96, 271018, $6, $6.04, $5.67
06/01/2020, $6.03, 348428, $6.2, $6.255, $5.66
05/29/2020, $6, 437943, $5.68, $6.19, $5.61
05/28/2020, $5.67, 836522, $5.85, $6.35, $5.55
05/27/2020, $5.17, 474052, $5.55, $5.5677, $4.8001
05/26/2020, $5.45, 662961, $6.58, $6.7442, $5.44
05/22/2020, $6.2, 1600859, $5.57, $6.66, $5.5696
05/21/2020, $5.25, 907314, $4.58, $5.43, $4.5672
05/20/2020, $4.2, 221200, $4.22, $4.35, $4.13
05/19/2020, $4.22, 299265, $4.13, $4.435, $4.11
05/18/2020, $4.11, 278822, $4.08, $4.26, $3.9
05/15/2020, $3.97, 524168, $4.57, $4.57, $3.91
05/14/2020, $4.39, 1601097, $5.21, $5.6, $4.11
05/13/2020, $5.34, 383242, $5.99, $6.01, $5.12
05/12/2020, $5.99, 420817, $7.11, $7.2898, $5.88
05/11/2020, $7.7, 143867, $7.21, $7.73, $6.5325
