Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.79, 417868, $4.7, $4.85, $4.66
07/30/2020, $4.69, 264367, $4.65, $4.83, $4.65
07/29/2020, $4.675, 724013, $4.66, $4.71, $4.53
07/28/2020, $4.59, 410427, $4.8, $4.85, $4.54
07/27/2020, $4.86, 259063, $4.75, $4.98, $4.74
07/24/2020, $4.76, 446673, $5.23, $5.27, $4.75
07/23/2020, $5.28, 641545, $5.5, $5.54, $5.13
07/22/2020, $5.24, 353607, $5.4, $5.43, $5.12
07/21/2020, $5.37, 757631, $5.05, $5.44, $5.04
07/20/2020, $5.03, 299687, $4.82, $5.05, $4.77
07/17/2020, $4.83, 121381, $4.69, $4.89, $4.69
07/16/2020, $4.73, 213495, $4.73, $4.77, $4.66
07/15/2020, $4.8, 278195, $4.95, $4.9794, $4.69
07/14/2020, $4.905, 198337, $4.7, $4.91, $4.61
07/13/2020, $4.75, 260857, $4.75, $4.85, $4.6301
07/10/2020, $4.76, 185466, $4.8, $4.8699, $4.66
07/09/2020, $4.78, 301278, $4.6, $4.8, $4.58
07/08/2020, $4.59, 152318, $4.44, $4.62, $4.44
07/07/2020, $4.45, 203425, $4.64, $4.64, $4.42
07/06/2020, $4.67, 162193, $4.6, $4.71, $4.59
07/02/2020, $4.56, 176113, $4.61, $4.7, $4.485
07/01/2020, $4.52, 189251, $4.75, $4.75, $4.51
06/30/2020, $4.76, 204700, $4.52, $4.82, $4.52
06/29/2020, $4.56, 262812, $4.42, $4.73, $4.37
06/26/2020, $4.38, 383237, $4.5, $4.59, $4.37
06/25/2020, $4.6, 208088, $4.43, $4.61, $4.3
06/24/2020, $4.47, 350532, $4.6, $4.61, $4.39
06/23/2020, $4.62, 295389, $4.77, $4.83, $4.6
06/22/2020, $4.76, 241755, $4.76, $4.84, $4.705
06/19/2020, $4.79, 312373, $4.77, $4.948, $4.75
06/18/2020, $4.7, 218599, $4.75, $4.86, $4.7
06/17/2020, $4.805, 297960, $5.04, $5.1, $4.79
06/16/2020, $5.04, 240011, $4.98, $5.14, $4.9
06/15/2020, $4.9, 201840, $4.72, $4.935, $4.65
06/12/2020, $4.87, 268470, $4.77, $5.017, $4.75
06/11/2020, $4.71, 579735, $5.03, $5.06, $4.61
06/10/2020, $5.25, 220066, $5.4, $5.43, $5.17
06/09/2020, $5.42, 428619, $5.54, $5.58, $5.4
06/08/2020, $5.61, 302600, $5.5, $5.73, $5.36
06/05/2020, $5.52, 252271, $5.48, $5.7, $5.44
06/04/2020, $5.37, 405766, $5.79, $5.79, $5.25
06/03/2020, $5.84, 787699, $5.38, $5.99, $5.31
06/02/2020, $5.32, 175504, $5.33, $5.405, $5.23
06/01/2020, $5.21, 305284, $5.34, $5.365, $5.16
05/29/2020, $5.29, 302180, $5.23, $5.36, $5.06
05/28/2020, $5.21, 461474, $5.51, $5.58, $5.15
05/27/2020, $5.5, 433933, $5.27, $5.51, $5.01
05/26/2020, $5.22, 352868, $5.46, $5.46, $5.16
05/22/2020, $5.3, 227568, $5.5, $5.5003, $5.21
05/21/2020, $5.5, 399900, $5.5, $5.6, $5.3001
05/20/2020, $5.5, 394481, $5.38, $5.52, $5.31
05/19/2020, $5.2, 296778, $5.35, $5.47, $5.16
05/18/2020, $5.33, 372046, $5.2, $5.4, $5.08
05/15/2020, $5.02, 184082, $4.94, $5.07, $4.81
05/14/2020, $5.04, 379685, $4.97, $5.05, $4.63
05/13/2020, $5.08, 298665, $5.27, $5.27, $4.9
05/12/2020, $5.29, 310086, $5.54, $5.54, $5.27
05/11/2020, $5.56, 304191, $5.58, $5.64, $5.37
