Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.74, 42242, $3.88, $3.88, $3.6
07/30/2020, $3.88, 71770, $3.59, $3.9, $3.59
07/29/2020, $3.64, 59882, $3.55, $3.65, $3.2502
07/28/2020, $3.55, 39408, $3.7, $3.7, $3.52
07/27/2020, $3.72, 20925, $3.63, $3.8, $3.63
07/24/2020, $3.59, 28300, $3.68, $3.8, $3.56
07/23/2020, $3.71, 158921, $3.66, $3.8404, $3.57
07/22/2020, $3.68, 44024, $3.69, $3.7, $3.64
07/21/2020, $3.7, 74707, $3.6, $3.74, $3.51
07/20/2020, $3.53, 46758, $3.77, $3.77, $3.5
07/17/2020, $3.77, 177688, $3.4, $3.84, $3.08
07/16/2020, $3.45, 101756, $3.41, $3.49, $3.26
07/15/2020, $3.4, 174313, $3.2, $3.42, $3.125
07/14/2020, $3.18, 84857, $3, $3.19, $2.96
07/13/2020, $3.06, 119260, $3.1, $3.2, $3.01
07/10/2020, $3.1, 74348, $3.01, $3.1, $2.95
07/09/2020, $3.01, 233959, $3.2, $3.2, $2.8177
07/08/2020, $3.2, 319933, $3.23, $3.32, $3.1
07/07/2020, $3.22, 82218, $3.3, $3.39, $3.19
07/06/2020, $3.31, 116829, $3.5, $3.5, $3.28
07/02/2020, $3.44, 60514, $3.44, $3.63, $3.365
07/01/2020, $3.36, 88378, $3.46, $3.63, $3.2915
06/30/2020, $3.48, 131849, $3.6, $3.6748, $3.42
06/29/2020, $3.66, 595737, $4, $4.1, $3.595
06/26/2020, $5.48, 431467, $3.6, $5.48, $2.955
06/25/2020, $3.65, 65249, $3.66, $3.71, $3.55
06/24/2020, $3.65, 79568, $3.88, $3.88, $3.61
06/23/2020, $3.91, 58373, $3.99, $4.05, $3.77
06/22/2020, $3.89, 80422, $3.97, $4.05, $3.83
06/19/2020, $4, 178048, $3.96, $4.08, $3.81
06/18/2020, $3.9, 43810, $3.8, $3.99, $3.7501
06/17/2020, $3.81, 62364, $3.94, $3.99, $3.8
06/16/2020, $3.9, 158235, $4, $4.15, $3.89
06/15/2020, $3.75, 123330, $3.66, $3.88, $3.53
06/12/2020, $3.75, 159984, $3.89, $3.99, $3.7
06/11/2020, $3.725, 244588, $4, $4.15, $3.7
06/10/2020, $4.29, 257305, $3.95, $4.5, $3.85
06/09/2020, $3.66, 190861, $4.05, $4.2, $3.61
06/08/2020, $4.03, 187176, $3.8, $4.09, $3.76
06/05/2020, $3.68, 140189, $3.61, $3.75, $3.4713
06/04/2020, $3.4, 116090, $3.56, $3.565, $3.32
06/03/2020, $3.49, 94719, $3.28, $3.545, $3.259
06/02/2020, $3.16, 100684, $3.27, $3.35, $3.05
06/01/2020, $3.22, 101903, $3.36, $3.37, $3.13
05/29/2020, $3.33, 109993, $3.45, $3.45, $3.16
05/28/2020, $3.49, 128871, $3.61, $3.75, $3.25
05/27/2020, $3.56, 124884, $3.3, $3.58, $3.2673
05/26/2020, $3.25, 110055, $3.02, $3.3, $3.02
05/22/2020, $3.03, 69759, $3, $3.05, $2.9004
05/21/2020, $2.99, 107049, $2.93, $3.03, $2.89
05/20/2020, $2.93, 109295, $2.83, $3, $2.82
05/19/2020, $2.79, 128737, $2.9, $2.94, $2.73
05/18/2020, $2.9, 152521, $2.86, $2.93, $2.79
05/15/2020, $2.71, 89182, $2.65, $2.73, $2.57
05/14/2020, $2.65, 125142, $2.52, $2.65, $2.45
05/13/2020, $2.61, 217414, $2.75, $2.75, $2.51
05/12/2020, $2.8, 176993, $2.77, $2.94, $2.76
05/11/2020, $2.74, 191062, $2.6, $2.89, $2.4
