Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.77, 53204, $1.83, $1.85, $1.75
07/30/2020, $1.82, 72043, $1.78, $1.85, $1.72
07/29/2020, $1.78, 146344, $1.87, $1.89, $1.75
07/28/2020, $1.83, 130905, $1.86, $1.95, $1.83
07/27/2020, $1.92, 86959, $1.94, $1.98, $1.86
07/24/2020, $1.99, 81402, $1.95, $1.99, $1.86
07/23/2020, $1.97, 121745, $2, $2.03, $1.93
07/22/2020, $1.99, 124678, $1.89, $2.071, $1.89
07/21/2020, $1.91, 74774, $1.8401, $1.93, $1.84
07/20/2020, $1.9105, 264574, $2.08, $2.1, $1.84
07/17/2020, $2.09, 437847, $1.95, $2.11, $1.88
07/16/2020, $1.88, 260093, $1.81, $1.97, $1.7801
07/15/2020, $1.8, 168605, $1.77, $1.82, $1.7
07/14/2020, $1.72, 103714, $1.71, $1.75, $1.69
07/13/2020, $1.74, 259967, $1.9, $1.91, $1.71
07/10/2020, $1.9, 617348, $1.8, $1.93, $1.73
07/09/2020, $1.82, 284207, $2.01, $2.03, $1.8
07/08/2020, $1.99, 201586, $2.02, $2.05, $1.99
07/07/2020, $2.05, 385341, $2.23, $2.23, $1.96
07/06/2020, $2.18, 336271, $2.31, $2.39, $2.11
07/02/2020, $2.34, 184648, $2.3, $2.41, $2.25
07/01/2020, $2.27, 178589, $2.37, $2.55, $2.27
06/30/2020, $2.43, 251500, $2.66, $2.72, $2.32
06/29/2020, $2.41, 197073, $2.4, $2.44, $2.261
06/26/2020, $2.34, 483070, $2.68, $2.755, $2.28
06/25/2020, $2.79, 253279, $3, $3.08, $2.75
06/24/2020, $3.06, 218441, $3.05, $3.12, $2.8801
06/23/2020, $3.16, 817540, $3.06, $3.3665, $2.98
06/22/2020, $3.12, 1713071, $3.54, $3.57, $2.85
06/19/2020, $3.855, 25676420, $2.77, $5.15, $2.51
06/18/2020, $2.66, 1494887, $2.5, $2.9199, $2.4
06/17/2020, $2.45, 1555033, $3.704, $3.79, $2.31
06/16/2020, $3.75, 2477249, $2.2, $3.95, $2.1201
06/15/2020, $2.16, 68745, $2.11, $2.3, $2.04
06/12/2020, $2.16, 42721, $2.17, $2.42, $2.1
06/11/2020, $2.1, 150511, $2.51, $2.51, $2
06/10/2020, $2.47, 55147, $2.55, $2.57, $2.43
06/09/2020, $2.55, 88574, $2.64, $2.64, $2.4
06/08/2020, $2.56, 214736, $2.38, $2.6212, $2.38
06/05/2020, $2.37, 67892, $2.5, $2.5363, $2.36
06/04/2020, $2.41, 35076, $2.37, $2.41, $2.36
06/03/2020, $2.36, 111016, $2.49, $2.49, $2.32
06/02/2020, $2.4, 25645, $2.38, $2.4485, $2.38
06/01/2020, $2.38, 38863, $2.5, $2.5, $2.35
05/29/2020, $2.37, 72909, $2.5, $2.59, $2.31
05/28/2020, $2.5, 63021, $2.55, $2.59, $2.4801
05/27/2020, $2.449, 48220, $2.59, $2.59, $2.41
05/26/2020, $2.52, 87707, $2.31, $2.52, $2.2747
05/22/2020, $2.22, 19399, $2.189, $2.22, $2.16
05/21/2020, $2.22, 26511, $2.1697, $2.27, $2.1265
05/20/2020, $2.19, 36260, $2.1, $2.2795, $2.08
05/19/2020, $2.04, 58524, $2.375, $2.375, $2.01
05/18/2020, $2.335, 19619, $2.46, $2.46, $2.31
05/15/2020, $2.35, 17309, $2.36, $2.36, $2.27
05/14/2020, $2.29, 48467, $2.34, $2.4669, $2.21
05/13/2020, $2.34, 22303, $2.41, $2.54, $2.34
05/12/2020, $2.4, 13179, $2.49, $2.49, $2.4
05/11/2020, $2.44, 27220, $2.45, $2.47, $2.4
