Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.5, 61293, $2.59, $2.64, $2.5
07/30/2020, $2.6, 144870, $2.44, $2.69, $2.4
07/29/2020, $2.44, 85982, $2.4775, $2.4775, $2.39
07/28/2020, $2.4866, 24917, $2.495, $2.51, $2.45
07/27/2020, $2.51, 90326, $2.63, $2.6505, $2.46
07/24/2020, $2.65, 73984, $2.59, $2.6999, $2.47
07/23/2020, $2.69, 108735, $2.73, $2.8, $2.63
07/22/2020, $2.8, 331249, $2.58, $2.84, $2.58
07/21/2020, $2.58, 230782, $2.49, $2.64, $2.41
07/20/2020, $2.46, 115305, $2.46, $2.5, $2.3757
07/17/2020, $2.38, 158298, $2.35, $2.47, $2.34
07/16/2020, $2.34, 67484, $2.4, $2.44, $2.31
07/15/2020, $2.39, 89292, $2.36, $2.41, $2.3
07/14/2020, $2.37, 50362, $2.45, $2.45, $2.37
07/13/2020, $2.46, 153387, $2.48, $2.5, $2.3501
07/10/2020, $2.45, 167515, $2.43, $2.5201, $2.4
07/09/2020, $2.5, 289678, $2.38, $2.52, $2.31
07/08/2020, $2.38, 126800, $2.35, $2.405, $2.294
07/07/2020, $2.33, 109588, $2.29, $2.3801, $2.25
07/06/2020, $2.34, 100452, $2.36, $2.39, $2.3
07/02/2020, $2.35, 195016, $2.4, $2.43, $2.27
07/01/2020, $2.45, 599537, $2.43, $2.85, $2.32
06/30/2020, $2.4, 112953, $2.3931, $2.4192, $2.3
06/29/2020, $2.37, 279736, $2.56, $2.56, $2.28
06/26/2020, $2.48, 369273, $2.53, $2.65, $2.41
06/25/2020, $2.49, 279094, $2.65, $2.65, $2.4
06/24/2020, $2.52, 2800722, $2.79, $3.05, $2.36
06/23/2020, $2.17, 650802, $2.3, $2.39, $2.0118
06/22/2020, $2.28, 369089, $2.47, $2.47, $2.22
06/19/2020, $2.29, 421910, $2.27, $2.34, $2.15
06/18/2020, $2.27, 634745, $2.17, $2.33, $2.15
06/17/2020, $2.12, 2138581, $2.04, $2.25, $2.01
06/16/2020, $2.9, 204815, $3.4, $3.4, $2.89
06/15/2020, $3.4499, 33916, $3.8, $3.8, $3.2
06/12/2020, $3.45, 15588, $3.57, $3.8708, $3.34
06/11/2020, $3.57, 8862, $3.9501, $3.9501, $3.57
06/10/2020, $3.65, 13879, $3.75, $3.75, $3.57
06/09/2020, $3.75, 11644, $3.79, $3.8, $3.7001
06/08/2020, $3.7999, 28062, $4.14, $4.14, $3.68
06/05/2020, $4.14, N/A, $4.14, $4.14, $4.14
06/04/2020, $4.14, 3079, $4.05, $4.2, $3.98
06/03/2020, $4.125, 1481, $4.19, $4.2, $4.1
06/02/2020, $4.13, 931, $4.11, $4.236, $4.11
06/01/2020, $4.29, 472, $4.29, $4.29, $4.29
05/29/2020, $4.07, 3144, $4.11, $4.11, $4.05
05/28/2020, $4.12, 4252, $4.1, $4.1305, $4.1
05/27/2020, $4.32, 532, $4.32, $4.32, $4.32
05/26/2020, $4.2501, 1546, $4.2704, $4.37, $4.2501
05/22/2020, $4.2, 3098, $4.51, $4.51, $4.1
05/21/2020, $4.2, 901, $4.2001, $4.2001, $4.2
05/20/2020, $4.44, 836, $4.4469, $4.4469, $4.44
05/19/2020, $4.25, 4106, $4.25, $4.69, $4.17
05/18/2020, $4.1, 28246, $4.74, $4.75, $4.1
05/15/2020, $4.43, 5006, $4.05, $4.44, $3.8
05/14/2020, $4.09, 3737, $4.1, $4.1, $3.9453
05/13/2020, $4.1, 1175, $4.251, $4.56, $4.05
05/12/2020, $3.81, 13902, $3.71, $4.04, $3.71
05/11/2020, $4.07, 8400, $4.07, $4.27, $4.07
