Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.05, 1435, $2.04, $2.1002, $2.04
07/30/2020, $2.11, 1132, $1.96, $2.11, $1.96
07/29/2020, $2.1, 1390, $2.11, $2.12, $2.1
07/28/2020, $2.05, 3714, $2.03, $2.13, $2.03
07/27/2020, $2.075, 45848, $2.02, $2.19, $2.02
07/24/2020, $2.06, 3027, $2.01, $2.0771, $2.01
07/23/2020, $2.0201, 6908, $2.0971, $2.0971, $2
07/22/2020, $2.13, 2044, $2.2, $2.2, $2.13
07/21/2020, $2.15, 9843, $2.28, $2.28, $2.1
07/20/2020, $2.2777, 2156, $2.29, $2.29, $2.2226
07/17/2020, $2.23, 17046, $2.31, $2.31, $2.18
07/16/2020, $2.24, 16324, $2.23, $2.29, $2.2
07/15/2020, $2.28, 10198, $2.37, $2.37, $2.27
07/14/2020, $2.43, 10053, $2.46, $2.48, $2.35
07/13/2020, $2.4, 12821, $2.37, $2.49, $2.37
07/10/2020, $2.33, 974, $2.34, $2.3495, $2.2301
07/09/2020, $2.33, 8484, $2.23, $2.36, $2.23
07/08/2020, $2.29, 27904, $2.3, $2.35, $2.2367
07/07/2020, $2.3495, 3319, $2.3, $2.35, $2.3
07/06/2020, $2.49, 46337, $2.39, $2.53, $2.3
07/02/2020, $2.53, 53911, $2.41, $2.53, $2.3278
07/01/2020, $2.3, 35298, $2.11, $2.36, $2.11
06/30/2020, $1.99, 14613, $2.05, $2.05, $1.9001
06/29/2020, $2, 55711, $2.06, $2.06, $1.93
06/26/2020, $2.31, 11824, $2.3, $2.45, $2.3
06/25/2020, $2.3642, 14297, $2.33, $2.38, $2.28
06/24/2020, $2.45, 44822, $2.48, $2.58, $2.41
06/23/2020, $2.68, 47792, $2.54, $2.7, $2.5301
06/22/2020, $2.4, 37245, $2.55, $2.55, $2.4
06/19/2020, $2.5501, 15392, $2.61, $2.62, $2.5501
06/18/2020, $2.55, 56886, $2.68, $2.69, $2.4952
06/17/2020, $2.39, 41627, $2.56, $2.56, $2.29
06/16/2020, $2.58, 177332, $2.51, $2.73, $2.4
06/15/2020, $2.39, 399533, $2.22, $2.54, $2.19
06/12/2020, $1.8, 8898, $1.91, $1.91, $1.77
06/11/2020, $1.76, 40302, $1.81, $1.87, $1.7501
06/10/2020, $1.93, 16416, $1.9, $1.9311, $1.9
06/09/2020, $1.9156, 8216, $1.9, $1.96, $1.87
06/08/2020, $1.9922, 23650, $1.94, $2.01, $1.94
06/05/2020, $1.96, 20052, $1.95, $2.04, $1.92
06/04/2020, $1.9155, 17943, $1.935, $1.95, $1.9
06/03/2020, $1.95, 35004, $1.84, $1.95, $1.84
06/02/2020, $1.85, 12526, $1.78, $1.88, $1.78
06/01/2020, $1.7, 12187, $1.58, $1.75, $1.58
05/29/2020, $1.505, 1040, $1.56, $1.56, $1.5
05/28/2020, $1.54, 1511, $1.52, $1.54, $1.5
05/27/2020, $1.52, 4285, $1.52, $1.58, $1.49
05/26/2020, $1.52, 29933, $1.53, $1.6, $1.45
05/22/2020, $1.52, 29109, $1.5, $1.6, $1.47
05/21/2020, $1.4999, 18376, $1.5, $1.52, $1.46
05/20/2020, $1.36, 2776, $1.31, $1.37, $1.31
05/19/2020, $1.37, 6355, $1.31, $1.37, $1.31
05/18/2020, $1.39, 27765, $1.4, $1.4, $1.305
05/15/2020, $1.405, 12593, $1.3, $1.45, $1.3
05/14/2020, $1.28, 20115, $1.42, $1.42, $1.2
05/13/2020, $1.398, 53978, $1.51, $1.51, $1.275
05/12/2020, $1.4771, 4558, $1.6, $1.6, $1.4771
05/11/2020, $1.45, 9717, $1.4, $1.48, $1.4
