Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.77, 5228168, $2.73, $2.7828, $2.61
07/30/2020, $2.76, 14475750, $2.63, $2.79, $2.43
07/29/2020, $2.68, 3917644, $2.75, $2.82, $2.65
07/28/2020, $2.73, 2847786, $2.81, $2.89, $2.72
07/27/2020, $2.84, 2603152, $2.73, $2.84, $2.68
07/24/2020, $2.76, 3121482, $2.79, $2.83, $2.7
07/23/2020, $2.82, 2310837, $2.8, $2.91, $2.79
07/22/2020, $2.84, 2883766, $2.82, $2.875, $2.7942
07/21/2020, $2.85, 2996723, $2.7184, $2.915, $2.7184
07/20/2020, $2.78, 2751357, $2.8, $2.84, $2.78
07/17/2020, $2.825, 7771474, $2.81, $2.86, $2.7648
07/16/2020, $2.86, 3118823, $2.89, $2.935, $2.78
07/15/2020, $2.9, 4425418, $2.86, $2.98, $2.83
07/14/2020, $2.81, 3718301, $2.74, $2.82, $2.6706
07/13/2020, $2.75, 4088648, $2.75, $2.83, $2.6601
07/10/2020, $2.72, 3516445, $2.57, $2.73, $2.565
07/09/2020, $2.58, 3529241, $2.59, $2.6, $2.52
07/08/2020, $2.605, 3168508, $2.49, $2.615, $2.43
07/07/2020, $2.49, 3268316, $2.63, $2.63, $2.47
07/06/2020, $2.62, 2228608, $2.67, $2.7, $2.57
07/02/2020, $2.62, 2856556, $2.71, $2.72, $2.585
07/01/2020, $2.63, 5578224, $2.74, $2.78, $2.57
06/30/2020, $2.74, 4233468, $2.75, $2.79, $2.65
06/29/2020, $2.755, 4195372, $2.71, $2.76, $2.64
06/26/2020, $2.63, 31228050, $2.93, $2.938, $2.6
06/25/2020, $2.93, 4267551, $2.71, $2.93, $2.7
06/24/2020, $2.7, 4286624, $2.79, $2.82, $2.66
06/23/2020, $2.8, 4412386, $2.84, $2.86, $2.78
06/22/2020, $2.79, 3706843, $2.72, $2.8, $2.69
06/19/2020, $2.7, 9371091, $2.89, $2.91, $2.68
06/18/2020, $2.84, 2474407, $2.85, $2.95, $2.82
06/17/2020, $2.92, 2951169, $3, $3.01, $2.905
06/16/2020, $3.01, 3845018, $3.15, $3.2, $2.975
06/15/2020, $3.04, 3592922, $2.75, $3.07, $2.71
06/12/2020, $2.94, 4533628, $3.04, $3.09, $2.83
06/11/2020, $2.87, 4362302, $2.97, $3.01, $2.86
06/10/2020, $3.14, 5287540, $3.14, $3.31, $2.97
06/09/2020, $3.17, 4214072, $3.18, $3.24, $3.09
06/08/2020, $3.29, 5585926, $3.3, $3.395, $3.23
06/05/2020, $3.165, 5119243, $3.25, $3.41, $3.16
06/04/2020, $3.09, 6353222, $2.81, $3.12, $2.78
06/03/2020, $2.81, 6002677, $2.66, $2.85, $2.65
06/02/2020, $2.61, 3583288, $2.71, $2.745, $2.605
06/01/2020, $2.68, 4725340, $2.6, $2.72, $2.6
05/29/2020, $2.575, 8507456, $2.67, $2.675, $2.565
05/28/2020, $2.67, 2500393, $2.87, $2.87, $2.66
05/27/2020, $2.84, 4024561, $2.76, $2.88, $2.745
05/26/2020, $2.74, 3434771, $2.73, $2.8, $2.67
05/22/2020, $2.57, 2641770, $2.69, $2.75, $2.555
05/21/2020, $2.695, 5959824, $2.75, $2.77, $2.67
05/20/2020, $2.76, 2764990, $2.67, $2.785, $2.66
05/19/2020, $2.62, 2857209, $2.77, $2.7799, $2.615
05/18/2020, $2.8, 2882762, $2.68, $2.81, $2.66
05/15/2020, $2.56, 3997277, $2.51, $2.69, $2.51
05/14/2020, $2.6, 3186139, $2.4, $2.6, $2.32
05/13/2020, $2.44, 3838673, $2.58, $2.5901, $2.39
05/12/2020, $2.57, 3571939, $2.68, $2.75, $2.57
05/11/2020, $2.67, 4664472, $2.81, $2.87, $2.67
