Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.73, 322793, $1.75, $1.75, $1.66
07/30/2020, $1.67, 389489, $1.72, $1.7301, $1.6
07/29/2020, $1.75, 344258, $1.77, $1.8365, $1.71
07/28/2020, $1.77, 395078, $1.77, $1.82, $1.76
07/27/2020, $1.75, 1293755, $1.85, $1.86, $1.75
07/24/2020, $2.06, 226461, $2.05, $2.1, $1.9
07/23/2020, $2.06, 281492, $2.15, $2.2007, $2
07/22/2020, $2.24, 455485, $2.15, $2.29, $2.12
07/21/2020, $2.14, 883802, $2.285, $2.35, $2
07/20/2020, $1.99, 163146, $2, $2.0699, $1.95
07/17/2020, $2, 322264, $1.98, $2.22, $1.96
07/16/2020, $2.05, 182733, $1.9543, $2.07, $1.9211
07/15/2020, $2.04, 557370, $1.8, $2.14, $1.8
07/14/2020, $1.79, 255994, $1.77, $1.8, $1.68
07/13/2020, $1.76, 321740, $1.99, $1.99, $1.76
07/10/2020, $1.99, 372886, $1.93, $2, $1.85
07/09/2020, $1.92, 2833686, $1.85, $2.2171, $1.8298
07/08/2020, $1.825, 367633, $1.82, $1.91, $1.78
07/07/2020, $1.84, 317126, $1.82, $1.88, $1.81
07/06/2020, $1.9, 1633083, $1.89, $1.95, $1.75
07/02/2020, $1.9, 1020598, $2, $2.01, $1.85
07/01/2020, $2.05, 2246143, $2.3, $2.31, $2
06/30/2020, $2.51, 4578457, $2.58, $2.94, $2.46
06/29/2020, $2.74, 107839200, $4, $4.4, $2.55
06/26/2020, $1.65, 2251604, $1.47, $1.9, $1.42
06/25/2020, $1.48, 57120, $1.5, $1.5385, $1.46
06/24/2020, $1.5, 87179, $1.48, $1.6, $1.46
06/23/2020, $1.48, 88401, $1.48, $1.63, $1.47
06/22/2020, $1.49, 74564, $1.52, $1.58, $1.47
06/19/2020, $1.59, 139036, $1.55, $1.6899, $1.51
06/18/2020, $1.6, 279728, $1.5, $1.72, $1.42
06/17/2020, $1.59, 360755, $1.44, $1.67, $1.4
06/16/2020, $1.4, 250684, $1.36, $1.45, $1.25
06/15/2020, $1.4, 2275127, $1.41, $1.74, $1.35
06/12/2020, $1.21, 48178, $1.2, $1.28, $1.18
06/11/2020, $1.18, 98657, $1.31, $1.33, $1.14
06/10/2020, $1.345, 57421, $1.39, $1.45, $1.31
06/09/2020, $1.47, 91809, $1.38, $1.48, $1.37
06/08/2020, $1.46, 143779, $1.48, $1.502, $1.4
06/05/2020, $1.51, 354005, $1.42, $1.65, $1.32
06/04/2020, $1.35, 241415, $1.47, $1.47, $1.3
06/03/2020, $1.51, 687249, $1.57, $1.6, $1.35
06/02/2020, $1.63, 5373101, $1.8, $2.14, $1.35
06/01/2020, $1.12, 19656, $1.075, $1.13, $1.05
05/29/2020, $1.05, 37820, $1.14, $1.1462, $1.0498
05/28/2020, $1.09, 29105, $1.1, $1.175, $1.09
05/27/2020, $1.12, 38964, $1.26, $1.375, $1.12
05/26/2020, $1.17, 108152, $1.26, $1.59, $1.13
05/22/2020, $1.25, 6105, $1.21, $1.25, $1.2
05/21/2020, $1.2, 9419, $1.21, $1.25, $1.2
05/20/2020, $1.24, 6510, $1.2699, $1.2699, $1.2
05/19/2020, $1.22, 25134, $1.26, $1.2763, $1.2091
05/18/2020, $1.26, 6481, $1.251, $1.27, $1.25
05/15/2020, $1.24, 4776, $1.25, $1.25, $1.23
05/14/2020, $1.21, 20709, $1.2, $1.2805, $1.2
05/13/2020, $1.23, 47077, $1.25, $1.2763, $1.17
05/12/2020, $1.25, 18319, $1.3, $1.3, $1.25
05/11/2020, $1.25, 18956, $1.25, $1.38, $1.25
