Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.54, 467444, $2.47, $2.55, $2.41
07/30/2020, $2.47, 362128, $2.36, $2.48, $2.33
07/29/2020, $2.34, 217587, $2.33, $2.34, $2.31
07/28/2020, $2.31, 367018, $2.38, $2.44, $2.3
07/27/2020, $2.39, 209228, $2.42, $2.44, $2.38
07/24/2020, $2.42, 143322, $2.42, $2.46, $2.41
07/23/2020, $2.42, 205556, $2.5, $2.5163, $2.405
07/22/2020, $2.5, 207231, $2.51, $2.53, $2.47
07/21/2020, $2.53, 141943, $2.51, $2.54, $2.48
07/20/2020, $2.5, 232244, $2.49, $2.52, $2.49
07/17/2020, $2.52, 215189, $2.45, $2.53, $2.41
07/16/2020, $2.46, 222125, $2.48, $2.5, $2.43
07/15/2020, $2.48, 195492, $2.41, $2.545, $2.41
07/14/2020, $2.4, 377327, $2.42, $2.44, $2.32
07/13/2020, $2.42, 300368, $2.4, $2.45, $2.3899
07/10/2020, $2.39, 438426, $2.43, $2.44, $2.355
07/09/2020, $2.45, 460001, $2.57, $2.5883, $2.43
07/08/2020, $2.57, 370164, $2.6, $2.63, $2.56
07/07/2020, $2.6, 394464, $2.64, $2.64, $2.56
07/06/2020, $2.69, 492835, $2.82, $2.8394, $2.5899
07/02/2020, $2.72, 284901, $2.74, $2.7735, $2.695
07/01/2020, $2.69, 292195, $2.66, $2.715, $2.64
06/30/2020, $2.67, 233158, $2.6, $2.71, $2.6
06/29/2020, $2.62, 266915, $2.62, $2.71, $2.59
06/26/2020, $2.61, 219828, $2.69, $2.6968, $2.59
06/25/2020, $2.71, 165594, $2.66, $2.73, $2.61
06/24/2020, $2.67, 351014, $2.75, $2.75, $2.58
06/23/2020, $2.8, 199517, $2.79, $2.82, $2.75
06/22/2020, $2.77, 269997, $2.86, $2.87, $2.72
06/19/2020, $2.86, 653236, $2.78, $2.92, $2.76
06/18/2020, $2.71, 370500, $2.81, $2.85, $2.69
06/17/2020, $2.8, 449756, $2.95, $2.96, $2.765
06/16/2020, $2.95, 747751, $3.1, $3.1, $2.83
06/15/2020, $2.99, 375406, $2.99, $3.08, $2.88
06/12/2020, $3.01, 439716, $2.97, $3.02, $2.83
06/11/2020, $2.8, 672694, $2.98, $3.03, $2.79
06/10/2020, $3.08, 723698, $3.27, $3.2817, $3.02
06/09/2020, $3.27, 472215, $3.48, $3.48, $3.23
06/08/2020, $3.51, 459977, $3.42, $3.55, $3.4
06/05/2020, $3.38, 620249, $3.36, $3.48, $3.26
06/04/2020, $3.26, 655229, $3.1, $3.38, $3.05
06/03/2020, $3.15, 670701, $3, $3.18, $2.92
06/02/2020, $2.98, 966143, $2.87, $3.02, $2.81
06/01/2020, $2.87, 376596, $2.71, $2.9, $2.67
05/29/2020, $2.71, 794150, $2.88, $2.88, $2.7
05/28/2020, $3, 1196004, $2.96, $3.195, $2.9
05/27/2020, $2.95, 335095, $2.98, $2.99, $2.8716
05/26/2020, $2.94, 583842, $2.85, $2.95, $2.81
05/22/2020, $2.82, 204975, $2.8, $2.839, $2.71
05/21/2020, $2.79, 283721, $2.75, $2.8099, $2.72
05/20/2020, $2.78, 452127, $2.66, $2.82, $2.649
05/19/2020, $2.59, 557049, $2.59, $2.66, $2.54
05/18/2020, $2.61, 410474, $2.68, $2.69, $2.56
05/15/2020, $2.53, 267256, $2.5, $2.57, $2.4
05/14/2020, $2.53, 432625, $2.4, $2.54, $2.24
05/13/2020, $2.43, 508594, $2.56, $2.61, $2.39
05/12/2020, $2.59, 581392, $2.57, $2.708, $2.5628
05/11/2020, $2.69, 499743, $2.78, $2.78, $2.61
