Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.43, 45232, $1.43, $1.43, $1.4
07/30/2020, $1.41, 26509, $1.45, $1.45, $1.3807
07/29/2020, $1.4, 95965, $1.39, $1.465, $1.38
07/28/2020, $1.4, 138484, $1.41, $1.41, $1.39
07/27/2020, $1.405, 41701, $1.41, $1.43, $1.39
07/24/2020, $1.4, 33308, $1.39, $1.4271, $1.39
07/23/2020, $1.41, 34478, $1.39, $1.43, $1.39
07/22/2020, $1.41, 60073, $1.41, $1.44, $1.39
07/21/2020, $1.42, 51824, $1.45, $1.45, $1.38
07/20/2020, $1.44, 54351, $1.46, $1.4644, $1.42
07/17/2020, $1.44, 53713, $1.42, $1.4453, $1.4101
07/16/2020, $1.41, 57077, $1.39, $1.42, $1.38
07/15/2020, $1.415, 508920, $1.48, $1.48, $1.4
07/14/2020, $1.46, 98998, $1.43, $1.4799, $1.38
07/13/2020, $1.46, 295942, $1.45, $1.4899, $1.415
07/10/2020, $1.45, 77894, $1.41, $1.45, $1.38
07/09/2020, $1.42, 17943, $1.44, $1.45, $1.41
07/08/2020, $1.45, 117223, $1.41, $1.45, $1.3889
07/07/2020, $1.43, 141160, $1.4, $1.49, $1.38
07/06/2020, $1.44, 446005, $1.41, $1.46, $1.4
07/02/2020, $1.41, 102755, $1.39, $1.4241, $1.375
07/01/2020, $1.39, 171447, $1.39, $1.3947, $1.36
06/30/2020, $1.4, 167011, $1.4, $1.4, $1.35
06/29/2020, $1.37, 152960, $1.3, $1.4, $1.3
06/26/2020, $1.29, 248945, $1.35, $1.36, $1.28
06/25/2020, $1.36, 43599, $1.4, $1.41, $1.35
06/24/2020, $1.4, 267340, $1.45, $1.45, $1.34
06/23/2020, $1.44, 252328, $1.43, $1.48, $1.37
06/22/2020, $1.43, 71180, $1.41, $1.47, $1.37
06/19/2020, $1.44, 36019, $1.43, $1.44, $1.4
06/18/2020, $1.42, 34896, $1.41, $1.45, $1.4057
06/17/2020, $1.41, 90387, $1.48, $1.48, $1.405
06/16/2020, $1.47, 312404, $1.45, $1.49, $1.42
06/15/2020, $1.4, 31196, $1.38, $1.41, $1.3
06/12/2020, $1.38, 155279, $1.36, $1.4, $1.35
06/11/2020, $1.38, 305437, $1.4, $1.41, $1.35
06/10/2020, $1.42, 98161, $1.38, $1.4499, $1.35
06/09/2020, $1.4, 134152, $1.43, $1.4499, $1.37
06/08/2020, $1.42, 131731, $1.4, $1.42, $1.37
06/05/2020, $1.38, 607535, $1.4, $1.45, $1.35
06/04/2020, $1.4, 229763, $1.41, $1.41, $1.37
06/03/2020, $1.39, 77318, $1.42, $1.42, $1.37
06/02/2020, $1.4, 75850, $1.39, $1.42, $1.34
06/01/2020, $1.38, 125903, $1.38, $1.4, $1.34
05/29/2020, $1.39, 62789, $1.39, $1.4, $1.36
05/28/2020, $1.37, 43716, $1.36, $1.4, $1.36
05/27/2020, $1.37, 60879, $1.39, $1.4, $1.36
05/26/2020, $1.385, 67695, $1.4, $1.4026, $1.3512
05/22/2020, $1.35, 46829, $1.34, $1.45, $1.32
05/21/2020, $1.36, 107871, $1.35, $1.37, $1.32
05/20/2020, $1.35, 61463, $1.34, $1.3853, $1.34
05/19/2020, $1.35, 146666, $1.38, $1.42, $1.33
05/18/2020, $1.41, 223373, $1.43, $1.49, $1.36
05/15/2020, $1.4, 231576, $1.4, $1.48, $1.39
05/14/2020, $1.38, 121116, $1.38, $1.3979, $1.28
05/13/2020, $1.4, 186002, $1.37, $1.44, $1.36
05/12/2020, $1.39, 165137, $1.46, $1.51, $1.39
05/11/2020, $1.45, 134699, $1.52, $1.55, $1.42
