Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.66, 726058, $2.42, $2.72, $2.39
07/30/2020, $2.43, 1001830, $2.26, $2.6319, $2.1901
07/29/2020, $2.24, 289908, $2.21, $2.33, $2.11
07/28/2020, $2.19, 147266, $2.21, $2.21, $2.12
07/27/2020, $2.21, 337359, $2.16, $2.3396, $2.12
07/24/2020, $2.12, 223090, $2.16, $2.19, $2.0677
07/23/2020, $2.17, 700736, $2.22, $2.35, $2.11
07/22/2020, $2.41, 8164856, $2.24, $3.08, $1.88
07/21/2020, $2.13, 1152516, $1.93, $2.19, $1.86
07/20/2020, $1.92, 298497, $1.92, $1.96, $1.83
07/17/2020, $1.86, 188476, $1.95, $1.9799, $1.82
07/16/2020, $1.91, 128717, $1.86, $1.92, $1.75
07/15/2020, $1.83, 144516, $1.85, $1.89, $1.78
07/14/2020, $1.79, 356951, $1.92, $1.93, $1.7217
07/13/2020, $1.94, 1223150, $1.95, $2.1212, $1.8013
07/10/2020, $1.89, 457107, $1.97, $1.99, $1.76
07/09/2020, $1.94, 923008, $1.88, $2.0301, $1.8
07/08/2020, $1.83, 657331, $1.74, $1.84, $1.66
07/07/2020, $1.65, 82668, $1.63, $1.67, $1.61
07/06/2020, $1.63, 120841, $1.65, $1.6954, $1.61
07/02/2020, $1.64, 122639, $1.67, $1.71, $1.59
07/01/2020, $1.68, 158710, $1.72, $1.7487, $1.65
06/30/2020, $1.69, 178095, $1.64, $1.72, $1.63
06/29/2020, $1.66, 643486, $1.61, $1.72, $1.58
06/26/2020, $1.62, 362569, $1.77, $1.77, $1.59
06/25/2020, $1.77, 259268, $1.9, $1.9, $1.74
06/24/2020, $1.82, 927904, $1.76, $1.95, $1.63
06/23/2020, $1.78, 124856, $1.74, $1.78, $1.69
06/22/2020, $1.76, 191666, $1.83, $1.89, $1.69
06/19/2020, $1.84, 338704, $1.84, $1.92, $1.8
06/18/2020, $1.85, 494502, $1.9, $2, $1.75
06/17/2020, $1.95, 2754439, $1.63, $2.08, $1.57
06/16/2020, $1.62, 201845, $1.62, $1.68, $1.59
06/15/2020, $1.61, 403152, $1.42, $1.63, $1.42
06/12/2020, $1.48, 266970, $1.51, $1.56, $1.41
06/11/2020, $1.55, 257154, $1.67, $1.67, $1.51
06/10/2020, $1.69, 203771, $1.68, $1.7, $1.64
06/09/2020, $1.69, 190817, $1.72, $1.72, $1.6473
06/08/2020, $1.68, 327436, $1.63, $1.74, $1.63
06/05/2020, $1.66, 658127, $1.67, $1.85, $1.63
06/04/2020, $1.7, 190715, $1.66, $1.7, $1.62
06/03/2020, $1.71, 213588, $1.62, $1.74, $1.62
06/02/2020, $1.66, 218216, $1.7, $1.7137, $1.62
06/01/2020, $1.67, 207066, $1.66, $1.71, $1.62
05/29/2020, $1.7, 273575, $1.67, $1.77, $1.67
05/28/2020, $1.69, 1250317, $1.7, $1.8792, $1.66
05/27/2020, $1.74, 2750218, $1.68, $1.98, $1.56
05/26/2020, $1.68, 866083, $1.8, $1.8, $1.65
05/22/2020, $1.84, 3283412, $1.7, $1.95, $1.67
05/21/2020, $1.51, 570786, $1.49, $1.5557, $1.46
05/20/2020, $1.52, 460359, $1.59, $1.59, $1.5
05/19/2020, $1.59, 799210, $1.61, $1.78, $1.55
05/18/2020, $1.65, 3213519, $1.51, $1.76, $1.33
05/15/2020, $1.57, 40311360, $2.59, $2.95, $1.51
05/14/2020, $1.24, 1807498, $1.19, $1.25, $1.11
05/13/2020, $1.14, 115933, $1.2, $1.2, $1.135
05/12/2020, $1.21, 87744, $1.23, $1.26, $1.17
05/11/2020, $1.2, 85219, $1.16, $1.24, $1.14
