Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.79, 10440900, $0.79, $0.8049, $0.77
07/30/2020, $0.7995, 28313500, $0.829, $0.8446, $0.77
07/29/2020, $0.7454, 21927570, $0.778, $0.7951, $0.735
07/28/2020, $0.825, 23795170, $0.7601, $0.84, $0.75
07/27/2020, $0.8131, 31207790, $0.86, $0.86, $0.78
07/24/2020, $0.89, 127001600, $0.901, $1.05, $0.825
07/23/2020, $0.778, 57783930, $0.89, $0.89, $0.7015
07/22/2020, $0.8915, 143960200, $0.9987, $1.16, $0.82
07/21/2020, $0.825, 103921500, $0.803, $0.915, $0.75
07/20/2020, $0.6847, 44642070, $0.699, $0.72, $0.65
07/17/2020, $0.6178, 161223100, $0.6621, $0.87, $0.6061
07/16/2020, $0.52, 19857300, $0.504, $0.54, $0.49
07/15/2020, $0.5044, 5979783, $0.5026, $0.5143, $0.495
07/14/2020, $0.491, 6402349, $0.5, $0.5, $0.47
07/13/2020, $0.5028, 11827970, $0.539, $0.55, $0.5
07/10/2020, $0.53, 29107900, $0.5449, $0.5599, $0.5145
07/09/2020, $0.489, 16974580, $0.52, $0.5246, $0.478
07/08/2020, $0.4722, 11049900, $0.49, $0.49, $0.4658
07/07/2020, $0.4787, 11714610, $0.48, $0.4945, $0.4531
07/06/2020, $0.4705, 8956176, $0.4961, $0.5, $0.466
07/02/2020, $0.4861, 22403690, $0.5266, $0.5266, $0.4701
07/01/2020, $0.5687, 60316190, $0.52, $0.595, $0.4831
06/30/2020, $0.51, 13864290, $0.48, $0.5178, $0.46
06/29/2020, $0.47, 27546040, $0.4588, $0.535, $0.43
06/26/2020, $0.4411, 7061972, $0.4823, $0.485, $0.437
06/25/2020, $0.4709, 5080937, $0.47, $0.48, $0.4506
06/24/2020, $0.4683, 12996450, $0.4503, $0.5, $0.446
06/23/2020, $0.45, 4614086, $0.4456, $0.4628, $0.44
06/22/2020, $0.4395, 7509952, $0.47, $0.47, $0.435
06/19/2020, $0.465, 12641860, $0.517, $0.5198, $0.455
06/18/2020, $0.5206, 23860210, $0.5, $0.583, $0.4953
06/17/2020, $0.5075, 5194617, $0.5388, $0.5388, $0.5
06/16/2020, $0.53, 5694006, $0.535, $0.55, $0.511
06/15/2020, $0.522, 5104763, $0.52, $0.5388, $0.4917
06/12/2020, $0.5212, 6485998, $0.57, $0.5727, $0.515
06/11/2020, $0.5145, 12777890, $0.5875, $0.59, $0.501
06/10/2020, $0.5655, 25618330, $0.58, $0.6484, $0.54
06/09/2020, $0.55, 10400990, $0.55, $0.6, $0.54
06/08/2020, $0.5416, 17210900, $0.59, $0.59, $0.52
06/05/2020, $0.5268, 9162633, $0.56, $0.56, $0.5025
06/04/2020, $0.538, 17985250, $0.47, $0.56, $0.455
06/03/2020, $0.4789, 5826116, $0.4642, $0.486, $0.4501
06/02/2020, $0.4925, 23277170, $0.4325, $0.5275, $0.421
06/01/2020, $0.4349, 2369032, $0.4373, $0.45, $0.43
05/29/2020, $0.449, 4599881, $0.469, $0.47, $0.43
05/28/2020, $0.46, 7023672, $0.43, $0.475, $0.42
05/27/2020, $0.445, 10621870, $0.4925, $0.494, $0.4201
05/26/2020, $0.5012, 17500170, $0.54, $0.55, $0.5
05/22/2020, $0.47, 15022850, $0.432, $0.47, $0.41
05/21/2020, $0.427, 13173930, $0.38, $0.438, $0.3752
05/20/2020, $0.3856, 4060425, $0.3849, $0.39, $0.372
05/19/2020, $0.3896, 11488080, $0.405, $0.424, $0.381
05/18/2020, $0.38, 5383101, $0.39, $0.397, $0.3551
05/15/2020, $0.3708, 4218921, $0.36, $0.3796, $0.348
05/14/2020, $0.3999, 5703930, $0.4038, $0.4181, $0.38
05/13/2020, $0.4038, 6175816, $0.43, $0.439, $0.3788
05/12/2020, $0.4108, 22380920, $0.465, $0.515, $0.39
05/11/2020, $0.44, 17159270, $0.38, $0.445, $0.3665
