Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.2699, 52880, $0.28, $0.28, $0.231
07/30/2020, $0.285, 78629, $0.29, $0.29, $0.22
07/29/2020, $0.2899, 19870, $0.3, $0.3, $0.26
07/28/2020, $0.2625, 79726, $0.29, $0.29, $0.25
07/27/2020, $0.29, 149097, $0.4, $0.4, $0.24
07/24/2020, $0.37, 194751, $0.27, $0.39, $0.27
07/23/2020, $0.2682, 452814, $0.29, $0.34, $0.26
07/22/2020, $0.27, 302738, $0.21, $0.35, $0.205
07/21/2020, $0.1978, 258144, $0.178, $0.2, $0.15
07/20/2020, $0.16, 65979, $0.16, $0.17, $0.151
07/17/2020, $0.145, 80385, $0.14, $0.16, $0.111
07/16/2020, $0.13, 22881, $0.1298, $0.1388, $0.11
07/15/2020, $0.1041, 15982, $0.133, $0.133, $0.104
07/14/2020, $0.11, N/A, $0.11, $0.11, $0.11
07/13/2020, $0.11, 17373, $0.1457, $0.1457, $0.103
07/10/2020, $0.13, 8835, $0.13, $0.13, $0.12
07/09/2020, $0.13, 14782, $0.1199, $0.134, $0.1101
07/08/2020, $0.103, 14003, $0.104, $0.104, $0.103
07/07/2020, $0.11, 3314, $0.1152, $0.1152, $0.11
07/06/2020, $0.1104, 15518, $0.135, $0.135, $0.101
07/02/2020, $0.11, 42896, $0.11, $0.1457, $0.11
07/01/2020, $0.1457, 144128, $0.104, $0.17, $0.104
06/30/2020, $0.13, 16774, $0.101, $0.13, $0.1
06/29/2020, $0.12, 14501, $0.1169, $0.13, $0.1169
06/26/2020, $0.127, 7112, $0.1, $0.127, $0.1
06/25/2020, $0.1, 9050, $0.12, $0.12, $0.0901
06/24/2020, $0.12, 16343, $0.1176, $0.1361, $0.0801
06/23/2020, $0.1307, 11874, $0.1285, $0.148, $0.11
06/22/2020, $0.1094, 10695, $0.125, $0.1308, $0.1094
06/19/2020, $0.111, 1287, $0.11, $0.12, $0.11
06/18/2020, $0.1206, 86874, $0.105, $0.159, $0.105
06/17/2020, $0.1201, 3420, $0.11, $0.125, $0.11
06/16/2020, $0.115, 17067, $0.1449, $0.145, $0.105
06/15/2020, $0.1225, 20132, $0.145, $0.145, $0.12
06/12/2020, $0.1201, 3060, $0.149, $0.149, $0.12
06/11/2020, $0.12, 32289, $0.12, $0.145, $0.102
06/10/2020, $0.145, 31240, $0.14, $0.16, $0.1
06/09/2020, $0.1359, 38924, $0.135, $0.1359, $0.11
06/08/2020, $0.135, 43545, $0.175, $0.175, $0.12
06/05/2020, $0.1, 84317, $0.1452, $0.1452, $0.091
06/04/2020, $0.149, 64642, $0.1, $0.18, $0.1
06/03/2020, $0.11, 2650, $0.11, $0.11, $0.11
06/02/2020, $0.1031, 121542, $0.119, $0.2, $0.103
06/01/2020, $0.11, 57200, $0.119, $0.119, $0.08
05/29/2020, $0.12, 19120, $0.105, $0.12, $0.105
05/28/2020, $0.095, 42091, $0.119, $0.12, $0.095
05/27/2020, $0.1027, 18102, $0.1199, $0.1199, $0.1025
05/26/2020, $0.12, 62755, $0.109, $0.12, $0.096
05/22/2020, $0.109, 8250, $0.105, $0.109, $0.1
05/21/2020, $0.109, 22789, $0.1, $0.109, $0.095
05/20/2020, $0.109, 37517, $0.082, $0.109, $0.082
05/19/2020, $0.109, 51095, $0.084, $0.11, $0.082
05/18/2020, $0.109, 33977, $0.075, $0.11, $0.075
05/15/2020, $0.0999, 84551, $0.077, $0.109, $0.07
05/14/2020, $0.08, 34012, $0.08, $0.08, $0.0799
05/13/2020, $0.0765, 5810, $0.08, $0.08, $0.0758
05/12/2020, $0.08, 122003, $0.1, $0.1002, $0.0794
05/11/2020, $0.1, 32204, $0.1, $0.11, $0.1
