Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.73, 20479, $2.75, $2.78, $2.73
07/30/2020, $2.73, 27962, $2.74, $2.79, $2.6835
07/29/2020, $2.75, 39526, $2.77, $2.8, $2.65
07/28/2020, $2.71, 46179, $2.75, $2.8, $2.64
07/27/2020, $2.71, 25683, $2.66, $2.78, $2.6502
07/24/2020, $2.69, 49829, $2.64, $2.72, $2.61
07/23/2020, $2.68, 76424, $2.8, $2.93, $2.6
07/22/2020, $2.81, 165796, $3.1, $3.1, $2.75
07/21/2020, $3.15, 532916, $2.74, $3.33, $2.74
07/20/2020, $2.86, 26854, $2.95, $2.98, $2.86
07/17/2020, $2.98, 66047, $2.8, $2.9999, $2.8
07/16/2020, $2.75, 26700, $2.8, $2.92, $2.75
07/15/2020, $2.83, 41704, $2.83, $2.9289, $2.74
07/14/2020, $2.8278, 24727, $2.7, $2.88, $2.7
07/13/2020, $2.7, 117569, $2.78, $2.89, $2.7
07/10/2020, $2.85, 90243, $2.85, $2.94, $2.73
07/09/2020, $2.815, 113945, $3.08, $3.1199, $2.8
07/08/2020, $3.12, 39584, $3.09, $3.14, $3.045
07/07/2020, $3.13, 79123, $3.15, $3.18, $3.02
07/06/2020, $3.18, 153625, $3.2, $3.23, $3.1001
07/02/2020, $3.08, 382298, $3.12, $3.279, $2.988
07/01/2020, $3.12, 288365, $2.91, $3.13, $2.81
06/30/2020, $2.89, 309346, $2.81, $3.06, $2.7
06/29/2020, $2.72, 155412, $2.75, $2.88, $2.67
06/26/2020, $2.56, 101811, $2.46, $2.59, $2.39
06/25/2020, $2.41, 79305, $2.52, $2.52, $2.36
06/24/2020, $2.5, 261101, $2.81, $2.84, $2.35
06/23/2020, $2.97, 1108209, $3.6, $3.6599, $2.75
06/22/2020, $3.12, 808707, $2.62, $3.67, $2.62
06/19/2020, $2.56, 161510, $2.44, $2.74, $2.3501
06/18/2020, $2.35, 55642, $2.45, $2.45, $2.32
06/17/2020, $2.4, 69655, $2.35, $2.52, $2.31
06/16/2020, $2.33, 235738, $2.65, $2.65, $2.24
06/15/2020, $2.23, 95858, $2.35, $2.53, $2.173
06/12/2020, $2.3001, 150310, $2.01, $2.58, $2
06/11/2020, $2.16, 50943, $2.14, $2.3699, $2.1
06/10/2020, $2.25, 20838, $2.28, $2.28, $2.15
06/09/2020, $2.28, 78704, $2.2, $2.32, $2.1101
06/08/2020, $2.2, 32763, $2.18, $2.2, $2.115
06/05/2020, $2.18, 13961, $2.09, $2.19, $2.0601
06/04/2020, $2.16, 7272, $2.16, $2.18, $2.04
06/03/2020, $2.15, 18245, $2.16, $2.19, $2.0499
06/02/2020, $2.1, 7762, $2.1, $2.13, $2.08
06/01/2020, $2.05, 28138, $1.95, $2.2, $1.95
05/29/2020, $1.94, 21567, $1.97, $2.04, $1.93
05/28/2020, $2.0947, 30389, $1.95, $2.19, $1.95
05/27/2020, $1.93, 59743, $2.19, $2.19, $1.81
05/26/2020, $2.1556, 21423, $2.12, $2.1799, $2.072
05/22/2020, $2.2, 29326, $2.22, $2.22, $2.05
05/21/2020, $2.1868, 103699, $2.06, $2.24, $2.055
05/20/2020, $2, 80395, $1.96, $2.19, $1.76
05/19/2020, $1.905, 21094, $1.86, $1.91, $1.7392
05/18/2020, $1.86, 24223, $1.84, $1.91, $1.72
05/15/2020, $1.77, 8336, $1.82, $1.825, $1.77
05/14/2020, $1.745, 32536, $1.9, $1.9, $1.71
05/13/2020, $1.79, 30602, $1.75, $1.8, $1.7
05/12/2020, $1.75, 90592, $1.6813, $1.99, $1.6813
05/11/2020, $1.71, 50069, $1.74, $1.74, $1.61
