Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.712, 67603, $0.7418, $0.7418, $0.7018
07/30/2020, $0.7249, 108679, $0.708, $0.7642, $0.7012
07/29/2020, $0.703, 159227, $0.7091, $0.73, $0.7
07/28/2020, $0.7022, 503571, $0.76, $0.788, $0.7
07/27/2020, $0.849, 2767213, $0.694, $1.04, $0.68
07/24/2020, $0.69, 40169, $0.695, $0.7035, $0.68
07/23/2020, $0.67, 180527, $0.7103, $0.7103, $0.66
07/22/2020, $0.7199, 65244, $0.75, $0.75, $0.7013
07/21/2020, $0.7279, 50855, $0.7014, $0.748, $0.7
07/20/2020, $0.7201, 642934, $0.761, $0.78, $0.6613
07/17/2020, $0.79, 95412, $0.76, $0.82, $0.755
07/16/2020, $0.7895, 16368, $0.785, $0.7895, $0.7559
07/15/2020, $0.8015, 63348, $0.7821, $0.8263, $0.7527
07/14/2020, $0.788, 70567, $0.7614, $0.8, $0.7218
07/13/2020, $0.7798, 115603, $0.8257, $0.8257, $0.7739
07/10/2020, $0.8257, 109278, $0.81, $0.826, $0.7612
07/09/2020, $0.7884, 191326, $0.789, $0.79, $0.745
07/08/2020, $0.7685, 91820, $0.7372, $0.77, $0.7372
07/07/2020, $0.76, 129336, $0.7745, $0.78, $0.736
07/06/2020, $0.7575, 122544, $0.75, $0.787, $0.742
07/02/2020, $0.7302, 76940, $0.7389, $0.746, $0.7201
07/01/2020, $0.749, 18418, $0.7207, $0.753, $0.72
06/30/2020, $0.7362, 75043, $0.709, $0.7874, $0.7
06/29/2020, $0.7164, 39956, $0.73, $0.7573, $0.7
06/26/2020, $0.7499, 53635, $0.74, $0.75, $0.73
06/25/2020, $0.75, 65834, $0.7196, $0.75, $0.71
06/24/2020, $0.7302, 135925, $0.76, $0.7875, $0.7122
06/23/2020, $0.7875, 174592, $0.75, $0.799, $0.75
06/22/2020, $0.7502, 308942, $0.8001, $0.822, $0.75
06/19/2020, $0.82, 101079, $0.8211, $0.83, $0.8001
06/18/2020, $0.8101, 168024, $0.86, $0.8748, $0.8
06/17/2020, $0.8499, 147373, $0.8099, $0.879, $0.8031
06/16/2020, $0.8, 195808, $0.802, $0.8221, $0.7799
06/15/2020, $0.8099, 358315, $0.9, $0.9012, $0.7511
06/12/2020, $0.8903, 761948, $1, $1.04, $0.8888
06/11/2020, $0.9096, 2912333, $0.821, $1.13, $0.808
06/10/2020, $0.8299, 882312, $0.7999, $0.88, $0.77
06/09/2020, $0.77, 716648, $0.779, $0.85, $0.72
06/08/2020, $0.755, 212446, $0.7255, $0.7798, $0.7252
06/05/2020, $0.7397, 184062, $0.7299, $0.74, $0.71
06/04/2020, $0.7299, 160522, $0.7072, $0.74, $0.68
06/03/2020, $0.706, 255156, $0.69, $0.74, $0.69
06/02/2020, $0.698, 870794, $0.68, $0.7299, $0.66
06/01/2020, $0.6666, 336897, $0.64, $0.6787, $0.6301
05/29/2020, $0.6464, 866409, $0.6262, $0.6587, $0.611
05/28/2020, $0.6286, 1696296, $0.595, $0.7089, $0.5808
05/27/2020, $0.59, 814484, $0.6195, $0.62, $0.57
05/26/2020, $0.6231, 536553, $0.65, $0.65, $0.6002
05/22/2020, $0.6425, 2503345, $0.62, $0.648, $0.56
05/21/2020, $0.7866, 2396141, $0.8441, $0.9263, $0.76
05/20/2020, $0.94, 44239310, $1.1, $1.77, $0.88
05/19/2020, $0.679, 18391, $0.69, $0.69, $0.6501
05/18/2020, $0.6789, 24250, $0.6599, $0.685, $0.64
05/15/2020, $0.652, 16033, $0.657, $0.67, $0.652
05/14/2020, $0.68, 7312, $0.6522, $0.69, $0.6522
05/13/2020, $0.6899, 32214, $0.7, $0.7, $0.65
05/12/2020, $0.705, 20359, $0.666, $0.71, $0.65
05/11/2020, $0.71, 20192, $0.697, $0.715, $0.66
