Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.5873, 122, $4.5873, $4.5873, $4.5873
07/30/2020, $4.47, 988, $4.6, $4.6, $4.47
07/29/2020, $4.51, 3504, $4.46, $4.7, $4.46
07/28/2020, $4.63, 4218, $4.78, $4.78, $4.5
07/27/2020, $4.4801, 1777, $4.43, $4.4801, $4.43
07/24/2020, $4.657, 895, $4.61, $4.657, $4.61
07/23/2020, $4.655, 4223, $4.65, $4.7, $4.61
07/22/2020, $4.7, 4590, $4.88, $4.88, $4.5701
07/21/2020, $4.75, 192, $4.75, $4.75, $4.75
07/20/2020, $4.75, 2227, $4.88, $4.88, $4.75
07/17/2020, $4.82, 2984, $5, $5, $4.8
07/16/2020, $4.99, 12755, $4.8, $5, $4.71
07/15/2020, $4.97, 843, $4.8, $4.97, $4.79
07/14/2020, $4.64, 776, $4.65, $4.68, $4.64
07/13/2020, $4.8261, 4121, $4.7, $5.17, $4.69
07/10/2020, $4.7, 2808, $5.2, $5.2, $4.7
07/09/2020, $5, 5662, $4.78, $5, $4.765
07/08/2020, $4.83, 1179, $4.83, $4.86, $4.745
07/07/2020, $4.87, 4021, $4.63, $4.87, $4.575
07/06/2020, $4.68, 1100, $4.66, $4.8, $4.66
07/02/2020, $4.62, 2038, $4.79, $4.79, $4.51
07/01/2020, $4.63, 2388, $4.76, $4.9214, $4.6
06/30/2020, $4.61, 2511, $4.79, $4.79, $4.54
06/29/2020, $4.75, 1558, $4.5, $4.82, $4.4905
06/26/2020, $4.85, 3887, $4.84, $4.85, $4.7725
06/25/2020, $4.9926, 610, $5.03, $5.03, $4.97
06/24/2020, $5.25, 1412, $5.0012, $5.25, $5.0012
06/23/2020, $5.17, 2850, $5.11, $5.22, $5.075
06/22/2020, $5.16, 5756, $5.17, $5.5, $5.14
06/19/2020, $4.96, 1446, $4.95, $4.975, $4.95
06/18/2020, $4.96, 265, $4.96, $4.96, $4.96
06/17/2020, $5.03, 927, $4.93, $5.03, $4.93
06/16/2020, $5.0831, 3132, $5.26, $5.28, $4.87
06/15/2020, $4.79, 2244, $4.89, $4.89, $4.78
06/12/2020, $5.135, 14629, $5, $6.1, $5
06/11/2020, $4.93, 12684, $4.85, $5.075, $4.7
06/10/2020, $5.11, 31181, $4.7, $6.5, $4.67
06/09/2020, $4.62, 2052, $4.6, $4.74, $4.6
06/08/2020, $4.54, 13296, $4.74, $4.8, $4.39
06/05/2020, $4.7, 7253, $4.75, $4.75, $4.5501
06/04/2020, $4.8, 5990, $4.6501, $4.9599, $4.6501
06/03/2020, $4.98, 1064, $4.98, $4.98, $4.64
06/02/2020, $4.6317, 5322, $4.95, $5.037, $4.6317
06/01/2020, $4.95, 6404, $4.5, $4.96, $4.5
05/29/2020, $4.44, 1559, $4.44, $4.44, $4.44
05/28/2020, $4.35, 2849, $4.47, $4.51, $4.24
05/27/2020, $4.52, 1405, $4.54, $4.67, $4.45
05/26/2020, $4.46, 1483, $4.39, $4.75, $4.39
05/22/2020, $4.4, 340, $4.4, $4.4, $4.4
05/21/2020, $4.645, 254, $4.645, $4.645, $4.645
05/20/2020, $4.52, 9679, $4.52, $4.8838, $4.51
05/19/2020, $4.5101, 7832, $4.53, $4.81, $4.5001
05/18/2020, $4.49, 3195, $4.4, $4.53, $4.31
05/15/2020, $4.2, 233, $4.31, $4.31, $4.2
05/14/2020, $4.21, 1453, $4.45, $4.45, $4.18
05/13/2020, $4.52, 551, $4.7, $4.7, $4.52
05/12/2020, $4.77, 617, $4.6601, $4.77, $4.6601
05/11/2020, $4.5, 6444, $4.52, $4.53, $4.46
