Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.7873, 6845894, $0.83, $0.8325, $0.7714
07/30/2020, $0.8158, 10786060, $0.8399, $0.851, $0.7701
07/29/2020, $0.8595, 6231189, $0.8747, $0.8747, $0.823
07/28/2020, $0.86, 4505084, $0.8607, $0.9099, $0.85
07/27/2020, $0.8559, 9043142, $0.9187, $0.9201, $0.85
07/24/2020, $0.9, 9153296, $0.939, $0.985, $0.9
07/23/2020, $0.9145, 10762440, $0.9235, $0.994, $0.903
07/22/2020, $0.9164, 10493310, $0.9001, $0.935, $0.85
07/21/2020, $0.9134, 17494860, $0.845, $0.9596, $0.8369
07/20/2020, $0.8117, 9068267, $0.83, $0.8489, $0.805
07/17/2020, $0.83, 7088822, $0.8917, $0.8999, $0.83
07/16/2020, $0.8729, 9568200, $0.87, $0.93, $0.855
07/15/2020, $0.9, 14050190, $0.83, $0.9195, $0.82
07/14/2020, $0.77, 16185680, $0.76, $0.7899, $0.715
07/13/2020, $0.7959, 8989199, $0.838, $0.838, $0.7959
07/10/2020, $0.8272, 13523020, $0.76, $0.84, $0.75
07/09/2020, $0.7658, 16811060, $0.85, $0.8585, $0.7658
07/08/2020, $0.85, 16359460, $0.86, $0.869, $0.8204
07/07/2020, $0.8893, 20969930, $0.825, $0.9198, $0.7535
07/06/2020, $0.8313, 15428890, $0.8961, $0.902, $0.8032
07/02/2020, $0.8762, 17259310, $0.9433, $0.9433, $0.85
07/01/2020, $0.8842, 14046490, $0.9297, $0.9679, $0.8703
06/30/2020, $0.89, 12705460, $0.9442, $0.9475, $0.885
06/29/2020, $0.9523, 12567020, $0.89, $1, $0.88
06/26/2020, $0.9191, 23057980, $1.01, $1.02, $0.9131
06/25/2020, $1.02, 13273250, $0.92, $1.04, $0.8701
06/24/2020, $0.9799, 18237810, $1.08, $1.08, $0.9411
06/23/2020, $1.09, 11139810, $1.11, $1.13, $1.08
06/22/2020, $1.06, 13936600, $1.16, $1.16, $1.01
06/19/2020, $1.13, 42109070, $1.32, $1.32, $1.13
06/18/2020, $1.24, 9979848, $1.23, $1.28, $1.22
06/17/2020, $1.22, 13345300, $1.34, $1.34, $1.2
06/16/2020, $1.36, 15775510, $1.5, $1.51, $1.34
06/15/2020, $1.33, 15329720, $1.2, $1.4, $1.15
06/12/2020, $1.34, 14861750, $1.41, $1.42, $1.23
06/11/2020, $1.21, 17198320, $1.2, $1.44, $1.18
06/10/2020, $1.52, 20040620, $1.55, $1.73, $1.36
06/09/2020, $1.755, 19560100, $1.95, $1.99, $1.75
06/08/2020, $2.15, 45794140, $1.98, $2.21, $1.74
06/05/2020, $1.49, 32154560, $1.29, $1.5, $1.19
06/04/2020, $1.15, 12148860, $1.1, $1.16, $1.05
06/03/2020, $1.13, 11459380, $1.13, $1.15, $1.1
06/02/2020, $1.13, 9848033, $1.08, $1.14, $1.05
06/01/2020, $1.055, 5908446, $1.02, $1.07, $0.99
05/29/2020, $1.01, 15025820, $1.02, $1.08, $0.9602
05/28/2020, $1.07, 7736932, $1.14, $1.18, $1.07
05/27/2020, $1.175, 12364450, $1.22, $1.2254, $1.03
05/26/2020, $1.15, 14669780, $1.13, $1.2, $1.07
05/22/2020, $1.01, 24520100, $0.917, $1.04, $0.91
05/21/2020, $0.9004, 15011810, $0.925, $0.9301, $0.855
05/20/2020, $0.9263, 9029410, $0.925, $0.9399, $0.9001
05/19/2020, $0.9332, 6531100, $0.948, $0.9699, $0.933
05/18/2020, $0.9565, 14643930, $0.8848, $0.97, $0.8848
05/15/2020, $0.8431, 8920643, $0.84, $0.9, $0.8202
05/14/2020, $0.84, 12860910, $0.827, $0.8549, $0.7501
05/13/2020, $0.806, 18057490, $0.9295, $0.9295, $0.78
05/12/2020, $0.933, 12843530, $0.95, $0.99, $0.8811
05/11/2020, $0.926, 17361680, $0.81, $0.937, $0.8
