Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.98, 218980, $3.93, $3.99, $3.905
07/30/2020, $3.94, 203551, $3.91, $3.95, $3.88
07/29/2020, $3.94, 138829, $3.89, $3.95, $3.87
07/28/2020, $3.88, 312732, $3.9, $3.955, $3.88
07/27/2020, $3.91, 210291, $3.86, $3.97, $3.86
07/24/2020, $3.86, 189490, $3.89, $3.93, $3.86
07/23/2020, $3.89, 338466, $3.89, $3.97, $3.89
07/22/2020, $3.89, 349806, $3.91, $3.94, $3.885
07/21/2020, $3.86, 583269, $3.97, $3.99, $3.83
07/20/2020, $3.82, 164940, $3.84, $3.88, $3.81
07/17/2020, $3.86, 292228, $3.84, $3.91, $3.81
07/16/2020, $3.88, 165684, $3.88, $3.935, $3.87
07/15/2020, $3.88, 413741, $3.93, $3.98, $3.875
07/14/2020, $3.88, 392416, $3.83, $3.88, $3.8
07/13/2020, $3.82, 472457, $3.85, $3.91, $3.8
07/10/2020, $3.84, 705807, $3.78, $3.86, $3.7701
07/09/2020, $3.78, 219577, $3.85, $3.89, $3.77
07/08/2020, $3.86, 388983, $3.77, $3.87, $3.77
07/07/2020, $3.78, 306233, $3.7, $3.8, $3.69
07/06/2020, $3.72, 231986, $3.8, $3.815, $3.72
07/02/2020, $3.74, 431377, $3.76, $4.17, $3.73
07/01/2020, $3.71, 862973, $3.54, $3.99, $3.54
06/30/2020, $3.54, 417710, $3.5, $3.615, $3.5
06/29/2020, $3.51, 627492, $3.37, $3.55, $3.37
06/26/2020, $3.355, 2340302, $3.52, $3.56, $3.26
06/25/2020, $3.54, 264440, $3.58, $3.61, $3.515
06/24/2020, $3.605, 552846, $3.58, $3.62, $3.54
06/23/2020, $3.59, 452506, $3.65, $3.71, $3.54
06/22/2020, $3.62, 408205, $3.56, $3.71, $3.51
06/19/2020, $3.57, 560604, $3.61, $3.66, $3.55
06/18/2020, $3.58, 339426, $3.695, $3.695, $3.5
06/17/2020, $3.6, 406779, $3.64, $3.7, $3.57
06/16/2020, $3.64, 502462, $3.68, $3.81, $3.6001
06/15/2020, $3.63, 257595, $3.65, $3.805, $3.61
06/12/2020, $3.69, 551772, $3.79, $3.855, $3.65
06/11/2020, $3.73, 460455, $3.74, $3.83, $3.7
06/10/2020, $3.75, 542691, $3.8, $3.87, $3.74
06/09/2020, $3.81, 202716, $3.86, $3.92, $3.78
06/08/2020, $3.89, 266909, $3.99, $4, $3.89
06/05/2020, $3.95, 255766, $3.96, $4, $3.91
06/04/2020, $3.89, 505749, $3.88, $3.93, $3.82
06/03/2020, $3.86, 985374, $3.92, $3.94, $3.835
06/02/2020, $3.73, 4575662, $4.01, $4.05, $3.6
06/01/2020, $4.01, 356125, $4, $4.05, $4
05/29/2020, $4, 790298, $3.9, $4.12, $3.87
05/28/2020, $3.93, 344804, $4.01, $4.01, $3.91
05/27/2020, $3.98, 684320, $4.01, $4.02, $3.97
05/26/2020, $4, 305596, $4.02, $4.02, $3.93
05/22/2020, $3.98, 311328, $3.97, $3.99, $3.935
05/21/2020, $3.97, 291532, $3.91, $4.01, $3.91
05/20/2020, $3.91, 418784, $3.98, $3.9901, $3.88
05/19/2020, $3.93, 296638, $3.98, $4.04, $3.93
05/18/2020, $3.98, 569516, $4.03, $4.03, $3.95
05/15/2020, $3.97, 214913, $3.91, $4, $3.91
05/14/2020, $3.9, 401954, $3.94, $3.98, $3.81
05/13/2020, $3.99, 298039, $3.95, $4.005, $3.84
05/12/2020, $3.93, 378088, $4.06, $4.085, $3.92
05/11/2020, $4.05, 522223, $4.08, $4.1, $4.01
