Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.37, 891958, $1.38, $1.45, $1.35
07/30/2020, $1.41, 748552, $1.38, $1.43, $1.32
07/29/2020, $1.4, 887917, $1.48, $1.51, $1.36
07/28/2020, $1.48, 615959, $1.53, $1.55, $1.47
07/27/2020, $1.52, 1455312, $1.48, $1.57, $1.44
07/24/2020, $1.47, 1198732, $1.55, $1.58, $1.46
07/23/2020, $1.52, 1843338, $1.45, $1.55, $1.44
07/22/2020, $1.46, 972376, $1.45, $1.51, $1.44
07/21/2020, $1.51, 1549070, $1.59, $1.59, $1.48
07/20/2020, $1.66, 1009731, $1.64, $1.6903, $1.6006
07/17/2020, $1.67, 1275683, $1.71, $1.7493, $1.56
07/16/2020, $1.69, 1400260, $1.65, $1.785, $1.65
07/15/2020, $1.66, 1535544, $1.777, $1.8, $1.6
07/14/2020, $1.75, 1808945, $1.66, $1.77, $1.63
07/13/2020, $1.63, 8308792, $1.72, $1.95, $1.56
07/10/2020, $1.43, 3064520, $1.5, $1.5196, $1.4201
07/09/2020, $1.54, 4063361, $1.37, $1.63, $1.3419
07/08/2020, $1.38, 890015, $1.37, $1.4232, $1.34
07/07/2020, $1.39, 945205, $1.46, $1.4716, $1.34
07/06/2020, $1.46, 1324622, $1.54, $1.59, $1.42
07/02/2020, $1.54, 1139291, $1.58, $1.61, $1.52
07/01/2020, $1.59, 1127161, $1.63, $1.65, $1.56
06/30/2020, $1.64, 574492, $1.65, $1.68, $1.61
06/29/2020, $1.68, 754563, $1.66, $1.7349, $1.61
06/26/2020, $1.68, 1291262, $1.74, $1.78, $1.61
06/25/2020, $1.77, 2429197, $1.62, $1.9, $1.6
06/24/2020, $1.6, 1598799, $1.62, $1.69, $1.53
06/23/2020, $1.65, 1927455, $1.78, $1.78, $1.61
06/22/2020, $1.74, 1395771, $1.8, $1.81, $1.68
06/19/2020, $1.84, 2497321, $1.94, $1.98, $1.77
06/18/2020, $2, 1554208, $2, $2.03, $1.92
06/17/2020, $2.1, 1619126, $2.17, $2.18, $2.06
06/16/2020, $2.18, 1987547, $2.26, $2.3, $2.08
06/15/2020, $2.21, 1981936, $2.19, $2.25, $1.97
06/12/2020, $2.26, 2546566, $2.23, $2.3, $2.03
06/11/2020, $2.02, 3446336, $2.03, $2.24, $1.99
06/10/2020, $2.3, 11676710, $2.7, $2.75, $2.21
06/09/2020, $3.11, 39291730, $2.2, $3.75, $2.15
06/08/2020, $2.03, 3102925, $2.04, $2.16, $1.9701
06/05/2020, $2.1, 6223526, $2.2, $2.25, $1.9
06/04/2020, $2.15, 12775910, $1.9, $2.35, $1.78
06/03/2020, $1.78, 8363320, $1.96, $1.96, $1.69
06/02/2020, $1.8, 21249930, $1.92, $1.99, $1.58
06/01/2020, $2.58, 198727100, $2.51, $3.18, $2.08
05/29/2020, $0.947, 719723, $0.949, $0.9551, $0.8586
05/28/2020, $0.93, 1338475, $0.895, $0.949, $0.865
05/27/2020, $0.865, 592803, $0.839, $0.8789, $0.8026
05/26/2020, $0.84, 474677, $0.805, $0.845, $0.805
05/22/2020, $0.7977, 207906, $0.8096, $0.8158, $0.79
05/21/2020, $0.8106, 286341, $0.805, $0.815, $0.78
05/20/2020, $0.7971, 537394, $0.802, $0.8036, $0.78
05/19/2020, $0.808, 719527, $0.84, $0.84, $0.7701
05/18/2020, $0.831, 1137511, $0.85, $0.89, $0.82
05/15/2020, $0.82, 612272, $0.85, $0.875, $0.81
05/14/2020, $0.85, 1392457, $0.85, $0.8749, $0.79
05/13/2020, $0.8695, 9348412, $1.05, $1.17, $0.7879
05/12/2020, $0.805, 387794, $0.8, $0.819, $0.7801
05/11/2020, $0.8009, 709884, $0.82, $0.829, $0.762
