Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.898, 1588, $1.9, $1.9, $1.85
07/30/2020, $1.8, N/A, $1.8, $1.8, $1.8
07/29/2020, $1.8, N/A, $1.8, $1.8, $1.8
07/28/2020, $1.8, N/A, $1.8, $1.8, $1.8
07/27/2020, $1.8, 533, $1.85, $1.85, $1.8
07/24/2020, $1.7, N/A, $1.7, $1.7, $1.7
07/23/2020, $1.7, N/A, $1.7, $1.7, $1.7
07/22/2020, $1.7, N/A, $1.7, $1.7, $1.7
07/21/2020, $1.7, 458, $1.7, $1.7, $1.7
07/20/2020, $1.7933, 159, $1.7933, $1.7933, $1.7933
07/17/2020, $1.682, 1414, $1.7357, $1.7357, $1.64
07/16/2020, $1.85, 1349, $1.85, $1.87, $1.85
07/15/2020, $1.86, 2211, $1.8, $1.89, $1.8
07/14/2020, $1.8, 1400, $1.8, $1.8, $1.8
07/13/2020, $1.835, 4479, $1.95, $1.95, $1.835
07/10/2020, $1.91, N/A, $1.91, $1.91, $1.91
07/09/2020, $1.91, 405, $1.91, $1.91, $1.91
07/08/2020, $1.71, 923, $1.6, $1.71, $1.6
07/07/2020, $1.72, 2797, $1.7, $1.72, $1.6
07/06/2020, $1.72, 1658, $1.81, $1.83, $1.72
07/02/2020, $1.91, 1023, $1.7, $1.91, $1.7
07/01/2020, $2, 234, $2, $2, $2
06/30/2020, $2.0998, 257, $2.06, $2.0998, $2.06
06/29/2020, $2.08, 573, $2.09, $2.09, $1.9
06/26/2020, $1.9952, N/A, $1.9952, $1.9952, $1.9952
06/25/2020, $1.9952, 451, $1.9905, $1.9952, $1.9905
06/24/2020, $1.8, 5530, $1.9429, $2.0571, $1.6381
06/23/2020, $1.9469, 1282, $1.8, $1.9469, $1.8
06/22/2020, $1.9048, 1716, $1.9048, $1.9048, $1.9048
06/19/2020, $1.8, 129, $1.8, $1.8, $1.8
06/18/2020, $2.181, N/A, $2.181, $2.181, $2.181
06/17/2020, $2.181, 340, $2.181, $2.181, $2.181
06/16/2020, $2.1619, 544, $2.0476, $2.1905, $2.0476
06/15/2020, $2.1905, 1518, $1.9714, $2.1905, $1.9714
06/12/2020, $1.7236, N/A, $1.7236, $1.7236, $1.7236
06/11/2020, $1.7236, 15100, $1.6286, $1.9048, $1.6
06/10/2020, $2.1127, 14972, $2.1905, $2.1905, $2.0286
06/09/2020, $2.1714, 18992, $2.1905, $2.1905, $2.0952
06/08/2020, $2.1714, 1517, $2.019, $2.1714, $2.019
06/05/2020, $2.019, 3619, $1.9048, $2.019, $1.9048
06/04/2020, $2.019, 15327, $1.8857, $2.019, $1.5238
06/03/2020, $1.8, 1793, $1.7429, $1.8, $1.5524
06/02/2020, $1.8571, 16519, $1.6857, $1.8571, $1.5333
06/01/2020, $1.8571, 84441, $1.5429, $2, $1.3333
05/29/2020, $1.1692, 945, $1.0952, $1.1692, $1.0952
05/28/2020, $1.0981, N/A, $1.0981, $1.0981, $1.0981
05/27/2020, $1.0981, N/A, $1.0981, $1.0981, $1.0981
05/26/2020, $1.0981, 1937, $1.1239, $1.1282, $1.0981
05/22/2020, $1.119, N/A, $1.119, $1.119, $1.119
05/21/2020, $1.119, 210, $1.119, $1.119, $1.119
05/20/2020, $0.9905, 1879, $1.1333, $1.1333, $0.9524
05/19/2020, $1.14, 3826, $1.085, $1.1429, $1.085
05/18/2020, $0.9524, 996, $0.9619, $0.9619, $0.9524
05/15/2020, $1.019, N/A, $1.019, $1.019, $1.019
05/14/2020, $1.019, 2191, $1.0762, $1.2381, $1.019
05/13/2020, $0.8571, 472, $0.9048, $0.9048, $0.8571
05/12/2020, $0.9009, N/A, $0.9009, $0.9009, $0.9009
05/11/2020, $0.9009, N/A, $0.9009, $0.9009, $0.9009
