Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.0678, 21237, $0.0672, $0.072, $0.06
07/30/2020, $0.0672, 15961, $0.0603, $0.07, $0.0603
07/29/2020, $0.079, 40268, $0.064, $0.079, $0.0604
07/28/2020, $0.0749, 21280, $0.08, $0.089, $0.062
07/27/2020, $0.0879, 45967, $0.0712, $0.09, $0.061
07/24/2020, $0.0711, 56932, $0.0699, $0.0855, $0.06
07/23/2020, $0.08, 42939, $0.0789, $0.0899, $0.06
07/22/2020, $0.0893, 8681, $0.0899, $0.0899, $0.075
07/21/2020, $0.1, 79049, $0.09, $0.1, $0.08
07/20/2020, $0.0901, 33668, $0.095, $0.095, $0.09
07/17/2020, $0.095, 19129, $0.109, $0.11, $0.09
07/16/2020, $0.0961, 30930, $0.11, $0.11, $0.09
07/15/2020, $0.1047, 17544, $0.0999, $0.1195, $0.091
07/14/2020, $0.1099, 124976, $0.1, $0.1101, $0.09
07/13/2020, $0.1048, 191624, $0.1209, $0.14, $0.101
07/10/2020, $0.0951, 22215, $0.095, $0.109, $0.0857
07/09/2020, $0.11, 48832, $0.094, $0.1356, $0.0856
07/08/2020, $0.0855, 4460, $0.0937, $0.0939, $0.0855
07/07/2020, $0.0939, 12872, $0.0875, $0.094, $0.0701
07/06/2020, $0.0875, 47018, $0.1095, $0.1095, $0.0752
07/02/2020, $0.0926, 31568, $0.0898, $0.1001, $0.0898
07/01/2020, $0.1009, 20490, $0.13, $0.13, $0.091
06/30/2020, $0.091, 26180, $0.08, $0.11, $0.08
06/29/2020, $0.1, 64500, $0.13, $0.14, $0.075
06/26/2020, $0.1201, 138758, $0.11, $0.15, $0.11
06/25/2020, $0.099, 83300, $0.1045, $0.1045, $0.085
06/24/2020, $0.11, 146502, $0.1, $0.14, $0.08
06/23/2020, $0.1, 44342, $0.0991, $0.1005, $0.0763
06/22/2020, $0.1076, 71915, $0.1159, $0.1194, $0.075
06/19/2020, $0.1158, 103723, $0.0951, $0.12, $0.08
06/18/2020, $0.1299, 71487, $0.13, $0.15, $0.095
06/17/2020, $0.1255, 477039, $0.18, $0.18, $0.0359
06/16/2020, $0.1776, 131412, $0.162, $0.22, $0.15
06/15/2020, $0.2025, 70956, $0.1899, $0.22, $0.155
06/12/2020, $0.1949, 111743, $0.205, $0.205, $0.136
06/11/2020, $0.19, 239391, $0.16, $0.1999, $0.155
06/10/2020, $0.175, 223989, $0.2031, $0.2349, $0.152
06/09/2020, $0.2201, 694884, $0.18, $0.3, $0.16
06/08/2020, $0.1502, 131526, $0.15, $0.1713, $0.15
06/05/2020, $0.1799, 316395, $0.16, $0.22, $0.15
06/04/2020, $0.1815, 545585, $0.12, $0.199, $0.1039
06/03/2020, $0.1208, 190901, $0.1101, $0.1439, $0.1
06/02/2020, $0.125, 696760, $0.18, $0.21, $0.1
06/01/2020, $0.229, 2237972, $0.0511, $0.34, $0.05
05/29/2020, $0.0375, 44409, $0.03, $0.0375, $0.03
05/28/2020, $0.0349, 19600, $0.035, $0.0352, $0.03
05/27/2020, $0.035, 9320, $0.0261, $0.035, $0.0261
05/26/2020, $0.0351, 48732, $0.035, $0.045, $0.035
05/22/2020, $0.0348, 92244, $0.0318, $0.05, $0.03
05/21/2020, $0.0318, 20925, $0.035, $0.035, $0.022
05/20/2020, $0.0318, 56361, $0.034, $0.04, $0.025
05/19/2020, $0.0332, 57423, $0.049, $0.049, $0.023
05/18/2020, $0.0298, 75450, $0.021, $0.032, $0.021
05/15/2020, $0.025, 51329, $0.029, $0.0299, $0.025
05/14/2020, $0.0298, 85756, $0.0319, $0.032, $0.022
05/13/2020, $0.0305, 32869, $0.036, $0.036, $0.023
05/12/2020, $0.0308, 61202, $0.0305, $0.033, $0.023
05/11/2020, $0.0305, 149241, $0.033, $0.0449, $0.029
