Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.94, 50519, $3.2, $3.2, $2.93
07/30/2020, $3.0854, 15245, $3.07, $3.15, $3.07
07/29/2020, $3.12, 24903, $3.11, $3.2099, $3.1
07/28/2020, $3.1397, 24731, $3, $3.16, $3
07/27/2020, $3.0348, 43981, $3.1149, $3.22, $2.98
07/24/2020, $3.11, 11654, $3.078, $3.11, $3.04
07/23/2020, $3.11, 47229, $3.1, $3.16, $3.02
07/22/2020, $3.14, 91978, $2.97, $3.23, $2.97
07/21/2020, $3, 36502, $2.99, $3.1052, $2.93
07/20/2020, $3.01, 68907, $3.18, $3.18, $2.95
07/17/2020, $3.11, 119645, $2.89, $3.14, $2.8861
07/16/2020, $2.85, 87579, $2.69, $2.9399, $2.6818
07/15/2020, $2.73, 57452, $2.65, $2.84, $2.65
07/14/2020, $2.66, 83943, $2.59, $2.81, $2.58
07/13/2020, $2.6, 220191, $2.68, $2.975, $2.6
07/10/2020, $2.64, 230698, $2.56, $2.74, $2.54
07/09/2020, $2.59, 73115, $2.61, $2.7, $2.575
07/08/2020, $2.6, 75821, $2.57, $2.73, $2.57
07/07/2020, $2.6, 81813, $2.6, $2.68, $2.54
07/06/2020, $2.64, 68601, $2.58, $2.734, $2.58
07/02/2020, $2.57, 57443, $2.75, $2.76, $2.55
07/01/2020, $2.73, 34757, $2.78, $2.86, $2.66
06/30/2020, $2.79, 82569, $2.63, $2.9094, $2.63
06/29/2020, $2.65, 53387, $2.6, $2.71, $2.56
06/26/2020, $2.61, 99809, $2.7, $2.74, $2.57
06/25/2020, $2.75, 106842, $2.49, $2.75, $2.49
06/24/2020, $2.64, 186996, $2.51, $2.78, $2.43
06/23/2020, $2.6, 81784, $2.57, $2.64, $2.51
06/22/2020, $2.66, 358075, $2.85, $3.08, $2.43
06/19/2020, $2.99, 5125399, $3.21, $4.3, $2.77
06/18/2020, $2.45, 1269255, $2.4, $2.49, $2.32
06/17/2020, $2.4, 1091053, $2.45, $3.1993, $2.305
06/16/2020, $2.31, 115621, $2.28, $2.35, $2.23
06/15/2020, $2.25, 7708, $2.11, $2.27, $2.11
06/12/2020, $2.16, 15515, $2.23, $2.3033, $2.12
06/11/2020, $2.19, 54145, $2.29, $2.3035, $2.16
06/10/2020, $2.38, 15342, $2.34, $2.4, $2.28
06/09/2020, $2.37, 31127, $2.4, $2.44, $2.29
06/08/2020, $2.39, 44378, $2.35, $2.4536, $2.29
06/05/2020, $2.35, 51819, $2.28, $2.53, $2.28
06/04/2020, $2.265, 76605, $2.44, $2.4407, $2.18
06/03/2020, $2.455, 88624, $2.36, $2.51, $2.3185
06/02/2020, $2.29, 112038, $2.25, $2.41, $2.08
06/01/2020, $2.335, 131631, $2.57, $2.58, $2.28
05/29/2020, $2.32, 5230540, $2.8, $3.75, $2.15
05/28/2020, $2, 8115, $2.06, $2.06, $1.97
05/27/2020, $2.04, 29987, $2.02, $2.055, $1.99
05/26/2020, $1.96, 12408, $1.98, $2.07, $1.95
05/22/2020, $1.97, 33571, $2.09, $2.09, $1.9673
05/21/2020, $2.03, 27648, $1.98, $2.05, $1.9752
05/20/2020, $2.01, 23014, $2.045, $2.11, $1.98
05/19/2020, $2.04, 40736, $2.03, $2.139, $2
05/18/2020, $2.01, 42884, $2.2, $2.25, $2
05/15/2020, $2.145, 20168, $2.1, $2.35, $2.1
05/14/2020, $2.14, 74184, $2.0521, $2.39, $2.0521
05/13/2020, $2.12, 28449, $2.01, $2.15, $2.01
05/12/2020, $2.08, 18132, $2.12, $2.12, $2.06
05/11/2020, $2.07, 33850, $2.05, $2.11, $2
