Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.08, 8390, $0.06, $0.08, $0.0516
07/30/2020, $0.0601, 16504, $0.07, $0.07, $0.06
07/29/2020, $0.06, 3059, $0.06, $0.06, $0.06
07/28/2020, $0.0623, 20193, $0.06, $0.0623, $0.0507
07/27/2020, $0.0696, 4721, $0.07, $0.07, $0.0514
07/24/2020, $0.0599, 69013, $0.0699, $0.0699, $0.057
07/23/2020, $0.0699, 80968, $0.0701, $0.08, $0.0699
07/22/2020, $0.0805, 8473, $0.1, $0.1, $0.0751
07/21/2020, $0.1002, 39662, $0.0624, $0.1002, $0.0624
07/20/2020, $0.08, 60073, $0.08, $0.08, $0.0696
07/17/2020, $0.0799, 19915, $0.0739, $0.08, $0.0739
07/16/2020, $0.08, 12514, $0.07, $0.08, $0.07
07/15/2020, $0.06, 27411, $0.0599, $0.08, $0.0598
07/14/2020, $0.075, 3000, $0.075, $0.075, $0.075
07/13/2020, $0.08, 26300, $0.0609, $0.08, $0.0587
07/10/2020, $0.061, 3558, $0.061, $0.0705, $0.061
07/09/2020, $0.079, 2988, $0.0506, $0.079, $0.0506
07/08/2020, $0.07, 52351, $0.0603, $0.08, $0.05
07/07/2020, $0.0603, N/A, $0.0603, $0.0603, $0.0603
07/06/2020, $0.0603, 77903, $0.08, $0.08, $0.0603
07/02/2020, $0.062, 19475, $0.09, $0.0921, $0.062
07/01/2020, $0.0833, 7876, $0.0703, $0.0833, $0.0653
06/30/2020, $0.0603, 1433, $0.0797, $0.0797, $0.0603
06/29/2020, $0.0601, 12985, $0.08, $0.08, $0.0601
06/26/2020, $0.08, 2562, $0.08, $0.08, $0.08
06/25/2020, $0.08, N/A, $0.08, $0.08, $0.08
06/24/2020, $0.08, 3300, $0.08, $0.08, $0.08
06/23/2020, $0.071, 24845, $0.0975, $0.1, $0.071
06/22/2020, $0.0999, 9550, $0.0761, $0.1, $0.076
06/19/2020, $0.07, 50135, $0.08, $0.08, $0.06
06/18/2020, $0.08, 100, $0.08, $0.08, $0.08
06/17/2020, $0.085, 5019, $0.1, $0.1, $0.07
06/16/2020, $0.1, 26395, $0.1, $0.1, $0.0601
06/15/2020, $0.0602, 4948, $0.09, $0.1, $0.0501
06/12/2020, $0.1, 100, $0.1, $0.1, $0.1
06/11/2020, $0.08, 399, $0.08, $0.08, $0.08
06/10/2020, $0.0989, 35573, $0.1, $0.11, $0.0601
06/09/2020, $0.1096, 132468, $0.0704, $0.11, $0.0501
06/08/2020, $0.085, 58059, $0.07, $0.11, $0.0699
06/05/2020, $0.0699, 20189, $0.07, $0.07, $0.0699
06/04/2020, $0.0689, 41770, $0.069, $0.07, $0.05
06/03/2020, $0.0608, 80271, $0.07, $0.07, $0.04
06/02/2020, $0.07, 56020, $0.08, $0.08, $0.06
06/01/2020, $0.05, 56815, $0.059, $0.0698, $0.04
05/29/2020, $0.05, 12784, $0.05, $0.06, $0.05
05/28/2020, $0.05, 16392, $0.0599, $0.0599, $0.041
05/27/2020, $0.05, 18901, $0.06, $0.06, $0.05
05/26/2020, $0.051, 83439, $0.05, $0.06, $0.05
05/22/2020, $0.05, 4700, $0.06, $0.06, $0.05
05/21/2020, $0.0499, 10045, $0.05, $0.05, $0.0499
05/20/2020, $0.05, 10821, $0.05, $0.05, $0.045
05/19/2020, $0.05, 89580, $0.06, $0.06, $0.05
05/18/2020, $0.06, 13891, $0.0699, $0.0699, $0.0499
05/15/2020, $0.0501, 13200, $0.055, $0.0599, $0.05
05/14/2020, $0.06, N/A, $0.06, $0.06, $0.06
05/13/2020, $0.06, 20480, $0.0603, $0.0625, $0.06
05/12/2020, $0.0548, 22193, $0.0799, $0.0799, $0.05
05/11/2020, $0.05, 219539, $0.0799, $0.0799, $0.0499
