Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.05, 28594, $1.04, $1.1, $0.98
07/30/2020, $1.0499, 1011, $1.04, $1.05, $1.04
07/29/2020, $1.05, 32601, $0.96, $1.08, $0.8999
07/28/2020, $1, 13916, $1.1, $1.1, $1
07/27/2020, $1.1, 35998, $1.01, $1.1, $1.0099
07/24/2020, $1.01, 24602, $1.01, $1.01, $1
07/23/2020, $1.01, 22626, $1.04, $1.04, $1
07/22/2020, $1.05, 5102, $1.05, $1.05, $1.05
07/21/2020, $1.05, 9091, $1.1, $1.15, $1.05
07/20/2020, $1.15, N/A, $1.15, $1.15, $1.15
07/17/2020, $1.15, 1086, $1.14, $1.15, $1.14
07/16/2020, $1.05, 3102, $1.05, $1.05, $1.05
07/15/2020, $1.05, 252, $1, $1.05, $1
07/14/2020, $1, 48296, $1.05, $1.05, $0.85
07/13/2020, $1.1, 51504, $1.15, $1.25, $1.1
07/10/2020, $1.13, 39910, $1, $1.15, $0.951
07/09/2020, $1, 4577, $1, $1, $1
07/08/2020, $1, 20708, $0.94, $1, $0.94
07/07/2020, $0.935, N/A, $0.935, $0.935, $0.935
07/06/2020, $0.935, 1007, $1, $1, $0.935
07/02/2020, $1.066, 17930, $0.85, $1.1, $0.85
07/01/2020, $0.85, 80101, $0.9, $1.2, $0.85
06/30/2020, $0.95, 8373, $0.9, $0.95, $0.9
06/29/2020, $1.01, 5800, $0.875, $1.01, $0.875
06/26/2020, $0.89, N/A, $0.89, $0.89, $0.89
06/25/2020, $0.89, 13701, $0.75, $0.89, $0.75
06/24/2020, $0.7, 4000, $0.7353, $0.7353, $0.7
06/23/2020, $0.7, 63804, $0.7, $0.71, $0.7
06/22/2020, $0.7, N/A, $0.7, $0.7, $0.7
06/19/2020, $0.7, 34402, $0.9, $0.91, $0.7
06/18/2020, $0.7682, 2719, $0.7711, $0.7711, $0.7682
06/17/2020, $0.65, 130811, $0.6, $0.65, $0.6
06/16/2020, $0.5933, N/A, $0.5933, $0.5933, $0.5933
06/15/2020, $0.5933, 2562, $0.63, $0.63, $0.5933
06/12/2020, $0.6, 21500, $0.6, $0.6, $0.55
06/11/2020, $0.6786, 7260, $0.7, $0.7, $0.6786
06/10/2020, $0.6999, 22922, $0.55, $0.7, $0.5499
06/09/2020, $0.5866, 55005, $0.6, $0.6, $0.558
06/08/2020, $0.6, N/A, $0.6, $0.6, $0.6
06/05/2020, $0.6, 40111, $0.6, $0.6, $0.6
06/04/2020, $0.6, 250, $0.6, $0.6, $0.6
06/03/2020, $0.55, N/A, $0.55, $0.55, $0.55
06/02/2020, $0.55, 333, $0.55, $0.55, $0.55
06/01/2020, $0.55, N/A, $0.55, $0.55, $0.55
05/29/2020, $0.55, 31536, $0.5627, $0.5627, $0.55
05/28/2020, $0.6, 201, $0.5999, $0.6, $0.5999
05/27/2020, $0.6, N/A, $0.6, $0.6, $0.6
05/26/2020, $0.6, N/A, $0.6, $0.6, $0.6
05/22/2020, $0.6, N/A, $0.6, $0.6, $0.6
05/21/2020, $0.6, N/A, $0.6, $0.6, $0.6
05/20/2020, $0.6, 25000, $0.6, $0.6, $0.6
05/19/2020, $0.5999, N/A, $0.5999, $0.5999, $0.5999
05/18/2020, $0.5999, N/A, $0.5999, $0.5999, $0.5999
05/15/2020, $0.5999, N/A, $0.5999, $0.5999, $0.5999
05/14/2020, $0.5999, N/A, $0.5999, $0.5999, $0.5999
05/13/2020, $0.5999, N/A, $0.5999, $0.5999, $0.5999
05/12/2020, $0.5999, N/A, $0.5999, $0.5999, $0.5999
05/11/2020, $0.5999, 4500, $0.5982, $0.6, $0.5982
