Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.61, 102554, $2.56, $2.6199, $2.463
07/30/2020, $2.6, 46681, $2.66, $2.66, $2.55
07/29/2020, $2.69, 147797, $2.68, $2.7099, $2.49
07/28/2020, $2.68, 114993, $2.77, $2.8, $2.66
07/27/2020, $2.8, 95054, $2.88, $2.94, $2.7304
07/24/2020, $2.88, 160352, $2.95, $2.98, $2.8663
07/23/2020, $2.99, 206983, $2.88, $3.04, $2.88
07/22/2020, $2.88, 135862, $2.82, $2.93, $2.7601
07/21/2020, $2.82, 246543, $2.7, $2.84, $2.62
07/20/2020, $2.7, 69208, $2.68, $2.78, $2.6519
07/17/2020, $2.68, 136332, $2.75, $2.91, $2.64
07/16/2020, $2.68, 73056, $2.65, $2.7401, $2.63
07/15/2020, $2.74, 209558, $2.72, $3, $2.635
07/14/2020, $2.63, 388823, $2.43, $2.89, $2.39
07/13/2020, $2.41, 295290, $2.25, $2.53, $2.17
07/10/2020, $2.26, 93113, $2.25, $2.35, $2.22
07/09/2020, $2.3, 113047, $2.41, $2.4483, $2.205
07/08/2020, $2.41, 85766, $2.37, $2.5, $2.3473
07/07/2020, $2.39, 260842, $2.38, $2.55, $2.34
07/06/2020, $2.34, 331479, $2.2, $2.35, $2.135
07/02/2020, $2.13, 129140, $2.19, $2.32, $2.1
07/01/2020, $2.17, 121178, $2.27, $2.345, $2.16
06/30/2020, $2.28, 95358, $2.33, $2.39, $2.23
06/29/2020, $2.3, 99995, $2.33, $2.54, $2.29
06/26/2020, $2.31, 102891, $2.36, $2.42, $2.285
06/25/2020, $2.41, 50445, $2.44, $2.4897, $2.3501
06/24/2020, $2.4, 205577, $2.58, $2.599, $2.36
06/23/2020, $2.6, 87913, $2.66, $2.7299, $2.59
06/22/2020, $2.665, 110257, $2.75, $2.7899, $2.6
06/19/2020, $2.71, 61995, $2.86, $2.86, $2.69
06/18/2020, $2.75, 57072, $2.69, $2.81, $2.68
06/17/2020, $2.69, 88653, $2.86, $2.88, $2.65
06/16/2020, $2.8401, 131769, $2.95, $3.08, $2.82
06/15/2020, $2.78, 189572, $2.69, $2.85, $2.5001
06/12/2020, $2.79, 186897, $2.65, $2.8, $2.605
06/11/2020, $2.475, 278584, $2.57, $2.6699, $2.4256
06/10/2020, $2.81, 220312, $2.89, $2.97, $2.65
06/09/2020, $2.92, 375461, $3.12, $3.2, $2.92
06/08/2020, $3.24, 264456, $3.19, $3.3, $3.05
06/05/2020, $3.1, 372780, $2.79, $3.16, $2.7845
06/04/2020, $2.76, 81523, $2.78, $2.78, $2.65
06/03/2020, $2.71, 162426, $2.65, $2.79, $2.65
06/02/2020, $2.64, 182199, $2.61, $2.8, $2.59
06/01/2020, $2.62, 113965, $2.57, $2.74, $2.5301
05/29/2020, $2.57, 82760, $2.66, $2.72, $2.46
05/28/2020, $2.66, 127449, $2.74, $2.8, $2.65
05/27/2020, $2.69, 127209, $2.7, $2.723, $2.64
05/26/2020, $2.64, 123267, $2.66, $2.7261, $2.58
05/22/2020, $2.57, 86791, $2.6, $2.6196, $2.5
05/21/2020, $2.58, 116401, $2.65, $2.7173, $2.5547
05/20/2020, $2.61, 188625, $2.48, $2.62, $2.43
05/19/2020, $2.4, 255675, $2.28, $2.4391, $2.25
05/18/2020, $2.29, 667111, $2.01, $2.4, $2.01
05/15/2020, $2, 89644, $1.99, $2.05, $1.93
05/14/2020, $1.98, 110993, $1.95, $2.03, $1.82
05/13/2020, $1.97, 337684, $2.1, $2.13, $1.9
05/12/2020, $2.11, 306679, $2.14, $2.2, $2.08
05/11/2020, $2.1, 302598, $1.98, $2.12, $1.9138
