Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.51, 1816748, $1.719, $1.74, $1.48
07/30/2020, $1.66, 10792020, $1.51, $1.72, $1.47
07/29/2020, $1.37, 1264622, $1.39, $1.4, $1.28
07/28/2020, $1.38, 334487, $1.42, $1.44, $1.38
07/27/2020, $1.41, 281909, $1.44, $1.4591, $1.39
07/24/2020, $1.42, 378025, $1.4, $1.42, $1.36
07/23/2020, $1.41, 663257, $1.48, $1.49, $1.4
07/22/2020, $1.43, 3094803, $1.42, $1.62, $1.39
07/21/2020, $1.4, 1173506, $1.4, $1.42, $1.35
07/20/2020, $1.4, 720846, $1.5, $1.5193, $1.37
07/17/2020, $1.47, 591721, $1.43, $1.4999, $1.405
07/16/2020, $1.45, 504536, $1.38, $1.47, $1.33
07/15/2020, $1.39, 392643, $1.43, $1.46, $1.35
07/14/2020, $1.41, 617251, $1.48, $1.48, $1.35
07/13/2020, $1.46, 540803, $1.5, $1.6, $1.44
07/10/2020, $1.49, 819596, $1.54, $1.57, $1.37
07/09/2020, $1.55, 958161, $1.6, $1.65, $1.51
07/08/2020, $1.53, 862385, $1.51, $1.55, $1.46
07/07/2020, $1.47, 591214, $1.51, $1.51, $1.41
07/06/2020, $1.49, 1097160, $1.5, $1.54, $1.435
07/02/2020, $1.41, 1096756, $1.38, $1.48, $1.38
07/01/2020, $1.34, 2243387, $1.39, $1.46, $1.34
06/30/2020, $1.28, 453885, $1.29, $1.34, $1.27
06/29/2020, $1.3, 401154, $1.31, $1.34, $1.265
06/26/2020, $1.29, 650958, $1.32, $1.33, $1.26
06/25/2020, $1.31, 497801, $1.29, $1.35, $1.29
06/24/2020, $1.28, 701944, $1.29, $1.31, $1.21
06/23/2020, $1.29, 1887335, $1.29, $1.38, $1.26
06/22/2020, $1.22, 523326, $1.22, $1.24, $1.17
06/19/2020, $1.21, 481355, $1.23, $1.25, $1.21
06/18/2020, $1.2, 431976, $1.19, $1.25, $1.18
06/17/2020, $1.19, 527247, $1.24, $1.245, $1.18
06/16/2020, $1.23, 507146, $1.2, $1.23, $1.18
06/15/2020, $1.18, 702686, $1.11, $1.195, $1.11
06/12/2020, $1.17, 799792, $1.2, $1.21, $1.09
06/11/2020, $1.16, 1239124, $1.29, $1.3, $1.15
06/10/2020, $1.29, 1212565, $1.34, $1.34, $1.23
06/09/2020, $1.24, 2434016, $1.34, $1.38, $1.22
06/08/2020, $1.18, 1440187, $1.15, $1.19, $1.14
06/05/2020, $1.14, 1939929, $1.17, $1.2, $1.13
06/04/2020, $1.14, 3776665, $1.06, $1.15, $1.05
06/03/2020, $1.03, 11655250, $1.05, $1.08, $1.011
06/02/2020, $1.32, 716980, $1.4, $1.43, $1.29
06/01/2020, $1.43, 360078, $1.51, $1.59, $1.34
05/29/2020, $1.513, 775139, $1.35, $1.55, $1.29
05/28/2020, $1.35, 766245, $1.4, $1.41, $1.26
05/27/2020, $1.41, 620835, $1.49, $1.49, $1.34
05/26/2020, $1.51, 5209048, $1.75, $1.79, $1.38
05/22/2020, $1.41, 25530, $1.41, $1.4535, $1.4
05/21/2020, $1.4, 45692, $1.41, $1.45, $1.4
05/20/2020, $1.44, 61352, $1.41, $1.49, $1.36
05/19/2020, $1.47, 84684, $1.54, $1.54, $1.41
05/18/2020, $1.51, 43587, $1.49, $1.54, $1.4
05/15/2020, $1.44, 18599, $1.47, $1.4807, $1.42
05/14/2020, $1.4, 118114, $1.45, $1.53, $1.37
05/13/2020, $1.4, 53634, $1.49, $1.52, $1.371
05/12/2020, $1.519, 55894, $1.51, $1.59, $1.47
05/11/2020, $1.47, 219626, $1.48, $1.49, $1.4
