Date, Close/Last, Volume, Open, High, Low
07/31/2020, $0.4249, 440128, $0.446, $0.455, $0.401
07/30/2020, $0.4451, 339809, $0.4391, $0.4598, $0.43
07/29/2020, $0.4462, 294556, $0.45, $0.46, $0.43
07/28/2020, $0.4497, 280347, $0.421, $0.46, $0.42
07/27/2020, $0.4374, 440239, $0.44, $0.47, $0.4198
07/24/2020, $0.4299, 372632, $0.43, $0.43, $0.4027
07/23/2020, $0.4165, 407187, $0.45, $0.45, $0.41
07/22/2020, $0.4151, 410669, $0.43, $0.43, $0.4016
07/21/2020, $0.4312, 470725, $0.44, $0.46, $0.42
07/20/2020, $0.4327, 437048, $0.4728, $0.4789, $0.414
07/17/2020, $0.4701, 149291, $0.4902, $0.4902, $0.47
07/16/2020, $0.4775, 303345, $0.47, $0.486, $0.4511
07/15/2020, $0.47, 576953, $0.47, $0.4802, $0.4205
07/14/2020, $0.4299, 1203479, $0.45, $0.46, $0.38
07/13/2020, $0.4629, 480403, $0.4999, $0.5, $0.45
07/10/2020, $0.4896, 375977, $0.4687, $0.49, $0.4401
07/09/2020, $0.445, 409385, $0.51, $0.51, $0.445
07/08/2020, $0.4795, 507439, $0.4836, $0.52, $0.47
07/07/2020, $0.5001, 568141, $0.52, $0.5292, $0.49
07/06/2020, $0.545, 569065, $0.53, $0.5503, $0.52
07/02/2020, $0.519, 391197, $0.5594, $0.5594, $0.5032
07/01/2020, $0.5594, 328794, $0.54, $0.57, $0.54
06/30/2020, $0.54, 550033, $0.55, $0.55, $0.51
06/29/2020, $0.5245, 1014244, $0.5102, $0.57, $0.4804
06/26/2020, $0.4585, 1173595, $0.59, $0.59, $0.4533
06/25/2020, $0.56, 678943, $0.58, $0.6, $0.5401
06/24/2020, $0.6, 1502028, $0.69, $0.69, $0.5541
06/23/2020, $0.6927, 969281, $0.7398, $0.77, $0.68
06/22/2020, $0.691, 2386136, $0.7, $0.76, $0.66
06/19/2020, $0.6759, 955716, $0.71, $0.77, $0.662
06/18/2020, $0.704, 515008, $0.74, $0.7499, $0.69
06/17/2020, $0.7269, 682968, $0.77, $0.81, $0.72
06/16/2020, $0.7832, 1082372, $0.801, $0.9493, $0.76
06/15/2020, $0.795, 1359349, $0.7325, $0.85, $0.7
06/12/2020, $0.9101, 583879, $0.9674, $1.03, $0.9
06/11/2020, $0.85, 984244, $0.785, $0.9659, $0.75
06/10/2020, $1.03, 1391056, $1.19, $1.19, $0.9
06/09/2020, $1.21, 2637190, $0.99, $1.2299, $0.9
06/08/2020, $0.939, 999386, $0.95, $0.98, $0.76
06/05/2020, $0.8801, 1587590, $0.8601, $0.9289, $0.76
06/04/2020, $0.7799, 589756, $0.8, $0.8, $0.72
06/03/2020, $0.8002, 755806, $0.84, $0.8488, $0.7707
06/02/2020, $0.78, 1375944, $0.8, $0.855, $0.77
06/01/2020, $0.765, 826216, $0.819, $0.8299, $0.73
05/29/2020, $0.83, 1277559, $0.8703, $0.8995, $0.78
05/28/2020, $1, 7583304, $0.83, $1.16, $0.83
05/27/2020, $0.76, 2697735, $0.53, $0.78, $0.5243
05/26/2020, $0.5201, 458958, $0.5355, $0.55, $0.51
05/22/2020, $0.51, 487127, $0.51, $0.5143, $0.4755
05/21/2020, $0.5105, 401691, $0.5354, $0.55, $0.5
05/20/2020, $0.53, 557087, $0.472, $0.57, $0.471
05/19/2020, $0.471, 332536, $0.51, $0.51, $0.45
05/18/2020, $0.4825, 627577, $0.45, $0.52, $0.43
05/15/2020, $0.4044, 261864, $0.4042, $0.4421, $0.4042
05/14/2020, $0.4049, 250180, $0.39, $0.42, $0.3516
05/13/2020, $0.3992, 271467, $0.4226, $0.44, $0.3901
05/12/2020, $0.4225, 349422, $0.4653, $0.49, $0.4156
05/11/2020, $0.44, 236319, $0.483, $0.483, $0.43
