Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.925, 3837, $2.91, $3.03, $2.9
07/30/2020, $3.0064, 12943, $3.0868, $3.1199, $2.9
07/29/2020, $3.0322, 22181, $3.06, $3.145, $3
07/28/2020, $3.1, 16171, $3.18, $3.2353, $3.06
07/27/2020, $3.224, 1732, $3.23, $3.3, $3.1
07/24/2020, $3.26, 26865, $3.13, $3.36, $3.1
07/23/2020, $3.21, 9509, $3.2301, $3.3064, $3.2
07/22/2020, $3.27, 15046, $3.32, $3.47, $3.27
07/21/2020, $3.2, 50337, $3.31, $3.43, $3.16
07/20/2020, $3.24, 16647, $3.3, $3.4, $3.2
07/17/2020, $3.38, 16565, $3.38, $3.38, $3.17
07/16/2020, $3.33, 1414, $3.36, $3.36, $3.2804
07/15/2020, $3.2845, 31387, $3.43, $3.43, $3.1535
07/14/2020, $3.2, 22147, $3.21, $3.26, $3.1202
07/13/2020, $3.26, 163939, $3.48, $3.6, $3.18
07/10/2020, $3.33, 155448, $3.19, $3.55, $3.19
07/09/2020, $3.2392, 19692, $3.19, $3.27, $3.145
07/08/2020, $3.3, 355095, $3.04, $3.64, $3.025
07/07/2020, $2.98, 6161, $2.95, $3.03, $2.9495
07/06/2020, $2.96, 25700, $3.0301, $3.0624, $2.95
07/02/2020, $3.0201, 33724, $3, $3.0301, $2.91
07/01/2020, $3.0204, 8278, $3.13, $3.13, $2.97
06/30/2020, $3.06, 31982, $2.993, $3.17, $2.92
06/29/2020, $3, 30915, $3.12, $3.12, $2.96
06/26/2020, $3.06, 14688, $3.18, $3.18, $2.9501
06/25/2020, $3.14, 22956, $2.975, $3.17, $2.95
06/24/2020, $2.99, 39783, $3.139, $3.34, $2.9
06/23/2020, $3.29, 77200, $3.2, $3.3, $2.995
06/22/2020, $3.0657, 34953, $3.03, $3.1654, $2.85
06/19/2020, $3.07, 108318, $3.05, $3.25, $3.05
06/18/2020, $3.03, 258639, $3.55, $3.55, $2.93
06/17/2020, $3.75, 776046, $3.14, $3.8833, $2.85
06/16/2020, $2.93, 266617, $2.8, $3.25, $2.61
06/15/2020, $2.7299, 57997, $2.96, $2.96, $2.52
06/12/2020, $2.8645, 393267, $3.27, $3.37, $2.4
06/11/2020, $2.5862, 265026, $2.5, $2.95, $2.45
06/10/2020, $2.56, 185274, $2.4158, $2.8, $2.4158
06/09/2020, $2.34, 25862, $2.4101, $2.5, $2.28
06/08/2020, $2.4361, 145319, $2.3, $2.61, $2.26
06/05/2020, $2.3, 7028, $2.24, $2.3, $2.2301
06/04/2020, $2.2887, 14254, $2.32, $2.33, $2.255
06/03/2020, $2.28, 18523, $2.38, $2.38, $2.23
06/02/2020, $2.35, 12432, $2.35, $2.36, $2.17
06/01/2020, $2.292, 8543, $2.28, $2.37, $2.26
05/29/2020, $2.2754, 5200, $2.3, $2.35, $2.2754
05/28/2020, $2.25, 39112, $2.4, $2.4, $2.2201
05/27/2020, $2.28, 28717, $2.24, $2.39, $2.21
05/26/2020, $2.365, 73837, $2.216, $2.4, $2.15
05/22/2020, $2.22, 7299, $2.13, $2.22, $2.12
05/21/2020, $2.2074, 7962, $2.15, $2.26, $2.11
05/20/2020, $2.185, 55517, $2.161, $2.38, $2.1201
05/19/2020, $2.17, 2099, $2.16, $2.25, $2.14
05/18/2020, $2.19, 4820, $2.199, $2.23, $2.15
05/15/2020, $2.2, 5832, $2.19, $2.2, $2.15
05/14/2020, $2.11, 16715, $2.09, $2.14, $2.02
05/13/2020, $2.1164, 13163, $2.2101, $2.2205, $2.1055
05/12/2020, $2.2, 16300, $2.3, $2.32, $2.2
05/11/2020, $2.34, 10862, $2.32, $2.42, $2.28
