Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.93, 138083, $3.94, $3.94, $3.73
07/30/2020, $3.93, 71733, $3.91, $3.99, $3.801
07/29/2020, $3.99, 80025, $4.02, $4.06, $3.9
07/28/2020, $3.96, 129523, $3.85, $4.09, $3.85
07/27/2020, $3.89, 131600, $3.95, $3.99, $3.82
07/24/2020, $3.98, 86440, $3.92, $3.99, $3.85
07/23/2020, $3.94, 179857, $4.04, $4.0858, $3.84
07/22/2020, $3.99, 202802, $4.06, $4.28, $3.93
07/21/2020, $4.06, 237532, $3.97, $4.16, $3.87
07/20/2020, $3.86, 177346, $3.99, $4.06, $3.86
07/17/2020, $4, 217711, $4.1, $4.1016, $3.9
07/16/2020, $4.1, 144416, $4.07, $4.19, $3.96
07/15/2020, $4.13, 315138, $4.29, $4.39, $3.86
07/14/2020, $4.12, 437277, $3.94, $4.58, $3.79
07/13/2020, $3.9, 166120, $4.07, $4.2, $3.8607
07/10/2020, $4, 253929, $3.7, $4.23, $3.67
07/09/2020, $3.66, 227738, $3.81, $3.9899, $3.61
07/08/2020, $3.81, 141213, $3.75, $3.9297, $3.75
07/07/2020, $3.77, 356871, $3.92, $4.045, $3.62
07/06/2020, $3.97, 231622, $4.18, $4.2, $3.97
07/02/2020, $4.08, 253316, $4.43, $4.65, $4.03
07/01/2020, $4.45, 595580, $4, $4.6372, $3.9802
06/30/2020, $3.95, 452562, $4.26, $4.26, $3.88
06/29/2020, $4.26, 262603, $4.17, $4.38, $4.1
06/26/2020, $4.29, 2114983, $4.61, $4.7, $4.1
06/25/2020, $4.63, 1114356, $5.25, $5.25, $4.41
06/24/2020, $4.29, 646230, $4.57, $4.59, $4.1
06/23/2020, $4.75, 323694, $4.96, $5.1099, $4.6
06/22/2020, $4.87, 384781, $5.26, $5.34, $4.85
06/19/2020, $5.34, 322380, $5.82, $5.82, $5.3
06/18/2020, $5.68, 363551, $5.52, $5.9997, $5.5
06/17/2020, $5.61, 165741, $6, $6, $5.6
06/16/2020, $5.81, 215419, $6.55, $6.86, $5.62
06/15/2020, $5.99, 229051, $5.41, $6.2, $5.2106
06/12/2020, $5.76, 255449, $6.07, $6.19, $5.44
06/11/2020, $5.36, 279417, $6.08, $6.08, $5.285
06/10/2020, $6.61, 262257, $7.35, $7.35, $6.4187
06/09/2020, $7.51, 387771, $8.3, $8.44, $6.8578
06/08/2020, $8.54, 492149, $8.47, $9.28, $7.69
06/05/2020, $7.43, 576148, $5.99, $7.94, $5.9773
06/04/2020, $5.75, 214385, $5.65, $5.845, $5.52
06/03/2020, $5.64, 210323, $5.3, $5.8, $5.23
06/02/2020, $5.23, 285074, $5.35, $5.46, $5.1
06/01/2020, $5.175, 157240, $5.13, $5.53, $5.1001
05/29/2020, $5.17, 295717, $5.76, $5.76, $5.05
05/28/2020, $5.91, 479946, $6.22, $6.69, $5.81
05/27/2020, $6.01, 403711, $5.39, $6.12, $5.23
05/26/2020, $5.31, 940196, $4.55, $6.44, $4.5
05/22/2020, $4.24, 194403, $3.89, $4.35, $3.86
05/21/2020, $3.91, 139734, $4, $4, $3.78
05/20/2020, $3.92, 463760, $3.25, $3.99, $3.225
05/19/2020, $3.23, 220319, $3.45, $3.45, $3.2
05/18/2020, $3.43, 219245, $3.44, $3.4926, $3.2
05/15/2020, $3.33, 138704, $3.36, $3.36, $3.0501
05/14/2020, $3.37, 130638, $3.3, $3.37, $3
05/13/2020, $3.37, 224854, $3.16, $3.55, $3.15
05/12/2020, $3.14, 501086, $3.8, $3.8273, $3.07
05/11/2020, $3.93, 161342, $4.07, $4.1117, $3.92
