Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.38, 703, $2.5, $2.5, $2.38
07/30/2020, $2.31, 188, $2.31, $2.31, $2.31
07/29/2020, $2.45, N/A, $2.45, $2.45, $2.45
07/28/2020, $2.45, 6122, $2.35, $2.5, $2.2
07/27/2020, $2.35, N/A, $2.35, $2.35, $2.35
07/24/2020, $2.35, N/A, $2.35, $2.35, $2.35
07/23/2020, $2.35, 388, $2.35, $2.35, $2.35
07/22/2020, $2.3501, N/A, $2.3501, $2.3501, $2.3501
07/21/2020, $2.3501, 2700, $2.5, $2.5, $2.35
07/20/2020, $2.4347, N/A, $2.4347, $2.4347, $2.4347
07/17/2020, $2.4347, 493, $2.4347, $2.4347, $2.4347
07/16/2020, $2.455, 1601, $2.35, $2.455, $2.35
07/15/2020, $2.35, 2171, $2.35, $2.455, $2.35
07/14/2020, $2.35, 1309, $2.35, $2.455, $2.35
07/13/2020, $2.21, 4851, $2.63, $2.63, $2.21
07/10/2020, $2.63, 35411, $2.46, $2.63, $2.35
07/09/2020, $2.46, N/A, $2.46, $2.46, $2.46
07/08/2020, $2.46, N/A, $2.46, $2.46, $2.46
07/07/2020, $2.46, 329, $2.46, $2.46, $2.46
07/06/2020, $2.42, 567, $2.5, $2.5, $2.42
07/02/2020, $2.5935, N/A, $2.5935, $2.5935, $2.5935
07/01/2020, $2.5935, 575, $2.47, $2.6372, $2.47
06/30/2020, $2.728, 1541, $2.84, $2.84, $2.43
06/29/2020, $2.5, 12547, $2.51, $2.58, $2.5
06/26/2020, $2.59, 1658, $2.75, $2.8856, $2.58
06/25/2020, $2.98, 254, $2.98, $2.98, $2.98
06/24/2020, $2.9, 2766, $2.898, $3, $2.87
06/23/2020, $2.79, 2536, $2.77, $2.9137, $2.66
06/22/2020, $2.8, 3419, $3.1, $3.1, $2.8
06/19/2020, $3.17, 609, $3.17, $3.17, $3.17
06/18/2020, $2.76, 484, $2.76, $2.76, $2.76
06/17/2020, $2.89, 370, $2.89, $2.89, $2.89
06/16/2020, $2.85, 1968, $2.85, $2.86, $2.85
06/15/2020, $2.7, 709, $2.82, $2.82, $2.7
06/12/2020, $2.5001, 745, $2.8, $2.8, $2.5001
06/11/2020, $2.5525, 5183, $2.33, $2.8, $2.33
06/10/2020, $2.77, 1649, $2.75, $2.77, $2.75
06/09/2020, $2.56, 709, $2.6, $2.6, $2.56
06/08/2020, $2.5, 6775, $2.99, $2.99, $2.5
06/05/2020, $2.6401, N/A, $2.6401, $2.6401, $2.6401
06/04/2020, $2.6401, N/A, $2.6401, $2.6401, $2.6401
06/03/2020, $2.6401, 921, $2.64, $2.6401, $2.64
06/02/2020, $2.52, N/A, $2.52, $2.52, $2.52
06/01/2020, $2.52, N/A, $2.52, $2.52, $2.52
05/29/2020, $2.52, 250, $2.52, $2.52, $2.52
05/28/2020, $2.6, 640, $2.75, $2.98, $2.6
05/27/2020, $2.61, 1661, $2.62, $2.62, $2.6
05/26/2020, $2.73, 1422, $2.83, $2.83, $2.6
05/22/2020, $2.72, 2486, $2.675, $2.72, $2.675
05/21/2020, $2.73, 15944, $2.7, $3.27, $2.65
05/20/2020, $3, 37129, $2.9, $3, $2.675
05/19/2020, $2.675, 706, $2.675, $2.675, $2.675
05/18/2020, $2.65, 499, $2.8, $2.8, $2.5927
05/15/2020, $2.74, 7413, $2.4, $2.74, $2.18
05/14/2020, $3, N/A, $3, $3, $3
05/13/2020, $3, 2795, $3.29, $3.29, $3
05/12/2020, $3.25, N/A, $3.25, $3.25, $3.25
05/11/2020, $3.25, 796, $3.25, $3.25, $3.25
