Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.86, 38197, $1.89, $1.89, $1.84
07/30/2020, $1.89, 55819, $1.88, $1.935, $1.85
07/29/2020, $1.9, 278078, $1.93, $2.36, $1.9
07/28/2020, $1.9249, 36050, $1.95, $2, $1.9
07/27/2020, $1.92, 26685, $1.92, $1.96, $1.9001
07/24/2020, $1.96, 40850, $1.96, $2, $1.8601
07/23/2020, $1.99, 103849, $1.93, $2, $1.86
07/22/2020, $1.93, 76909, $2, $2, $1.73
07/21/2020, $1.91, 48215, $2.01, $2.07, $1.86
07/20/2020, $1.96, 55555, $2.02, $2.05, $1.92
07/17/2020, $2.05, 44140, $2.1, $2.12, $1.9
07/16/2020, $2.05, 67055, $1.95, $2.05, $1.8501
07/15/2020, $1.87, 108424, $1.83, $1.94, $1.73
07/14/2020, $1.72, 99364, $1.69, $1.8, $1.6201
07/13/2020, $1.69, 54279, $1.86, $1.86, $1.59
07/10/2020, $1.87, 117087, $1.95, $2.0195, $1.75
07/09/2020, $1.95, 98727, $2.1, $2.1, $1.9
07/08/2020, $2.06, 86913, $2.15, $2.172, $1.97
07/07/2020, $1.95, 48811, $2.11, $2.32, $1.93
07/06/2020, $2.155, 48455, $2.07, $2.28, $2.07
07/02/2020, $2.07, 20593, $2.06, $2.15, $2.06
07/01/2020, $2.09, 18088, $2.18, $2.18, $2.06
06/30/2020, $2.14, 54415, $2.1, $2.4408, $2.06
06/29/2020, $2.07, 15724, $2.06, $2.185, $2.0508
06/26/2020, $2.05, 34645, $2.25, $2.44, $2.04
06/25/2020, $2.25, 56492, $2.47, $2.523, $2.25
06/24/2020, $2.33, 101569, $2.41, $2.66, $2.32
06/23/2020, $2.48, 85916, $2.26, $2.48, $2.26
06/22/2020, $2.29, 39561, $2.21, $2.29, $2.2
06/19/2020, $2.29, 42823, $2.4, $2.41, $2.17
06/18/2020, $2.35, 34105, $2.36, $2.45, $2.2501
06/17/2020, $2.38, 82482, $2.36, $2.4399, $2.24
06/16/2020, $2.42, 59207, $2.63, $2.63, $2.33
06/15/2020, $2.42, 66376, $2.41, $2.49, $2.4
06/12/2020, $2.47, 89045, $2.61, $2.61, $2.4
06/11/2020, $2.59, 686140, $2.92, $2.94, $2.35
06/10/2020, $2.68, 793889, $2.76, $3.34, $2.55
06/09/2020, $2.52, 17885, $2.5, $2.6499, $2.5
06/08/2020, $2.535, 45213, $2.67, $2.7, $2.5
06/05/2020, $2.66, 30600, $2.78, $2.84, $2.62
06/04/2020, $2.7612, 31185, $2.64, $2.86, $2.55
06/03/2020, $2.7, 46676, $2.7, $2.84, $2.62
06/02/2020, $2.75, 51049, $2.89, $2.89, $2.62
06/01/2020, $2.85, 40811, $2.67, $2.88, $2.65
05/29/2020, $2.66, 89247, $2.31, $2.78, $2.31
05/28/2020, $2.4, 209653, $2.73, $3.09, $2.16
05/27/2020, $2.76, N/A, $2.76, $2.76, $2.76
05/26/2020, $2.76, N/A, $2.76, $2.76, $2.76
05/22/2020, $2.76, N/A, $2.76, $2.76, $2.76
05/21/2020, $2.76, N/A, $2.76, $2.76, $2.76
05/20/2020, $2.76, N/A, $2.76, $2.76, $2.76
05/19/2020, $2.76, N/A, $2.76, $2.76, $2.76
05/18/2020, $2.76, N/A, $2.76, $2.76, $2.76
05/15/2020, $2.76, N/A, $2.76, $2.76, $2.76
05/14/2020, $2.76, N/A, $2.76, $2.76, $2.76
05/13/2020, $2.76, N/A, $2.76, $2.76, $2.76
05/12/2020, $2.76, N/A, $2.76, $2.76, $2.76
05/11/2020, $2.76, N/A, $2.76, $2.76, $2.76
