Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.2, 15129, $2.3001, $2.3001, $2.2
07/30/2020, $2.45, N/A, $2.45, $2.45, $2.45
07/29/2020, $2.45, 17943, $2.46, $2.47, $2.45
07/28/2020, $2.4501, 1517, $2.5, $2.5, $2.45
07/27/2020, $2.5, 4822, $2.5, $2.52, $2.5
07/24/2020, $2.5887, 618, $2.6, $2.6, $2.5887
07/23/2020, $2.6, 5471, $2.51, $2.6, $2.51
07/22/2020, $2.58, 4785, $2.52, $2.585, $2.4
07/21/2020, $2.6, 3650, $2.7, $2.74, $2.6
07/20/2020, $2.56, 8361, $2.6, $2.6, $2.56
07/17/2020, $2.555, 18950, $2.6, $2.6, $2.55
07/16/2020, $2.57, 20282, $2.6, $2.6, $2.57
07/15/2020, $2.6, 41604, $2.65, $2.65, $2.5
07/14/2020, $2.62, 27671, $2.75, $2.75, $2.58
07/13/2020, $2.74, 104396, $2.25, $2.89, $2.25
07/10/2020, $2.07, 101, $2.07, $2.07, $2.07
07/09/2020, $2.1, 27696, $2.1, $2.25, $2
07/08/2020, $2.2, 2125, $2.1, $2.2, $2.1
07/07/2020, $2.3, 101020, $2.2, $2.528, $2
07/06/2020, $2.25, 15118, $2.2, $2.25, $2.18
07/02/2020, $2.19, 3250, $2.1, $2.2, $2.1
07/01/2020, $2.1001, 8201, $2.1, $2.2, $2.0513
06/30/2020, $2.2, 11750, $2.2, $2.2, $2.05
06/29/2020, $2.19, 2000, $2, $2.19, $2
06/26/2020, $2.19, 1100, $1.73, $2.19, $1.7
06/25/2020, $2.14, N/A, $2.14, $2.14, $2.14
06/24/2020, $2.14, 1741, $2.15, $2.1502, $2.14
06/23/2020, $2.2, 3360, $2.2, $2.25, $2.2
06/22/2020, $2.15, 150, $2.15, $2.15, $2.15
06/19/2020, $2.25, 2500, $1.65, $2.25, $1.65
06/18/2020, $2, 6354, $1.98, $2.01, $1.9799
06/17/2020, $1.98, 4845, $1.865, $1.98, $1.865
06/16/2020, $1.97, N/A, $1.97, $1.97, $1.97
06/15/2020, $1.97, 78945, $1.6, $1.98, $1.6
06/12/2020, $1.865, 2200, $1.5501, $1.98, $1.5501
06/11/2020, $1.9789, N/A, $1.9789, $1.9789, $1.9789
06/10/2020, $1.9789, 12252, $1.9, $1.98, $1.9
06/09/2020, $1.9532, 2650, $1.98, $1.98, $1.9532
06/08/2020, $1.835, N/A, $1.835, $1.835, $1.835
06/05/2020, $1.835, 5580, $2, $2, $1.74
06/04/2020, $1.7, N/A, $1.7, $1.7, $1.7
06/03/2020, $1.7, N/A, $1.7, $1.7, $1.7
06/02/2020, $1.7, 2000, $1.74, $1.74, $1.7
06/01/2020, $1.7, 91174, $1.65, $1.7, $1.65
05/29/2020, $1.5987, 900, $1.64, $1.7, $1.5331
05/28/2020, $1.7, 894, $1.6, $1.7, $1.6
05/27/2020, $1.6, N/A, $1.6, $1.6, $1.6
05/26/2020, $1.6, 106, $1.6, $1.6, $1.6
05/22/2020, $1.5625, N/A, $1.5625, $1.5625, $1.5625
05/21/2020, $1.5625, N/A, $1.5625, $1.5625, $1.5625
05/20/2020, $1.5625, N/A, $1.5625, $1.5625, $1.5625
05/19/2020, $1.5625, 100, $1.5625, $1.5625, $1.5625
05/18/2020, $1.64, N/A, $1.64, $1.64, $1.64
05/15/2020, $1.64, N/A, $1.64, $1.64, $1.64
05/14/2020, $1.64, 200, $1.64, $1.64, $1.64
05/13/2020, $1.7, 362, $1.5, $1.7, $1.5
05/12/2020, $1.55, 7400, $1.45, $1.7, $1.45
05/11/2020, $1.6942, N/A, $1.6942, $1.6942, $1.6942
