Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.63, 14916, $4.52, $4.64, $4.43
07/30/2020, $4.47, 39256, $4.46, $4.7241, $4.46
07/29/2020, $4.55, 21224, $4.69, $4.74, $4.55
07/28/2020, $4.66, 25242, $4.7, $4.805, $4.6
07/27/2020, $4.68, 37203, $4.6, $4.87, $4.6
07/24/2020, $4.65, 36712, $4.64, $4.82, $4.52
07/23/2020, $4.75, 45303, $4.93, $4.9829, $4.7
07/22/2020, $4.99, 54686, $4.83, $5.07, $4.73
07/21/2020, $4.63, 125804, $5.31, $5.68, $4.63
07/20/2020, $5.44, 121577, $5.75, $5.92, $5.36
07/17/2020, $5.55, 122015, $5.44, $5.86, $5.41
07/16/2020, $5.43, 89347, $5.3, $5.49, $5.2602
07/15/2020, $5.33, 87462, $5.26, $5.51, $5.1497
07/14/2020, $5.25, 89156, $5.17, $5.34, $4.9
07/13/2020, $5.18, 63458, $5.56, $5.588, $5.18
07/10/2020, $5.42, 167520, $5.42, $5.85, $5.19
07/09/2020, $5.42, 54976, $5.36, $5.48, $5.21
07/08/2020, $5.27, 89240, $5, $5.34, $5
07/07/2020, $5.01, 125670, $5.05, $5.332, $4.99
07/06/2020, $5.05, 130716, $5.04, $5.32, $4.93
07/02/2020, $4.95, 34615, $4.97, $5.06, $4.94
07/01/2020, $4.97, 29541, $5, $5.05, $4.8476
06/30/2020, $4.97, 33909, $5, $5.05, $4.8476
06/29/2020, $4.85, 57935, $4.95, $5.07, $4.81
06/26/2020, $5.05, 145302, $4.84, $5.15, $4.65
06/25/2020, $4.92, 178491, $4.6, $4.98, $4.54
06/24/2020, $4.51, 66309, $4.14, $4.65, $4.14
06/23/2020, $4.19, 34197, $4.2, $4.3, $4.15
06/22/2020, $4.31, 113049, $4.69, $4.7121, $4.17
06/19/2020, $4.69, 146180, $4.38, $4.9, $4.35
06/18/2020, $4.4, 240426, $3.71, $4.69, $3.71
06/17/2020, $4.04, 171611, $3.58, $4.215, $3.58
06/16/2020, $3.82, 97739, $3.77, $3.9, $3.6801
06/15/2020, $3.65, 196270, $3.87, $3.87, $3.31
06/12/2020, $3.7487, 712241, $3.2201, $4.62, $3.2201
06/11/2020, $3.32, 59299, $3.5, $3.5396, $3.3
06/10/2020, $3.52, 53752, $3.75, $3.79, $3.51
06/09/2020, $3.72, 58209, $3.66, $3.85, $3.65
06/08/2020, $3.64, 64669, $3.6, $3.74, $3.5013
06/05/2020, $3.55, 26466, $3.66, $3.66, $3.451
06/04/2020, $3.45, 50864, $3.5, $3.6101, $3.42
06/03/2020, $3.5, 86847, $3.64, $3.75, $3.49
06/02/2020, $3.58, 147726, $3.45, $3.64, $3.36
06/01/2020, $3.46, 106441, $3.32, $3.47, $3.27
05/29/2020, $3.3, 82511, $3.15, $3.32, $3.12
05/28/2020, $3.135, 19691, $3.16, $3.19, $3.1
05/27/2020, $3.16, 16097, $3.2, $3.2, $3.08
05/26/2020, $3.11, 33641, $3.03, $3.16, $3.03
05/22/2020, $3.15, 19417, $3.14, $3.15, $3.05
05/21/2020, $3.19, 28823, $3.06, $3.2, $3.0279
05/20/2020, $3.1, 20722, $3.15, $3.18, $3.08
05/19/2020, $3.17, 29016, $3.17, $3.2, $3.13
05/18/2020, $3.19, 42592, $3.35, $3.35, $3.13
05/15/2020, $3.23, 42116, $3.02, $3.23, $3.02
05/14/2020, $3.1, 37999, $3, $3.1, $2.92
05/13/2020, $3.07, 53816, $3.15, $3.2, $3
05/12/2020, $3.19, 82581, $3.26, $3.2762, $3.11
05/11/2020, $3.25, 45867, $3.21, $3.28, $3.18
