Date, Close/Last, Volume, Open, High, Low
07/31/2020, $3.27, 9397, $3.26, $3.3, $3.255
07/30/2020, $3.21, 85992, $3.245, $3.25, $3.2
07/29/2020, $3.27, 10762, $3.27, $3.27, $3.2201
07/28/2020, $3.26, 57761, $3.24, $3.28, $3.16
07/27/2020, $3.24, 10664, $3.22, $3.26, $3.19
07/24/2020, $3.24, 3690, $3.18, $3.24, $3.1295
07/23/2020, $3.17, 5562, $3.24, $3.28, $3.14
07/22/2020, $3.29, 43873, $3.07, $3.29, $3.07
07/21/2020, $3.12, 11717, $3.19, $3.19, $3.08
07/20/2020, $3.1, 1054, $3.15, $3.15, $3.03
07/17/2020, $3.09, 5964, $3.15, $3.17, $3.085
07/16/2020, $3.09, 15838, $3.1, $3.13, $3.0216
07/15/2020, $3.175, 1712, $3.21, $3.21, $3.16
07/14/2020, $3.22, 3458, $3.35, $3.35, $3.16
07/13/2020, $3.27, 5832, $3.16, $3.34, $3.09
07/10/2020, $3.15, 12060, $3.068, $3.2, $3.05
07/09/2020, $3.05, 34840, $3.3, $3.4323, $2.97
07/08/2020, $3.13, 34775, $3.16, $3.2, $3
07/07/2020, $3.1, 12323, $2.83, $3.14, $2.83
07/06/2020, $2.9, 12046, $3.05, $3.05, $2.7701
07/02/2020, $2.93, 12512, $2.96, $3.03, $2.8801
07/01/2020, $2.84, 6057, $2.91, $2.98, $2.84
06/30/2020, $2.83, 4431, $2.75, $2.845, $2.75
06/29/2020, $2.78, 7093, $2.7749, $2.965, $2.7749
06/26/2020, $2.93, 17556, $2.84, $2.93, $2.76
06/25/2020, $2.8, 5846, $2.75, $2.83, $2.75
06/24/2020, $2.74, 3862, $2.806, $2.81, $2.74
06/23/2020, $2.73, 7134, $2.917, $2.925, $2.72
06/22/2020, $2.87, 9353, $2.85, $2.9899, $2.85
06/19/2020, $2.87, 16795, $2.76, $2.95, $2.76
06/18/2020, $2.76, 6672, $2.61, $2.79, $2.61
06/17/2020, $2.64, 14061, $2.71, $2.786, $2.64
06/16/2020, $2.72, 11597, $2.84, $3.0337, $2.72
06/15/2020, $2.79, 6550, $2.6398, $2.7938, $2.6398
06/12/2020, $2.72, 47996, $2.6204, $2.81, $2.6204
06/11/2020, $2.58, 12846, $2.94, $2.94, $2.5417
06/10/2020, $2.76, 38238, $2.92, $3.14, $2.6
06/09/2020, $3.15, 9108, $3.0575, $3.23, $3.0575
06/08/2020, $3.05, 13941, $3.02, $3.14, $3
06/05/2020, $2.91, 56444, $2.9, $3.04, $2.9
06/04/2020, $2.87, 8116, $2.66, $2.89, $2.66
06/03/2020, $2.77, 9451, $2.607, $2.78, $2.592
06/02/2020, $2.48, 25947, $2.53, $2.54, $2.4417
06/01/2020, $2.47, 3573, $2.5, $2.5, $2.4577
05/29/2020, $2.56, 8857, $2.51, $2.6, $2.49
05/28/2020, $2.62, 6959, $2.71, $2.71, $2.62
05/27/2020, $2.66, 2716, $2.73, $2.73, $2.66
05/26/2020, $2.67, 4554, $2.74, $2.75, $2.67
05/22/2020, $2.66, 4013, $2.71, $2.71, $2.57
05/21/2020, $2.66, 11865, $2.6806, $2.7317, $2.5647
05/20/2020, $2.59, 7573, $2.78, $2.78, $2.515
05/19/2020, $2.73, 17609, $2.44, $2.89, $2.35
05/18/2020, $2.44, 8813, $2.42, $2.46, $2.32
05/15/2020, $2.44, 5846, $2.34, $2.47, $2.3381
05/14/2020, $2.36, 3862, $2.31, $2.36, $2.3
05/13/2020, $2.45, 7418, $2.42, $2.475, $2.3501
05/12/2020, $2.44, 14639, $2.81, $2.84, $2.44
05/11/2020, $2.8, 13452, $2.8, $2.95, $2.8
