Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.01, 143301, $4.05, $4.39, $3.98
07/30/2020, $4.18, 323874, $3.87, $4.2, $3.71
07/29/2020, $3.87, 175975, $3.61, $3.92, $3.575
07/28/2020, $3.72, 70681, $3.76, $3.76, $3.5535
07/27/2020, $3.77, 130704, $3.9, $4.03, $3.665
07/24/2020, $3.85, 117928, $3.95, $4.0499, $3.78
07/23/2020, $3.93, 185099, $3.96, $4.1, $3.89
07/22/2020, $3.93, 531897, $3.6, $4.2, $3.6
07/21/2020, $3.59, 197838, $3.41, $3.67, $3.3613
07/20/2020, $3.37, 94422, $3.36, $3.41, $3.25
07/17/2020, $3.41, 145615, $3.47, $3.5303, $3.38
07/16/2020, $3.47, 144921, $3.35, $3.5, $3.26
07/15/2020, $3.35, 165922, $3.1, $3.4, $3.07
07/14/2020, $3.06, 112792, $3, $3.15, $2.87
07/13/2020, $2.97, 145236, $3.04, $3.1523, $2.93
07/10/2020, $3.09, 175775, $3.17, $3.234, $3.05
07/09/2020, $3.24, 509796, $3.6, $3.78, $3.13
07/08/2020, $3.36, 215896, $3.05, $3.38, $3.04
07/07/2020, $3.07, 202120, $3.12, $3.2425, $2.95
07/06/2020, $3.12, 247985, $2.98, $3.33, $2.97
07/02/2020, $2.97, 638738, $3.16, $3.29, $2.76
07/01/2020, $3.45, 1250323, $3.2, $3.66, $3.09
06/30/2020, $3.02, 446143, $2.42, $3.04, $2.42
06/29/2020, $2.5, 239236, $2.37, $2.62, $2.332
06/26/2020, $2.35, 69217, $2.35, $2.44, $2.26
06/25/2020, $2.35, 47571, $2.33, $2.389, $2.3201
06/24/2020, $2.33, 57314, $2.35, $2.395, $2.27
06/23/2020, $2.37, 88047, $2.39, $2.53, $2.36
06/22/2020, $2.39, 103006, $2.43, $2.48, $2.35
06/19/2020, $2.44, 175489, $2.59, $2.59, $2.43
06/18/2020, $2.48, 73348, $2.51, $2.59, $2.48
06/17/2020, $2.54, 50221, $2.62, $2.62, $2.47
06/16/2020, $2.62, 96073, $2.61, $2.65, $2.52
06/15/2020, $2.61, 75737, $2.51, $2.68, $2.45
06/12/2020, $2.51, 106419, $2.51, $2.6999, $2.41
06/11/2020, $2.46, 240718, $2.67, $2.73, $2.4151
06/10/2020, $2.82, 182783, $2.91, $2.92, $2.71
06/09/2020, $2.89, 178097, $2.89, $2.97, $2.7
06/08/2020, $2.94, 265119, $2.63, $2.94, $2.57
06/05/2020, $2.56, 270338, $2.62, $2.6753, $2.44
06/04/2020, $2.56, 189965, $2.42, $2.59, $2.38
06/03/2020, $2.45, 97242, $2.51, $2.59, $2.435
06/02/2020, $2.54, 147141, $2.43, $2.54, $2.37
06/01/2020, $2.42, 173610, $2.31, $2.46, $2.26
05/29/2020, $2.34, 79607, $2.29, $2.3567, $2.26
05/28/2020, $2.26, 182110, $2.48, $2.5, $2.25
05/27/2020, $2.33, 242292, $2.49, $2.5124, $2.11
05/26/2020, $2.52, 104074, $2.52, $2.6, $2.46
05/22/2020, $2.52, 106894, $2.5, $2.525, $2.4
05/21/2020, $2.5, 187990, $2.61, $2.64, $2.5
05/20/2020, $2.56, 146239, $2.71, $2.72, $2.52
05/19/2020, $2.7, 184797, $2.58, $2.75, $2.57
05/18/2020, $2.57, 153592, $2.67, $2.74, $2.5
05/15/2020, $2.56, 172236, $2.39, $2.57, $2.25
05/14/2020, $2.47, 338961, $2.61, $2.68, $2.34
05/13/2020, $2.7, 442815, $3.1, $3.1698, $2.5
05/12/2020, $3.08, 498372, $2.86, $3.2, $2.8
05/11/2020, $2.8, 519606, $2.46, $2.89, $2.45
