Date, Close/Last, Volume, Open, High, Low
07/31/2020, $2.19, 159544, $2.19, $2.24, $2.15
07/30/2020, $2.22, 158427, $2.21, $2.24, $2.11
07/29/2020, $2.26, 358918, $2.34, $2.34, $2.2
07/28/2020, $2.32, 141244, $2.33, $2.39, $2.3
07/27/2020, $2.37, 148614, $2.44, $2.44, $2.34
07/24/2020, $2.42, 77289, $2.42, $2.47, $2.4001
07/23/2020, $2.41, 179437, $2.49, $2.49, $2.4
07/22/2020, $2.55, 142126, $2.5, $2.56, $2.45
07/21/2020, $2.55, 253507, $2.45, $2.55, $2.42
07/20/2020, $2.47, 222024, $2.4535, $2.52, $2.4173
07/17/2020, $2.53, 1127636, $2.88, $2.89, $2.5217
07/16/2020, $2.98, 1534681, $2.79, $3.16, $2.64
07/15/2020, $2.96, 12262730, $2.435, $3.16, $2.41
07/14/2020, $2.05, 349156, $2.23, $2.29, $2.02
07/13/2020, $2.22, 151970, $2.26, $2.32, $2.2
07/10/2020, $2.26, 91334, $2.25, $2.31, $2.2
07/09/2020, $2.27, 103377, $2.31, $2.3499, $2.21
07/08/2020, $2.29, 185695, $2.28, $2.34, $2.255
07/07/2020, $2.27, 246990, $2.32, $2.35, $2.26
07/06/2020, $2.36, 299754, $2.5, $2.5367, $2.32
07/02/2020, $2.48, 134213, $2.58, $2.6319, $2.48
07/01/2020, $2.56, 118322, $2.61, $2.65, $2.52
06/30/2020, $2.63, 41503, $2.6, $2.68, $2.6
06/29/2020, $2.6, 64692, $2.6, $2.6499, $2.55
06/26/2020, $2.59, 114047, $2.68, $2.68, $2.55
06/25/2020, $2.68, 58016, $2.69, $2.73, $2.56
06/24/2020, $2.67, 130531, $2.77, $2.7717, $2.5301
06/23/2020, $2.76, 126578, $2.81, $2.84, $2.664
06/22/2020, $2.78, 113033, $2.75, $2.825, $2.72
06/19/2020, $2.72, 236887, $2.95, $2.95, $2.66
06/18/2020, $2.93, 130264, $2.97, $3, $2.9
06/17/2020, $2.97, 142595, $3.12, $3.14, $2.95
06/16/2020, $3.11, 172755, $3.2, $3.2715, $3.1
06/15/2020, $3.06, 132691, $3.14, $3.2255, $2.9648
06/12/2020, $3.1, 175602, $3.02, $3.245, $3.02
06/11/2020, $2.94, 296297, $3.14, $3.15, $2.9
06/10/2020, $3.36, 322543, $3.4, $3.595, $3.26
06/09/2020, $3.39, 415614, $3.81, $3.82, $3.35
06/08/2020, $3.86, 469150, $3.15, $3.86, $3.14
06/05/2020, $3.05, 338074, $3, $3.13, $2.98
06/04/2020, $2.97, 395864, $2.72, $2.98, $2.72
06/03/2020, $2.78, 225052, $2.63, $2.79, $2.63
06/02/2020, $2.63, 206662, $2.76, $2.825, $2.62
06/01/2020, $2.76, 155505, $2.85, $2.9, $2.76
05/29/2020, $2.88, 242877, $2.68, $2.89, $2.61
05/28/2020, $2.63, 175706, $2.71, $2.755, $2.61
05/27/2020, $2.7, 143944, $2.63, $2.72, $2.5601
05/26/2020, $2.58, 208469, $2.67, $2.72, $2.55
05/22/2020, $2.68, 95460, $2.5035, $2.7, $2.5035
05/21/2020, $2.54, 152410, $2.5, $2.57, $2.421
05/20/2020, $2.45, 133895, $2.42, $2.5, $2.4
05/19/2020, $2.36, 143234, $2.36, $2.39, $2.25
05/18/2020, $2.28, 141325, $2.32, $2.4, $2.27
05/15/2020, $2.2401, 174637, $2.42, $2.5, $2.23
05/14/2020, $2.45, 231524, $2.47, $2.57, $2.18
05/13/2020, $2.52, 224309, $2.7, $2.7006, $2.4113
05/12/2020, $2.71, 181077, $2.79, $2.95, $2.68
05/11/2020, $2.79, 242054, $2.63, $2.8, $2.61
