Date, Close/Last, Volume, Open, High, Low
07/31/2020, $4.8, 241319, $4.45, $4.86, $4.42
07/30/2020, $4.6, 435764, $4.33, $4.74, $4.33
07/29/2020, $4.38, 378168, $4.43, $4.5287, $4.289
07/28/2020, $4.46, 138696, $4.53, $4.5689, $4.42
07/27/2020, $4.57, 182776, $4.51, $4.65, $4.48
07/24/2020, $4.49, 157204, $4.69, $4.69, $4.42
07/23/2020, $4.66, 210542, $4.85, $4.9, $4.62
07/22/2020, $4.87, 779983, $4.45, $5.17, $4.36
07/21/2020, $4.54, 340977, $4.6, $4.6, $4.365
07/20/2020, $4.54, 698215, $4.5, $4.68, $4.1
07/17/2020, $4.53, 533051, $4.8, $4.88, $4.52
07/16/2020, $4.76, 505428, $4.77, $5.07, $4.72
07/15/2020, $4.81, 632432, $4.46, $4.98, $4.37
07/14/2020, $4.51, 528186, $4.49, $4.58, $4.32
07/13/2020, $4.51, 493209, $4.63, $4.81, $4.42
07/10/2020, $4.72, 460858, $4.77, $4.8899, $4.56
07/09/2020, $4.78, 455197, $4.78, $4.8819, $4.61
07/08/2020, $4.78, 1158222, $4.85, $5.15, $4.71
07/07/2020, $4.86, 1582512, $4.27, $5.37, $4.25
07/06/2020, $4.25, 498436, $4.36, $4.53, $4.17
07/02/2020, $4.31, 835965, $4.79, $4.86, $4.3
07/01/2020, $4.76, 535759, $4.95, $5.15, $4.72
06/30/2020, $5.01, 751062, $4.97, $5.21, $4.81
06/29/2020, $5.08, 1331886, $4.99, $5.75, $4.75
06/26/2020, $5.07, 1846213, $4.83, $5.225, $4.54
06/25/2020, $5.1, 2213456, $4.272, $5.24, $4.261
06/24/2020, $4.14, 1633452, $3.48, $4.3, $3.46
06/23/2020, $3.54, 676247, $3.4, $3.59, $3.27
06/22/2020, $3.33, 533198, $3.15, $3.39, $3.08
06/19/2020, $3.19, 732836, $3.01, $3.2301, $2.85
06/18/2020, $2.95, 562328, $2.68, $3, $2.68
06/17/2020, $2.68, 503506, $2.59, $2.78, $2.59
06/16/2020, $2.6, 1061458, $2.42, $2.82, $2.41
06/15/2020, $2.39, 525454, $2.44, $2.46, $2.2318
06/12/2020, $2.47, 230229, $2.57, $2.65, $2.41
06/11/2020, $2.54, 506015, $2.86, $2.86, $2.42
06/10/2020, $2.9, 552817, $2.83, $2.98, $2.6
06/09/2020, $2.78, 1143252, $3.09, $3.12, $2.37
06/08/2020, $3.07, 427809, $3.24, $3.24, $3.02
06/05/2020, $3.21, 421277, $3.36, $3.3961, $3.06
06/04/2020, $3.4, 572175, $3.18, $3.4, $3.1101
06/03/2020, $3.24, 1360828, $3.33, $3.6355, $3.045
06/02/2020, $3.31, 2331596, $3.23, $3.92, $3.16
06/01/2020, $2.99, 940692, $2.5, $2.99, $2.47
05/29/2020, $2.47, 833877, $2.5, $2.55, $2.31
05/28/2020, $2.53, 2267145, $2.54, $2.88, $2.4
05/27/2020, $2.3, 480857, $2.05, $2.32, $1.98
05/26/2020, $2.04, 195013, $2.08, $2.1341, $1.9801
05/22/2020, $2.06, 152281, $2.05, $2.1, $1.95
05/21/2020, $2.05, 314407, $2.16, $2.1744, $2.04
05/20/2020, $2.16, 426099, $2.08, $2.18, $2.02
05/19/2020, $2.02, 638637, $1.93, $2.1599, $1.85
05/18/2020, $1.83, 471993, $1.95, $1.98, $1.6803
05/15/2020, $1.9, 2204735, $1.46, $1.99, $1.39
05/14/2020, $1.43, 415583, $1.34, $1.44, $1.3114
05/13/2020, $1.32, 2704758, $1.46, $1.55, $1.26
05/12/2020, $1.28, 313896, $1.36, $1.37, $1.237
05/11/2020, $1.34, 444480, $1.19, $1.35, $1.16
