Date, Close/Last, Volume, Open, High, Low
07/31/2020, $1.17, 1471212, $1.25, $1.27, $1.11
07/30/2020, $1.23, 503524, $1.23, $1.26, $1.215
07/29/2020, $1.23, 1191554, $1.31, $1.32, $1.22
07/28/2020, $1.26, 460715, $1.24, $1.29, $1.23
07/27/2020, $1.26, 782978, $1.32, $1.33, $1.24
07/24/2020, $1.29, 796072, $1.27, $1.34, $1.23
07/23/2020, $1.3, 970873, $1.34, $1.37, $1.29
07/22/2020, $1.37, 5140739, $1.42, $1.57, $1.25
07/21/2020, $1.39, 4118826, $1.29, $1.42, $1.28
07/20/2020, $1.275, 1915223, $1.26, $1.3, $1.25
07/17/2020, $1.24, 1760962, $1.23, $1.28, $1.21
07/16/2020, $1.18, 1338553, $1.19, $1.215, $1.16
07/15/2020, $1.19, 365873, $1.18, $1.2, $1.16
07/14/2020, $1.17, 506575, $1.18, $1.19, $1.15
07/13/2020, $1.17, 617874, $1.22, $1.27, $1.16
07/10/2020, $1.23, 494052, $1.25, $1.25, $1.21
07/09/2020, $1.25, 1315387, $1.32, $1.3277, $1.2
07/08/2020, $1.28, 1443323, $1.19, $1.305, $1.17
07/07/2020, $1.18, 623493, $1.18, $1.21, $1.165
07/06/2020, $1.21, 600528, $1.2, $1.22, $1.18
07/02/2020, $1.18, 495860, $1.19, $1.23, $1.15
07/01/2020, $1.19, 265933, $1.19, $1.22, $1.18
06/30/2020, $1.21, 465380, $1.18, $1.24, $1.16
06/29/2020, $1.18, 566808, $1.17, $1.23, $1.16
06/26/2020, $1.17, 807364, $1.22, $1.23, $1.16
06/25/2020, $1.23, 360040, $1.27, $1.3, $1.22
06/24/2020, $1.27, 1103480, $1.34, $1.34, $1.21
06/23/2020, $1.36, 2789673, $1.28, $1.39, $1.25
06/22/2020, $1.19, 1415338, $1.23, $1.2507, $1.1
06/19/2020, $1.24, 665774, $1.25, $1.27, $1.23
06/18/2020, $1.26, 543227, $1.24, $1.27, $1.23
06/17/2020, $1.22, 1901732, $1.24, $1.31, $1.2
06/16/2020, $1.28, 843652, $1.27, $1.3, $1.23
06/15/2020, $1.26, 1870420, $1.24, $1.3, $1.15
06/12/2020, $1.31, 4407617, $1.375, $1.42, $1.25
06/11/2020, $1.34, 7916979, $1.3, $1.42, $1.25
06/10/2020, $1.7, 178788800, $2.19, $3.59, $1.64
06/09/2020, $1.22, 3398644, $0.86, $1.28, $0.8508
06/08/2020, $0.86, 190578, $0.8416, $0.89, $0.82
06/05/2020, $0.8214, 130493, $0.85, $0.8653, $0.8211
06/04/2020, $0.8374, 154771, $0.79, $0.85, $0.79
06/03/2020, $0.8141, 70165, $0.815, $0.835, $0.8006
06/02/2020, $0.8237, 77896, $0.82, $0.83, $0.7813
06/01/2020, $0.8295, 69317, $0.834, $0.834, $0.8016
05/29/2020, $0.8352, 62448, $0.8456, $0.8456, $0.8
05/28/2020, $0.8456, 129917, $0.835, $0.8576, $0.8112
05/27/2020, $0.8201, 179500, $0.82, $0.84, $0.7826
05/26/2020, $0.81, 123351, $0.848, $0.848, $0.81
05/22/2020, $0.82, 74820, $0.82, $0.83, $0.7602
05/21/2020, $0.815, 53471, $0.8213, $0.86, $0.81
05/20/2020, $0.828, 71925, $0.81, $0.8299, $0.8
05/19/2020, $0.8001, 164990, $0.8085, $0.83, $0.7712
05/18/2020, $0.79, 141683, $0.8, $0.8282, $0.76
05/15/2020, $0.7685, 110903, $0.7561, $0.78, $0.727
05/14/2020, $0.7593, 159959, $0.78, $0.78, $0.72
05/13/2020, $0.758, 426929, $0.87, $0.9049, $0.72
05/12/2020, $0.8757, 275245, $0.8725, $0.9, $0.853
05/11/2020, $0.8611, 211319, $0.8758, $0.917, $0.8611
